"GEOID","year","variable","Variable_Description","estimate","moe","moe_pct_of_estimate","County","Geography","State"
"36037",2017,"S0101_C02_002","Under 5 Years",5.1,0.1,1.96078431372549,"Genesee","Genesee County","New York"
"36037",2017,"S0101_C02_003","5 to 9 Years",6.2,0.4,6.45161290322581,"Genesee","Genesee County","New York"
"36037",2017,"S0101_C02_004","10 to 14 Years",5.5,0.4,7.27272727272727,"Genesee","Genesee County","New York"
"36037",2017,"S0101_C02_005","15 to 19 Years",6.3,0.2,3.17460317460318,"Genesee","Genesee County","New York"
"36037",2017,"S0101_C02_006","20 to 24 Years",6.5,0.2,3.07692307692308,"Genesee","Genesee County","New York"
"36037",2017,"S0101_C02_007","25 to 29 Years",6,0.2,3.33333333333333,"Genesee","Genesee County","New York"
"36037",2017,"S0101_C02_008","30 to 34 Years",5.7,0.2,3.50877192982456,"Genesee","Genesee County","New York"
"36037",2017,"S0101_C02_009","35 to 39 Years",5.1,0.4,7.84313725490196,"Genesee","Genesee County","New York"
"36037",2017,"S0101_C02_010","40 to 44 Years",6,0.5,8.33333333333333,"Genesee","Genesee County","New York"
"36037",2017,"S0101_C02_011","45 to 49 Years",6.9,0.2,2.89855072463768,"Genesee","Genesee County","New York"
"36037",2017,"S0101_C02_012","50 to 54 Years",8.3,0.2,2.40963855421687,"Genesee","Genesee County","New York"
"36037",2017,"S0101_C02_013","55 to 59 Years",8.7,0.5,5.74712643678161,"Genesee","Genesee County","New York"
"36037",2017,"S0101_C02_014","60 to 64 Years",6.2,0.5,8.06451612903226,"Genesee","Genesee County","New York"
"36037",2017,"S0101_C02_015","65 to 69 Years",4.9,0.4,8.16326530612245,"Genesee","Genesee County","New York"
"36037",2017,"S0101_C02_016","70 to 74 Years",4.5,0.4,8.88888888888889,"Genesee","Genesee County","New York"
"36037",2017,"S0101_C02_017","75 to 79 Years",3.5,0.3,8.57142857142857,"Genesee","Genesee County","New York"
"36037",2017,"S0101_C02_018","80 to 84 Years",2,0.3,15,"Genesee","Genesee County","New York"
"36037",2017,"S0101_C02_019","85 Years and Over",2.7,0.4,14.8148148148148,"Genesee","Genesee County","New York"
"36051",2017,"S0101_C02_002","Under 5 Years",4.5,0.2,4.44444444444444,"Livingston","Livingston County","New York"
"36051",2017,"S0101_C02_003","5 to 9 Years",4.6,0.4,8.69565217391304,"Livingston","Livingston County","New York"
"36051",2017,"S0101_C02_004","10 to 14 Years",5.7,0.4,7.01754385964912,"Livingston","Livingston County","New York"
"36051",2017,"S0101_C02_005","15 to 19 Years",8.6,0.2,2.32558139534884,"Livingston","Livingston County","New York"
"36051",2017,"S0101_C02_006","20 to 24 Years",10.1,0.3,2.97029702970297,"Livingston","Livingston County","New York"
"36051",2017,"S0101_C02_007","25 to 29 Years",5.3,0.2,3.77358490566038,"Livingston","Livingston County","New York"
"36051",2017,"S0101_C02_008","30 to 34 Years",5.5,0.2,3.63636363636364,"Livingston","Livingston County","New York"
"36051",2017,"S0101_C02_009","35 to 39 Years",5,0.4,8,"Livingston","Livingston County","New York"
"36051",2017,"S0101_C02_010","40 to 44 Years",5.6,0.4,7.14285714285714,"Livingston","Livingston County","New York"
"36051",2017,"S0101_C02_011","45 to 49 Years",6.7,0.2,2.98507462686567,"Livingston","Livingston County","New York"
"36051",2017,"S0101_C02_012","50 to 54 Years",7.7,0.2,2.5974025974026,"Livingston","Livingston County","New York"
"36051",2017,"S0101_C02_013","55 to 59 Years",7.4,0.4,5.40540540540541,"Livingston","Livingston County","New York"
"36051",2017,"S0101_C02_014","60 to 64 Years",7,0.4,5.71428571428571,"Livingston","Livingston County","New York"
"36051",2017,"S0101_C02_015","65 to 69 Years",5.3,0.3,5.66037735849057,"Livingston","Livingston County","New York"
"36051",2017,"S0101_C02_016","70 to 74 Years",4,0.3,7.5,"Livingston","Livingston County","New York"
"36051",2017,"S0101_C02_017","75 to 79 Years",2.7,0.3,11.1111111111111,"Livingston","Livingston County","New York"
"36051",2017,"S0101_C02_018","80 to 84 Years",2.1,0.2,9.52380952380952,"Livingston","Livingston County","New York"
"36051",2017,"S0101_C02_019","85 Years and Over",2.1,0.3,14.2857142857143,"Livingston","Livingston County","New York"
"36055",2017,"S0101_C02_002","Under 5 Years",5.6,0.1,1.78571428571429,"Monroe","Monroe County","New York"
"36055",2017,"S0101_C02_003","5 to 9 Years",5.9,0.1,1.69491525423729,"Monroe","Monroe County","New York"
"36055",2017,"S0101_C02_004","10 to 14 Years",5.9,0.1,1.69491525423729,"Monroe","Monroe County","New York"
"36055",2017,"S0101_C02_005","15 to 19 Years",7,0.1,1.42857142857143,"Monroe","Monroe County","New York"
"36055",2017,"S0101_C02_006","20 to 24 Years",7.4,0.1,1.35135135135135,"Monroe","Monroe County","New York"
"36055",2017,"S0101_C02_007","25 to 29 Years",7.4,0.1,1.35135135135135,"Monroe","Monroe County","New York"
"36055",2017,"S0101_C02_008","30 to 34 Years",6.5,0.1,1.53846153846154,"Monroe","Monroe County","New York"
"36055",2017,"S0101_C02_009","35 to 39 Years",5.7,0.1,1.75438596491228,"Monroe","Monroe County","New York"
"36055",2017,"S0101_C02_010","40 to 44 Years",5.6,0.2,3.57142857142857,"Monroe","Monroe County","New York"
"36055",2017,"S0101_C02_011","45 to 49 Years",6.5,0.1,1.53846153846154,"Monroe","Monroe County","New York"
"36055",2017,"S0101_C02_012","50 to 54 Years",7.2,0.1,1.38888888888889,"Monroe","Monroe County","New York"
"36055",2017,"S0101_C02_013","55 to 59 Years",7,0.1,1.42857142857143,"Monroe","Monroe County","New York"
"36055",2017,"S0101_C02_014","60 to 64 Years",6.4,0.1,1.5625,"Monroe","Monroe County","New York"
"36055",2017,"S0101_C02_015","65 to 69 Years",5.1,0.1,1.96078431372549,"Monroe","Monroe County","New York"
"36055",2017,"S0101_C02_016","70 to 74 Years",3.8,0.1,2.63157894736842,"Monroe","Monroe County","New York"
"36055",2017,"S0101_C02_017","75 to 79 Years",2.6,0.1,3.84615384615385,"Monroe","Monroe County","New York"
"36055",2017,"S0101_C02_018","80 to 84 Years",1.9,0.1,5.26315789473684,"Monroe","Monroe County","New York"
"36055",2017,"S0101_C02_019","85 Years and Over",2.4,0.1,4.16666666666667,"Monroe","Monroe County","New York"
"36069",2017,"S0101_C02_002","Under 5 Years",5.1,0.1,1.96078431372549,"Ontario","Ontario County","New York"
"36069",2017,"S0101_C02_003","5 to 9 Years",5.2,0.3,5.76923076923077,"Ontario","Ontario County","New York"
"36069",2017,"S0101_C02_004","10 to 14 Years",6.7,0.3,4.47761194029851,"Ontario","Ontario County","New York"
"36069",2017,"S0101_C02_005","15 to 19 Years",6.8,0.1,1.47058823529412,"Ontario","Ontario County","New York"
"36069",2017,"S0101_C02_006","20 to 24 Years",6.5,0.2,3.07692307692308,"Ontario","Ontario County","New York"
"36069",2017,"S0101_C02_007","25 to 29 Years",5.4,0.1,1.85185185185185,"Ontario","Ontario County","New York"
"36069",2017,"S0101_C02_008","30 to 34 Years",5.3,0.1,1.88679245283019,"Ontario","Ontario County","New York"
"36069",2017,"S0101_C02_009","35 to 39 Years",5.3,0.3,5.66037735849057,"Ontario","Ontario County","New York"
