"GEOID","year","variable","Variable_Description","estimate","moe","moe_pct_of_estimate","County","Geography","State"
"3603700474",2017,"S0101_C02_002","Under 5 Years",6.3,2.9,46.031746031746,"Genesee","Alabama town","New York"
"3603700474",2017,"S0101_C02_003","5 to 9 Years",4.4,1.8,40.9090909090909,"Genesee","Alabama town","New York"
"3603700474",2017,"S0101_C02_004","10 to 14 Years",5.3,2.2,41.5094339622642,"Genesee","Alabama town","New York"
"3603700474",2017,"S0101_C02_005","15 to 19 Years",6.1,2.2,36.0655737704918,"Genesee","Alabama town","New York"
"3603700474",2017,"S0101_C02_006","20 to 24 Years",7.9,2.6,32.9113924050633,"Genesee","Alabama town","New York"
"3603700474",2017,"S0101_C02_007","25 to 29 Years",8.2,3.1,37.8048780487805,"Genesee","Alabama town","New York"
"3603700474",2017,"S0101_C02_008","30 to 34 Years",4,2.1,52.5,"Genesee","Alabama town","New York"
"3603700474",2017,"S0101_C02_009","35 to 39 Years",4.9,2,40.8163265306122,"Genesee","Alabama town","New York"
"3603700474",2017,"S0101_C02_010","40 to 44 Years",7.6,2.5,32.8947368421053,"Genesee","Alabama town","New York"
"3603700474",2017,"S0101_C02_011","45 to 49 Years",7.8,2.1,26.9230769230769,"Genesee","Alabama town","New York"
"3603700474",2017,"S0101_C02_012","50 to 54 Years",10.2,2.9,28.4313725490196,"Genesee","Alabama town","New York"
"3603700474",2017,"S0101_C02_013","55 to 59 Years",9.5,2.7,28.4210526315789,"Genesee","Alabama town","New York"
"3603700474",2017,"S0101_C02_014","60 to 64 Years",6.5,2.1,32.3076923076923,"Genesee","Alabama town","New York"
"3603700474",2017,"S0101_C02_015","65 to 69 Years",3.2,1.4,43.75,"Genesee","Alabama town","New York"
"3603700474",2017,"S0101_C02_016","70 to 74 Years",2.2,0.9,40.9090909090909,"Genesee","Alabama town","New York"
"3603700474",2017,"S0101_C02_017","75 to 79 Years",2.4,1.3,54.1666666666667,"Genesee","Alabama town","New York"
"3603700474",2017,"S0101_C02_018","80 to 84 Years",1.4,0.9,64.2857142857143,"Genesee","Alabama town","New York"
"3603700474",2017,"S0101_C02_019","85 Years and Over",2.2,1.2,54.5454545454545,"Genesee","Alabama town","New York"
"3603701165",2017,"S0101_C02_002","Under 5 Years",4.1,1.6,39.0243902439024,"Genesee","Alexander town","New York"
"3603701165",2017,"S0101_C02_003","5 to 9 Years",6,1.8,30,"Genesee","Alexander town","New York"
"3603701165",2017,"S0101_C02_004","10 to 14 Years",7.7,2.5,32.4675324675325,"Genesee","Alexander town","New York"
"3603701165",2017,"S0101_C02_005","15 to 19 Years",7.3,1.8,24.6575342465753,"Genesee","Alexander town","New York"
"3603701165",2017,"S0101_C02_006","20 to 24 Years",6.8,2.2,32.3529411764706,"Genesee","Alexander town","New York"
"3603701165",2017,"S0101_C02_007","25 to 29 Years",4.3,1.6,37.2093023255814,"Genesee","Alexander town","New York"
"3603701165",2017,"S0101_C02_008","30 to 34 Years",3.3,1.4,42.4242424242424,"Genesee","Alexander town","New York"
"3603701165",2017,"S0101_C02_009","35 to 39 Years",4.2,1.4,33.3333333333333,"Genesee","Alexander town","New York"
"3603701165",2017,"S0101_C02_010","40 to 44 Years",6.7,2.3,34.3283582089552,"Genesee","Alexander town","New York"
