"GEOID","year","variable","Variable_Description","estimate","moe","moe_pct_of_estimate","County","Geography","State","count"
"36037",2017,"B17001B_ChildPov","Black or African American alone",72.962962962963,33.3682944230347,45.7331954021288,"Genesee","Genesee County","New York",197
"36037",2017,"B17001C_ChildPov","American Indian and Alaska Native alone",83.75,128.050283092229,152.895860408632,"Genesee","Genesee County","New York",67
"36037",2017,"B17001D_ChildPov","Asian alone",13.1578947368421,118.71309019621,902.219485491197,"Genesee","Genesee County","New York",10
"36037",2017,"B17001E_ChildPov","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Genesee","Genesee County","New York",0
"36037",2017,"B17001F_ChildPov","Some Other Race alone",2.58620689655172,24.7527074337449,957.104687438135,"Genesee","Genesee County","New York",9
"36037",2017,"B17001G_ChildPov","Two or More Races",39.4508670520231,15.7792616451284,39.9972492982743,"Genesee","Genesee County","New York",273
"36037",2017,"B17001H_ChildPov","White alone, not Hispanic or Latino",17.2624925933241,2.59734944156428,15.0462016277345,"Genesee","Genesee County","New York",1748
"36037",2017,"B17001I_ChildPov","Hispanic or Latino",17.601246105919,11.8041407712071,67.064233408097,"Genesee","Genesee County","New York",113
"36037",2018,"B17001B_ChildPov","Black or African American alone",41.358024691358,54.3875854380299,131.504311059117,"Genesee","Genesee County","New York",67
"36037",2018,"B17001C_ChildPov","American Indian and Alaska Native alone",45.4545454545455,427.586925095233,940.691235209513,"Genesee","Genesee County","New York",10
"36037",2018,"B17001D_ChildPov","Asian alone",10.5263157894737,82.3814518026238,782.623792124926,"Genesee","Genesee County","New York",12
"36037",2018,"B17001E_ChildPov","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Genesee","Genesee County","New York",0
"36037",2018,"B17001F_ChildPov","Some Other Race alone",2.37388724035608,26.5408662017779,1118.03398874989,"Genesee","Genesee County","New York",8
"36037",2018,"B17001G_ChildPov","Two or More Races",59.9162011173184,19.3515150194408,32.29763345902,"Genesee","Genesee County","New York",429
"36037",2018,"B17001H_ChildPov","White alone, not Hispanic or Latino",14.7406368916483,2.36735744724051,16.0600757256411,"Genesee","Genesee County","New York",1472
"36037",2018,"B17001I_ChildPov","Hispanic or Latino",17.65625,11.8719157178823,67.2391686676518,"Genesee","Genesee County","New York",113
"36037",2019,"B17001B_ChildPov","Black or African American alone",46.7391304347826,98.8293960692374,211.448940427206,"Genesee","Genesee County","New York",43
"36037",2019,"B17001C_ChildPov","American Indian and Alaska Native alone",47.3684210526316,495.10065011027,1045.21248356613,"Genesee","Genesee County","New York",9
"36037",2019,"B17001D_ChildPov","Asian alone",0,285.278956540756,NA,"Genesee","Genesee County","New York",0
"36037",2019,"B17001E_ChildPov","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Genesee","Genesee County","New York",0
"36037",2019,"B17001F_ChildPov","Some Other Race alone",3.30882352941176,32.8360487668038,992.37836273007,"Genesee","Genesee County","New York",9
"36037",2019,"B17001G_ChildPov","Two or More Races",46.9555035128806,14.7252608406261,31.3600318151987,"Genesee","Genesee County","New York",401
"36037",2019,"B17001H_ChildPov","White alone, not Hispanic or Latino",12.7527690275379,2.04596068426327,16.043266210227,"Genesee","Genesee County","New York",1255
"36037",2019,"B17001I_ChildPov","Hispanic or Latino",23.8532110091743,11.7339174574616,49.1921924178197,"Genesee","Genesee County","New York",156
"36037",2020,"B17001B_ChildPov","Black or African American alone",41.0852713178295,71.1871063489022,173.266730547328,"Genesee","Genesee County","New York",53
"36037",2020,"B17001C_ChildPov","American Indian and Alaska Native alone",0,0,NA,"Genesee","Genesee County","New York",0
"36037",2020,"B17001D_ChildPov","Asian alone",27.027027027027,250.507155418757,926.876475049399,"Genesee","Genesee County","New York",10
"36037",2020,"B17001E_ChildPov","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Genesee","Genesee County","New York",0
"36037",2020,"B17001F_ChildPov","Some Other Race alone",2.02429149797571,39.0745941914463,1930.28495305745,"Genesee","Genesee County","New York",5
"36037",2020,"B17001G_ChildPov","Two or More Races",37.5132837407014,10.6344288541057,28.3484349906898,"Genesee","Genesee County","New York",353
"36037",2020,"B17001H_ChildPov","White alone, not Hispanic or Latino",10.6761200164406,1.99990155157936,18.7324753608954,"Genesee","Genesee County","New York",1039
"36037",2020,"B17001I_ChildPov","Hispanic or Latino",21.4592274678112,11.625013687029,54.1725637815552,"Genesee","Genesee County","New York",150
"36037",2021,"B17001B_ChildPov","Black or African American alone",27.972027972028,69.9650262281441,250.124968765615,"Genesee","Genesee County","New York",40
"36037",2021,"B17001C_ChildPov","American Indian and Alaska Native alone",0,0,NA,"Genesee","Genesee County","New York",0
"36037",2021,"B17001D_ChildPov","Asian alone",12.2641509433962,91.0414018227565,742.337584093246,"Genesee","Genesee County","New York",13
"36037",2021,"B17001E_ChildPov","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Genesee","Genesee County","New York",0
"36037",2021,"B17001F_ChildPov","Some Other Race alone",17.8571428571429,37.1556253809431,208.071502133281,"Genesee","Genesee County","New York",40
"36037",2021,"B17001G_ChildPov","Two or More Races",28.2316442605998,8.16894215434602,28.9354104881048,"Genesee","Genesee County","New York",273
"36037",2021,"B17001H_ChildPov","White alone, not Hispanic or Latino",8.39210876009404,2.02224052430773,24.0969294144975,"Genesee","Genesee County","New York",821
"36037",2021,"B17001I_ChildPov","Hispanic or Latino",30.2013422818792,11.8120805369128,39.1111111111111,"Genesee","Genesee County","New York",225
"36037",2022,"B17001B_ChildPov","Black or African American alone",6.61764705882353,72.5187900719173,1095.83949442008,"Genesee","Genesee County","New York",9
"36037",2022,"B17001C_ChildPov","American Indian and Alaska Native alone",100,2574.75727011305,2574.75727011305,"Genesee","Genesee County","New York",4
