"GEOID","year","variable","Variable_Description","estimate","moe","moe_pct_of_estimate","County","Geography","State"
"3603700474",2017,"B17001B_ChildPov","Black or African American alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2017,"B17001C_ChildPov","American Indian and Alaska Native alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2017,"B17001D_ChildPov","Asian alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2017,"B17001E_ChildPov","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2017,"B17001F_ChildPov","Some Other Race alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2017,"B17001G_ChildPov","Two or More Races",0,190.525588832576,NA,"Genesee","Alabama town","New York"
"3603700474",2017,"B17001H_ChildPov","White alone, not Hispanic or Latino",14.4654088050314,9.8810160423052,68.307893509849,"Genesee","Alabama town","New York"
"3603700474",2017,"B17001I_ChildPov","Hispanic or Latino",0,544.358825235933,NA,"Genesee","Alabama town","New York"
"3603700474",2018,"B17001B_ChildPov","Black or African American alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2018,"B17001C_ChildPov","American Indian and Alaska Native alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2018,"B17001D_ChildPov","Asian alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2018,"B17001E_ChildPov","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2018,"B17001F_ChildPov","Some Other Race alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2018,"B17001G_ChildPov","Two or More Races",0,244.524819892077,NA,"Genesee","Alabama town","New York"
"3603700474",2018,"B17001H_ChildPov","White alone, not Hispanic or Latino",12.4629080118694,10.5200937535629,84.4112284512071,"Genesee","Alabama town","New York"
"3603700474",2018,"B17001I_ChildPov","Hispanic or Latino",0,1039.23048454133,NA,"Genesee","Alabama town","New York"
"3603700474",2019,"B17001B_ChildPov","Black or African American alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2019,"B17001C_ChildPov","American Indian and Alaska Native alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2019,"B17001D_ChildPov","Asian alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2019,"B17001E_ChildPov","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2019,"B17001F_ChildPov","Some Other Race alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2019,"B17001G_ChildPov","Two or More Races",0,159.881613006358,NA,"Genesee","Alabama town","New York"
"3603700474",2019,"B17001H_ChildPov","White alone, not Hispanic or Latino",4.0133779264214,13.5519781526447,337.670122303397,"Genesee","Alabama town","New York"
"3603700474",2019,"B17001I_ChildPov","Hispanic or Latino",0,831.384387633061,NA,"Genesee","Alabama town","New York"
"3603700474",2020,"B17001B_ChildPov","Black or African American alone",100,900,900,"Genesee","Alabama town","New York"
"3603700474",2020,"B17001C_ChildPov","American Indian and Alaska Native alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2020,"B17001D_ChildPov","Asian alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2020,"B17001E_ChildPov","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2020,"B17001F_ChildPov","Some Other Race alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2020,"B17001G_ChildPov","Two or More Races",34.0909090909091,87.2123413433165,255.822867940395,"Genesee","Alabama town","New York"
"3603700474",2020,"B17001H_ChildPov","White alone, not Hispanic or Latino",0.66006600660066,13.2369742894275,2005.40160484826,"Genesee","Alabama town","New York"
"3603700474",2020,"B17001I_ChildPov","Hispanic or Latino",0,593.845991166472,NA,"Genesee","Alabama town","New York"
"3603700474",2021,"B17001B_ChildPov","Black or African American alone",100,1528.92118828931,1528.92118828931,"Genesee","Alabama town","New York"
"3603700474",2021,"B17001C_ChildPov","American Indian and Alaska Native alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2021,"B17001D_ChildPov","Asian alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2021,"B17001E_ChildPov","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2021,"B17001F_ChildPov","Some Other Race alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2021,"B17001G_ChildPov","Two or More Races",5.45454545454545,78.4469287724923,1438.19369416236,"Genesee","Alabama town","New York"
"3603700474",2021,"B17001H_ChildPov","White alone, not Hispanic or Latino",2.97029702970297,13.0804753179883,440.376002372271,"Genesee","Alabama town","New York"
"3603700474",2021,"B17001I_ChildPov","Hispanic or Latino",0,173.205080756888,NA,"Genesee","Alabama town","New York"
"3603700474",2022,"B17001B_ChildPov","Black or African American alone",100,1906.89538255249,1906.89538255249,"Genesee","Alabama town","New York"
"3603700474",2022,"B17001C_ChildPov","American Indian and Alaska Native alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2022,"B17001D_ChildPov","Asian alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2022,"B17001E_ChildPov","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2022,"B17001F_ChildPov","Some Other Race alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2022,"B17001G_ChildPov","Two or More Races",4.76190476190476,68.9022001231277,1446.94620258568,"Genesee","Alabama town","New York"
"3603700474",2022,"B17001H_ChildPov","White alone, not Hispanic or Latino",6.46258503401361,13.0674196994943,202.201125876385,"Genesee","Alabama town","New York"
"3603700474",2022,"B17001I_ChildPov","Hispanic or Latino",0,173.205080756888,NA,"Genesee","Alabama town","New York"
"3603700474",2023,"B17001B_ChildPov","Black or African American alone",100,1532.84050050878,1532.84050050878,"Genesee","Alabama town","New York"
"3603700474",2023,"B17001C_ChildPov","American Indian and Alaska Native alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2023,"B17001D_ChildPov","Asian alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2023,"B17001E_ChildPov","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2023,"B17001F_ChildPov","Some Other Race alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2023,"B17001G_ChildPov","Two or More Races",5.63380281690141,61.0550437474107,1083.72702651654,"Genesee","Alabama town","New York"
"3603700474",2023,"B17001H_ChildPov","White alone, not Hispanic or Latino",4.71014492753623,13.7783731705028,292.525461158366,"Genesee","Alabama town","New York"
"3603700474",2023,"B17001I_ChildPov","Hispanic or Latino",0,145.268777409003,NA,"Genesee","Alabama town","New York"
"3603700474",2024,"B17001B_ChildPov","Black or African American alone",100,1187.17637910381,1187.17637910381,"Genesee","Alabama town","New York"
"3603700474",2024,"B17001C_ChildPov","American Indian and Alaska Native alone",100,1373.5598518691,1373.5598518691,"Genesee","Alabama town","New York"
