"GEOID","year","variable","Variable_Description","estimate","moe","moe_pct_of_estimate","County","Geography","State"
"36037",2017,"B08303_002","Less than 5 min",7.39216037229282,0.998747091462323,13.5108958837772,"Genesee","Genesee County","New York"
"36037",2017,"B08303_003","5 to 9 min",15.9047789511366,1.52854841596563,9.6106234526221,"Genesee","Genesee County","New York"
"36037",2017,"B08303_004","10 to 14 min",15.7293717558618,1.33524252729551,8.48884842967683,"Genesee","Genesee County","New York"
"36037",2017,"B08303_005","15 to 19 min",12.4718095579023,1.1383568999463,9.12743972445465,"Genesee","Genesee County","New York"
"36037",2017,"B08303_006","20 to 24 min",10.6175049221407,0.998747091462323,9.40660822656777,"Genesee","Genesee County","New York"
"36037",2017,"B08303_007","25 to 29 min",5.61660998747092,0.769643816001432,13.7029955385596,"Genesee","Genesee County","New York"
"36037",2017,"B08303_008","30 to 34 min",10.209414712726,1.04886343296939,10.273492286115,"Genesee","Genesee County","New York"
"36037",2017,"B08303_009","35 to 39 min",3.78378378378378,0.683730087703598,18.0700094607379,"Genesee","Genesee County","New York"
"36037",2017,"B08303_010","40 to 44 min",4.81474852335779,0.79112224807589,16.4312267657993,"Genesee","Genesee County","New York"
"36037",2017,"B08303_011","45 to 59 min",8.59853230714158,0.919992840522642,10.699417152373,"Genesee","Genesee County","New York"
"36037",2017,"B08303_012","60 to 89 min",3.85179881868624,0.816180418829425,21.1895910780669,"Genesee","Genesee County","New York"
"36037",2017,"B08303_013","90 or more min",1.00948630749955,0.25058170753535,24.822695035461,"Genesee","Genesee County","New York"
"36051",2017,"B08303_002","Less than 5 min",7.75611332543359,1.18137096484613,15.2314814814815,"Livingston","Livingston County","New York"
"36051",2017,"B08303_003","5 to 9 min",12.1332902438149,1.40400014363173,11.5714708493637,"Livingston","Livingston County","New York"
"36051",2017,"B08303_004","10 to 14 min",11.9645229631226,1.18137096484613,9.87394957983193,"Livingston","Livingston County","New York"
"36051",2017,"B08303_005","15 to 19 min",12.7616790549032,1.49017918058099,11.6769836803602,"Livingston","Livingston County","New York"
"36051",2017,"B08303_006","20 to 24 min",9.84236417824697,1.14187223957772,11.6016052535571,"Livingston","Livingston County","New York"
"36051",2017,"B08303_007","25 to 29 min",7.12772451434522,0.980286545297856,13.7531486146096,"Livingston","Livingston County","New York"
"36051",2017,"B08303_008","30 to 34 min",12.0076124815972,1.26395920858918,10.5263157894737,"Livingston","Livingston County","New York"
"36051",2017,"B08303_009","35 to 39 min",4.50644547380516,0.754066573306043,16.7330677290837,"Livingston","Livingston County","New York"
"36051",2017,"B08303_010","40 to 44 min",4.91579589931416,0.811519264605551,16.5084002921841,"Livingston","Livingston County","New York"
"36051",2017,"B08303_011","45 to 59 min",10.4707529893353,1.07364716865956,10.2537722908093,"Livingston","Livingston County","New York"
"36051",2017,"B08303_012","60 to 89 min",4.52080864663004,0.646342777119466,14.2970611596505,"Livingston","Livingston County","New York"
"36051",2017,"B08303_013","90 or more min",1.99289022945169,0.585299292613738,29.3693693693694,"Livingston","Livingston County","New York"
"36055",2017,"B08303_002","Less than 5 min",2.79914077741671,0.210457353397321,7.51864125932063,"Monroe","Monroe County","New York"
"36055",2017,"B08303_003","5 to 9 min",10.776807947519,0.462078541756652,4.28771250268991,"Monroe","Monroe County","New York"
"36055",2017,"B08303_004","10 to 14 min",17.3905607268026,0.430480950130884,2.47537130569585,"Monroe","Monroe County","New York"
"36055",2017,"B08303_005","15 to 19 min",20.5161133222983,0.518316457127286,2.52638718155229,"Monroe","Monroe County","New York"
"36055",2017,"B08303_006","20 to 24 min",20.2885526853605,0.503822149042071,2.48328284848831,"Monroe","Monroe County","New York"
"36055",2017,"B08303_007","25 to 29 min",8.55164177027681,0.338876923032325,3.96271186440678,"Monroe","Monroe County","New York"
"36055",2017,"B08303_008","30 to 34 min",10.8115942869235,0.37424303476025,3.46149721149721,"Monroe","Monroe County","New York"
"36055",2017,"B08303_009","35 to 39 min",1.7801909190261,0.169583404597015,9.52613580850024,"Monroe","Monroe County","New York"
"36055",2017,"B08303_010","40 to 44 min",1.70829915092343,0.160596933584181,9.4009842185644,"Monroe","Monroe County","New York"
"36055",2017,"B08303_011","45 to 59 min",2.54143197966159,0.191904639048246,7.55104368655184,"Monroe","Monroe County","New York"
"36055",2017,"B08303_012","60 to 89 min",1.67003417757846,0.150161031762827,8.99149453219927,"Monroe","Monroe County","New York"
"36055",2017,"B08303_013","90 or more min",1.16563225621299,0.123781391047736,10.619248943049,"Monroe","Monroe County","New York"
"36069",2017,"B08303_002","Less than 5 min",4.42493415276558,0.626280362891425,14.1534391534392,"Ontario","Ontario County","New York"
"36069",2017,"B08303_003","5 to 9 min",14.4805384840503,1.07891912984099,7.45082188089464,"Ontario","Ontario County","New York"
"36069",2017,"B08303_004","10 to 14 min",14.6697883133353,1.26426690079017,8.61816730948264,"Ontario","Ontario County","New York"
"36069",2017,"B08303_005","15 to 19 min",12.6036484245439,0.983318700614574,7.80185758513932,"Ontario","Ontario County","New York"
"36069",2017,"B08303_006","20 to 24 min",13.8815725295093,1.23305043410399,8.88264230498946,"Ontario","Ontario County","New York"
"36069",2017,"B08303_007","25 to 29 min",7.31440835040484,0.797970929665398,10.9095758869032,"Ontario","Ontario County","New York"
"36069",2017,"B08303_008","30 to 34 min",11.5910642864111,0.959906350599941,8.28143410200303,"Ontario","Ontario County","New York"
"36069",2017,"B08303_009","35 to 39 min",4.34103989854648,0.587259779533704,13.5280898876405,"Ontario","Ontario County","New York"
"36069",2017,"B08303_010","40 to 44 min",4.44249341527656,0.616525217051995,13.8779095300834,"Ontario","Ontario County","New York"
"36069",2017,"B08303_011","45 to 59 min",7.41000877963126,0.694566383767437,9.37335439705108,"Ontario","Ontario County","New York"
"36069",2017,"B08303_012","60 to 89 min",3.40844795629695,0.501414496146717,14.7109330280481,"Ontario","Ontario County","New York"
"36069",2017,"B08303_013","90 or more min",1.43205540922837,0.368744512730465,25.7493188010899,"Ontario","Ontario County","New York"
"36073",2017,"B08303_002","Less than 5 min",7.378261641323,1.61528903615171,21.8925421010425,"Orleans","Orleans County","New York"
"36073",2017,"B08303_003","5 to 9 min",14.7979409502396,2.15371871486894,14.5541783286685,"Orleans","Orleans County","New York"
"36073",2017,"B08303_004","10 to 14 min",15.0819478137388,1.99396485415064,13.2208709297764,"Orleans","Orleans County","New York"
"36073",2017,"B08303_005","15 to 19 min",12.2122951304657,1.53837051062067,12.5968992248062,"Orleans","Orleans County","New York"
"36073",2017,"B08303_006","20 to 24 min",11.2005206792497,1.46736879474587,13.1008980454305,"Orleans","Orleans County","New York"
"36073",2017,"B08303_007","25 to 29 min",5.26004378439146,0.970356783622271,18.4476940382452,"Orleans","Orleans County","New York"
"36073",2017,"B08303_008","30 to 34 min",9.99940831903438,1.19519555055914,11.9526627218935,"Orleans","Orleans County","New York"
"36073",2017,"B08303_009","35 to 39 min",3.08857464055381,0.627181823560736,20.3065134099617,"Orleans","Orleans County","New York"
"36073",2017,"B08303_010","40 to 44 min",3.83409265723922,0.769185255310337,20.0617283950617,"Orleans","Orleans County","New York"
"36073",2017,"B08303_011","45 to 59 min",9.03496834506834,1.26619726643394,14.0144073346431,"Orleans","Orleans County","New York"
"36073",2017,"B08303_012","60 to 89 min",6.79841429501213,1.50878646233951,22.1932114882507,"Orleans","Orleans County","New York"
"36073",2017,"B08303_013","90 or more min",1.31353174368381,0.431927104905035,32.8828828828829,"Orleans","Orleans County","New York"
"36099",2017,"B08303_002","Less than 5 min",7.01393178230732,1.53043716972068,21.8199608610568,"Seneca","Seneca County","New York"
"36099",2017,"B08303_003","5 to 9 min",15.02985381923,1.92162514583762,12.7853881278539,"Seneca","Seneca County","New York"
"36099",2017,"B08303_004","10 to 14 min",15.5994784160318,1.42749296547938,9.15090189177299,"Seneca","Seneca County","New York"
"36099",2017,"B08303_005","15 to 19 min",14.6043511083659,2.14810239516849,14.7086466165414,"Seneca","Seneca County","New York"
"36099",2017,"B08303_006","20 to 24 min",11.6670098140141,1.30395992038982,11.1764705882353,"Seneca","Seneca County","New York"
"36099",2017,"B08303_007","25 to 29 min",7.81003362844005,1.29023402649098,16.5202108963093,"Seneca","Seneca County","New York"
"36099",2017,"B08303_008","30 to 34 min",10.2463797954842,1.26964518564272,12.3911587407904,"Seneca","Seneca County","New York"
"36099",2017,"B08303_009","35 to 39 min",2.44320911399355,0.638254066296068,26.123595505618,"Seneca","Seneca County","New York"
"36099",2017,"B08303_010","40 to 44 min",3.23244801317686,0.754924164436209,23.3545647558386,"Seneca","Seneca County","New York"
"36099",2017,"B08303_011","45 to 59 min",6.25900761787111,1.03630498936243,16.5570175438597,"Seneca","Seneca County","New York"
"36099",2017,"B08303_012","60 to 89 min",4.26875300253929,0.899046050374031,21.0610932475884,"Seneca","Seneca County","New York"
"36099",2017,"B08303_013","90 or more min",1.82554388854574,0.514721021206506,28.1954887218045,"Seneca","Seneca County","New York"
"36117",2017,"B08303_002","Less than 5 min",4.1964351027773,0.71688083684865,17.0830912260314,"Wayne","Wayne County","New York"
"36117",2017,"B08303_003","5 to 9 min",11.9797127599912,1.11921191875351,9.34256055363322,"Wayne","Wayne County","New York"
"36117",2017,"B08303_004","10 to 14 min",11.0897076394138,1.08507473604643,9.78452066842568,"Wayne","Wayne County","New York"
"36117",2017,"B08303_005","15 to 19 min",12.0431103850187,1.07532125527298,8.9289329823851,"Wayne","Wayne County","New York"
"36117",2017,"B08303_006","20 to 24 min",13.2696105922801,1.25576064958182,9.46343256155825,"Wayne","Wayne County","New York"
"36117",2017,"B08303_007","25 to 29 min",8.75618736436566,1.00217014947209,11.4452798663325,"Wayne","Wayne County","New York"
"36117",2017,"B08303_008","30 to 34 min",15.3227182950916,1.2045548755212,7.86123488224061,"Wayne","Wayne County","New York"
"36117",2017,"B08303_009","35 to 39 min",4.70117773280339,0.568140255053522,12.0850622406639,"Wayne","Wayne County","New York"
"36117",2017,"B08303_010","40 to 44 min",6.13981614688742,0.736387798395552,11.9936457505957,"Wayne","Wayne County","New York"
"36117",2017,"B08303_011","45 to 59 min",7.68818121967277,0.753456389749092,9.80019029495718,"Wayne","Wayne County","New York"
"36117",2017,"B08303_012","60 to 89 min",3.4307868620614,0.546194923313257,15.9203980099502,"Wayne","Wayne County","New York"
"36117",2017,"B08303_013","90 or more min",1.38255589963668,0.399892711711492,28.9241622574956,"Wayne","Wayne County","New York"
"36123",2017,"B08303_002","Less than 5 min",10.2504778191329,1.76038627904637,17.1736997055937,"Yates","Yates County","New York"
"36123",2017,"B08303_003","5 to 9 min",16.2559098682225,2.20299768634946,13.5519801980198,"Yates","Yates County","New York"
"36123",2017,"B08303_004","10 to 14 min",13.3588170204205,2.44442209033296,18.2981927710843,"Yates","Yates County","New York"
"36123",2017,"B08303_005","15 to 19 min",14.3546926868524,2.2834724876773,15.9074982480729,"Yates","Yates County","New York"
