"GEOID","year","variable","Variable_Description","estimate","moe","moe_pct_of_estimate","County","Geography","State"
"36037",2017,"High School or Higher","High School or Higher",91.1,0.8,0.878155872667398,"Genesee","Genesee County","New York"
"36051",2017,"High School or Higher","High School or Higher",89.1,1,1.12233445566779,"Livingston","Livingston County","New York"
"36055",2017,"High School or Higher","High School or Higher",90.3,0.2,0.221483942414175,"Monroe","Monroe County","New York"
"36069",2017,"High School or Higher","High School or Higher",93.2,0.6,0.643776824034335,"Ontario","Ontario County","New York"
"36073",2017,"High School or Higher","High School or Higher",86.9,1.3,1.49597238204833,"Orleans","Orleans County","New York"
"36099",2017,"High School or Higher","High School or Higher",85.9,1.1,1.28055878928987,"Seneca","Seneca County","New York"
"36117",2017,"High School or Higher","High School or Higher",89.6,1,1.11607142857143,"Wayne","Wayne County","New York"
"36123",2017,"High School or Higher","High School or Higher",86.1,1.2,1.39372822299652,"Yates","Yates County","New York"
"36037",2018,"High School or Higher","High School or Higher",92.1,0.8,0.868621064060804,"Genesee","Genesee County","New York"
"36051",2018,"High School or Higher","High School or Higher",89.7,1.1,1.2263099219621,"Livingston","Livingston County","New York"
"36055",2018,"High School or Higher","High School or Higher",90.3,0.2,0.221483942414175,"Monroe","Monroe County","New York"
"36069",2018,"High School or Higher","High School or Higher",93.4,0.6,0.642398286937901,"Ontario","Ontario County","New York"
"36073",2018,"High School or Higher","High School or Higher",87.1,1.2,1.37772675086108,"Orleans","Orleans County","New York"
"36099",2018,"High School or Higher","High School or Higher",85.4,1.1,1.28805620608899,"Seneca","Seneca County","New York"
"36117",2018,"High School or Higher","High School or Higher",89.4,0.8,0.894854586129754,"Wayne","Wayne County","New York"
"36123",2018,"High School or Higher","High School or Higher",86.2,1.5,1.74013921113689,"Yates","Yates County","New York"
"36037",2019,"High School or Higher","High School or Higher",92.2,0.7,0.759219088937093,"Genesee","Genesee County","New York"
"36051",2019,"High School or Higher","High School or Higher",90.6,0.8,0.883002207505519,"Livingston","Livingston County","New York"
"36055",2019,"High School or Higher","High School or Higher",90.4,0.3,0.331858407079646,"Monroe","Monroe County","New York"
"36069",2019,"High School or Higher","High School or Higher",93.9,0.4,0.425985090521832,"Ontario","Ontario County","New York"
"36073",2019,"High School or Higher","High School or Higher",87.7,1.3,1.48232611174458,"Orleans","Orleans County","New York"
"36099",2019,"High School or Higher","High School or Higher",84.8,1.2,1.41509433962264,"Seneca","Seneca County","New York"
"36117",2019,"High School or Higher","High School or Higher",89.2,0.9,1.00896860986547,"Wayne","Wayne County","New York"
"36123",2019,"High School or Higher","High School or Higher",86.4,1.5,1.73611111111111,"Yates","Yates County","New York"
"36037",2020,"High School or Higher","High School or Higher",92.2,0.9,0.976138828633406,"Genesee","Genesee County","New York"
"36051",2020,"High School or Higher","High School or Higher",91.8,0.7,0.762527233115468,"Livingston","Livingston County","New York"
"36055",2020,"High School or Higher","High School or Higher",90.8,0.3,0.330396475770925,"Monroe","Monroe County","New York"
