"GEOID","year","variable","Variable_Description","estimate","moe","moe_pct_of_estimate","County","Geography","State"
"3603700474",2017,"High School or Higher","High School or Higher",90.7,3.4,3.74862183020948,"Genesee","Alabama town","New York"
"3603701165",2017,"High School or Higher","High School or Higher",90.7,3.1,3.41786108048512,"Genesee","Alexander town","New York"
"3603704715",2017,"High School or Higher","High School or Higher",88.7,1.7,1.91657271702368,"Genesee","Batavia city","New York"
"3603704726",2017,"High School or Higher","High School or Higher",94.3,2.9,3.07529162248144,"Genesee","Batavia town","New York"
"3603706057",2017,"High School or Higher","High School or Higher",94.1,3.3,3.50690754516472,"Genesee","Bergen town","New York"
"3603706266",2017,"High School or Higher","High School or Higher",94.5,2.9,3.06878306878307,"Genesee","Bethany town","New York"
"3603711572",2017,"High School or Higher","High School or Higher",91,3.6,3.95604395604396,"Genesee","Byron town","New York"
"3603719719",2017,"High School or Higher","High School or Higher",95.7,1.7,1.77638453500522,"Genesee","Darien town","New York"
"3603723756",2017,"High School or Higher","High School or Higher",85.8,5.5,6.41025641025641,"Genesee","Elba town","New York"
"3603742037",2017,"High School or Higher","High School or Higher",93,2.5,2.68817204301075,"Genesee","Le Roy town","New York"
"3603754166",2017,"High School or Higher","High School or Higher",86.3,5.7,6.60486674391657,"Genesee","Oakfield town","New York"
"3603756792",2017,"High School or Higher","High School or Higher",93.7,2.6,2.77481323372465,"Genesee","Pavilion town","New York"
"3603757078",2017,"High School or Higher","High School or Higher",89.3,3.8,4.25531914893617,"Genesee","Pembroke town","New York"
"3603770607",2017,"High School or Higher","High School or Higher",92,3.2,3.47826086956522,"Genesee","Stafford town","New York"
"3603775011",2017,"High School or Higher","High School or Higher",86.7,6.4,7.38177623990773,"Genesee","Tonawanda Reservation","New York"
"3605103364",2017,"High School or Higher","High School or Higher",94.4,1.8,1.90677966101695,"Livingston","Avon town","New York"
"3605111715",2017,"High School or Higher","High School or Higher",91.2,3.1,3.39912280701754,"Livingston","Caledonia town","New York"
"3605117618",2017,"High School or Higher","High School or Higher",91.2,3.4,3.7280701754386,"Livingston","Conesus town","New York"
"3605128629",2017,"High School or Higher","High School or Higher",90.1,3.1,3.44062153163152,"Livingston","Geneseo town","New York"
"3605131016",2017,"High School or Higher","High School or Higher",80.3,3.5,4.35865504358655,"Livingston","Groveland town","New York"
"3605141883",2017,"High School or Higher","High School or Higher",88.5,4.9,5.53672316384181,"Livingston","Leicester town","New York"
"3605142334",2017,"High School or Higher","High School or Higher",92.2,2.6,2.81995661605206,"Livingston","Lima town","New York"
"3605142961",2017,"High School or Higher","High School or Higher",94.4,3.2,3.38983050847458,"Livingston","Livonia town","New York"
"3605148956",2017,"High School or Higher","High School or Higher",82.1,6.6,8.03897685749087,"Livingston","Mount Morris town","New York"
"3605151869",2017,"High School or Higher","High School or Higher",82.3,5.5,6.68286755771567,"Livingston","North Dansville town","New York"
"3605154089",2017,"High School or Higher","High School or Higher",89.8,3.3,3.67483296213808,"Livingston","Nunda town","New York"
"3605155508",2017,"High School or Higher","High School or Higher",92,2.8,3.04347826086956,"Livingston","Ossian town","New York"
"3605159179",2017,"High School or Higher","High School or Higher",87.3,4,4.58190148911798,"Livingston","Portage town","New York"
"3605170101",2017,"High School or Higher","High School or Higher",88.1,3.1,3.51872871736663,"Livingston","Sparta town","New York"
"3605170475",2017,"High School or Higher","High School or Higher",85.3,4.3,5.04103165298945,"Livingston","Springwater town","New York"
"3605181006",2017,"High School or Higher","High School or Higher",83.3,5.7,6.84273709483794,"Livingston","West Sparta town","New York"
"3605184022",2017,"High School or Higher","High School or Higher",92.2,3,3.25379609544469,"Livingston","York town","New York"
"3605500000",2017,"High School or Higher","High School or Higher",NA,0,NA,"Monroe","County subdivisions not defined","New York"
"3605508246",2017,"High School or Higher","High School or Higher",95.9,0.8,0.834202294056309,"Monroe","Brighton town","New York"
"3605515462",2017,"High School or Higher","High School or Higher",94.8,1.1,1.16033755274262,"Monroe","Chili town","New York"
"3605515957",2017,"High School or Higher","High School or Higher",89.3,7.8,8.73460246360582,"Monroe","Clarkson town","New York"
"3605522870",2017,"High School or Higher","High School or Higher",93.5,2.4,2.5668449197861,"Monroe","East Rochester town","New York"
"3605528442",2017,"High School or Higher","High School or Higher",87.3,1.7,1.94730813287514,"Monroe","Gates town","New York"
"3605530290",2017,"High School or Higher","High School or Higher",92.2,0.9,0.976138828633406,"Monroe","Greece town","New York"
"3605531797",2017,"High School or Higher","High School or Higher",92.5,2.2,2.37837837837838,"Monroe","Hamlin town","New York"
"3605534099",2017,"High School or Higher","High School or Higher",90,1.6,1.77777777777778,"Monroe","Henrietta town","New York"
"3605537726",2017,"High School or Higher","High School or Higher",92.3,1,1.08342361863489,"Monroe","Irondequoit town","New York"
"3605546558",2017,"High School or Higher","High School or Higher",97.5,1.2,1.23076923076923,"Monroe","Mendon town","New York"
"3605554474",2017,"High School or Higher","High School or Higher",95.5,1,1.04712041884817,"Monroe","Ogden town","New York"
"3605556561",2017,"High School or Higher","High School or Higher",95.6,1.6,1.67364016736402,"Monroe","Parma town","New York"
"3605557144",2017,"High School or Higher","High School or Higher",94,1,1.06382978723404,"Monroe","Penfield town","New York"
"3605557221",2017,"High School or Higher","High School or Higher",96.5,0.7,0.725388601036269,"Monroe","Perinton town","New York"
"3605558365",2017,"High School or Higher","High School or Higher",98.2,0.6,0.610997963340122,"Monroe","Pittsford town","New York"
"3605561808",2017,"High School or Higher","High School or Higher",93.7,2.7,2.88153681963714,"Monroe","Riga town","New York"
"3605563000",2017,"High School or Higher","High School or Higher",80.8,0.7,0.866336633663366,"Monroe","Rochester city","New York"
"3605564144",2017,"High School or Higher","High School or Higher",96.6,2.1,2.17391304347826,"Monroe","Rush town","New York"
"3605572455",2017,"High School or Higher","High School or Higher",93.3,1.9,2.03644158628081,"Monroe","Sweden town","New York"
"3605578971",2017,"High School or Higher","High School or Higher",95.4,1,1.0482180293501,"Monroe","Webster town","New York"
"3605581402",2017,"High School or Higher","High School or Higher",95.4,2.6,2.72536687631027,"Monroe","Wheatland town","New York"
"3606908378",2017,"High School or Higher","High School or Higher",95.8,1.6,1.67014613778706,"Ontario","Bristol town","New York"
"3606912100",2017,"High School or Higher","High School or Higher",88.2,4.9,5.55555555555556,"Ontario","Canadice town","New York"
"3606912144",2017,"High School or Higher","High School or Higher",95.2,1.4,1.47058823529412,"Ontario","Canandaigua city","New York"
"3606912155",2017,"High School or Higher","High School or Higher",95.8,1.6,1.67014613778706,"Ontario","Canandaigua town","New York"
"3606921699",2017,"High School or Higher","High School or Higher",94,3.1,3.29787234042553,"Ontario","East Bloomfield town","New York"
"3606925406",2017,"High School or Higher","High School or Higher",96.3,1.5,1.55763239875389,"Ontario","Farmington town","New York"
"3606928640",2017,"High School or Higher","High School or Higher",84.9,2.9,3.41578327444052,"Ontario","Geneva city","New York"
"3606928651",2017,"High School or Higher","High School or Higher",93.9,2.8,2.98189563365282,"Ontario","Geneva town","New York"
"3606929531",2017,"High School or Higher","High School or Higher",92.3,2.6,2.8169014084507,"Ontario","Gorham town","New York"
"3606935551",2017,"High School or Higher","High School or Higher",90.1,3.2,3.55160932297447,"Ontario","Hopewell town","New York"
"3606944864",2017,"High School or Higher","High School or Higher",89.7,2.3,2.56410256410256,"Ontario","Manchester town","New York"
"3606949440",2017,"High School or Higher","High School or Higher",92.6,2.3,2.48380129589633,"Ontario","Naples town","New York"
"3606957529",2017,"High School or Higher","High School or Higher",91.1,2.8,3.07354555433589,"Ontario","Phelps town","New York"
"3606961544",2017,"High School or Higher","High School or Higher",97.4,2,2.05338809034908,"Ontario","Richmond town","New York"
"3606966289",2017,"High School or Higher","High School or Higher",92.6,3,3.23974082073434,"Ontario","Seneca town","New York"
"3606968660",2017,"High School or Higher","High School or Higher",97.9,1.1,1.12359550561798,"Ontario","South Bristol town","New York"
"3606977387",2017,"High School or Higher","High School or Higher",96.7,1.4,1.44777662874871,"Ontario","Victor town","New York"
"3606979356",2017,"High School or Higher","High School or Higher",90.8,3.3,3.63436123348018,"Ontario","West Bloomfield town","New York"
"3607300000",2017,"High School or Higher","High School or Higher",NA,0,NA,"Orleans","County subdivisions not defined","New York"
"3607301044",2017,"High School or Higher","High School or Higher",78.7,4.3,5.46378653113088,"Orleans","Albion town","New York"
"3607304572",2017,"High School or Higher","High School or Higher",88.8,2.6,2.92792792792793,"Orleans","Barre town","New York"
"3607312496",2017,"High School or Higher","High School or Higher",91.9,3.1,3.37323177366703,"Orleans","Carlton town","New York"
"3607315880",2017,"High School or Higher","High School or Higher",90.1,3.5,3.88457269700333,"Orleans","Clarendon town","New York"
"3607327958",2017,"High School or Higher","High School or Higher",84,6.1,7.26190476190476,"Orleans","Gaines town","New York"
"3607339188",2017,"High School or Higher","High School or Higher",93.4,2.5,2.67665952890792,"Orleans","Kendall town","New York"
"3607349286",2017,"High School or Higher","High School or Higher",87.9,3.5,3.98179749715586,"Orleans","Murray town","New York"
"3607361742",2017,"High School or Higher","High School or Higher",88.5,2.8,3.1638418079096,"Orleans","Ridgeway town","New York"
"3607366751",2017,"High School or Higher","High School or Higher",90.4,2.8,3.09734513274336,"Orleans","Shelby town","New York"
"3607383448",2017,"High School or Higher","High School or Higher",87.2,3.1,3.55504587155963,"Orleans","Yates town","New York"
"3609918663",2017,"High School or Higher","High School or Higher",91.6,2.6,2.83842794759825,"Seneca","Covert town","New York"
"3609925505",2017,"High School or Higher","High School or Higher",88.6,4.9,5.53047404063205,"Seneca","Fayette town","New York"
"3609928640",2017,"High School or Higher","High School or Higher",NA,0,NA,"Seneca","Geneva city","New York"
"3609938858",2017,"High School or Higher","High School or Higher",80.6,4.7,5.83126550868486,"Seneca","Junius town","New York"
"3609943225",2017,"High School or Higher","High School or Higher",86.3,4.2,4.8667439165701,"Seneca","Lodi town","New York"
"3609955827",2017,"High School or Higher","High School or Higher",86.5,3.5,4.04624277456647,"Seneca","Ovid town","New York"
"3609963440",2017,"High School or Higher","High School or Higher",68.5,4,5.83941605839416,"Seneca","Romulus town","New York"
"3609966333",2017,"High School or Higher","High School or Higher",91.7,2.2,2.39912758996728,"Seneca","Seneca Falls town","New York"
"3609975902",2017,"High School or Higher","High School or Higher",86,3.5,4.06976744186047,"Seneca","Tyre town","New York"
"3609976958",2017,"High School or Higher","High School or Higher",84.4,4.8,5.68720379146919,"Seneca","Varick town","New York"
"3609978564",2017,"High School or Higher","High School or Higher",88.2,2.9,3.28798185941043,"Seneca","Waterloo town","New York"
"3611700000",2017,"High School or Higher","High School or Higher",NA,0,NA,"Wayne","County subdivisions not defined","New York"
"3611702440",2017,"High School or Higher","High School or Higher",90,3.7,4.11111111111111,"Wayne","Arcadia town","New York"
"3611711473",2017,"High School or Higher","High School or Higher",84.2,3.8,4.51306413301663,"Wayne","Butler town","New York"
"3611728013",2017,"High School or Higher","High School or Higher",82,4.2,5.1219512195122,"Wayne","Galen town","New York"
"3611737165",2017,"High School or Higher","High School or Higher",91.7,3,3.27153762268266,"Wayne","Huron town","New York"
"3611743973",2017,"High School or Higher","High School or Higher",88.1,3.4,3.85925085130533,"Wayne","Lyons town","New York"
"3611744160",2017,"High School or Higher","High School or Higher",92.2,2.2,2.38611713665944,"Wayne","Macedon town","New York"
"3611745645",2017,"High School or Higher","High School or Higher",91.2,3.4,3.7280701754386,"Wayne","Marion town","New York"
"3611755013",2017,"High School or Higher","High School or Higher",93.8,2.1,2.23880597014925,"Wayne","Ontario town","New York"
"3611756198",2017,"High School or Higher","High School or Higher",87.6,2.4,2.73972602739726,"Wayne","Palmyra town","New York"
"3611763605",2017,"High School or Higher","High School or Higher",84.4,4.7,5.56872037914692,"Wayne","Rose town","New York"
"3611765343",2017,"High School or Higher","High School or Higher",80,4.7,5.875,"Wayne","Savannah town","New York"
"3611768220",2017,"High School or Higher","High School or Higher",88,2.6,2.95454545454545,"Wayne","Sodus town","New York"
"3611778102",2017,"High School or Higher","High School or Higher",96.7,1.1,1.13753877973113,"Wayne","Walworth town","New York"
"3611782040",2017,"High School or Higher","High School or Higher",87.1,3.5,4.01836969001148,"Wayne","Williamson town","New York"
"3611782689",2017,"High School or Higher","High School or Higher",82.1,3.7,4.50669914738124,"Wayne","Wolcott town","New York"
"3612304594",2017,"High School or Higher","High School or Higher",74.4,6.2,8.33333333333333,"Yates","Barrington town","New York"
"3612306002",2017,"High School or Higher","High School or Higher",75.3,4.8,6.37450199203187,"Yates","Benton town","New York"
"3612338044",2017,"High School or Higher","High School or Higher",89.6,4.1,4.57589285714286,"Yates","Italy town","New York"
"3612338583",2017,"High School or Higher","High School or Higher",89.8,3.3,3.67483296213808,"Yates","Jerusalem town","New York"
"3612347020",2017,"High School or Higher","High School or Higher",94.7,2.2,2.32312565997888,"Yates","Middlesex town","New York"
"3612347504",2017,"High School or Higher","High School or Higher",87.9,3.3,3.7542662116041,"Yates","Milo town","New York"
"3612359597",2017,"High School or Higher","High School or Higher",80.3,5.2,6.47571606475716,"Yates","Potter town","New York"
"3612370816",2017,"High School or Higher","High School or Higher",90.3,4.2,4.65116279069767,"Yates","Starkey town","New York"
"3612375055",2017,"High School or Higher","High School or Higher",84.5,5.4,6.3905325443787,"Yates","Torrey town","New York"
"3603700474",2018,"High School or Higher","High School or Higher",92,2.5,2.71739130434783,"Genesee","Alabama town","New York"
"3603701165",2018,"High School or Higher","High School or Higher",90.5,3.6,3.97790055248619,"Genesee","Alexander town","New York"
"3603704715",2018,"High School or Higher","High School or Higher",89.7,1.7,1.89520624303233,"Genesee","Batavia city","New York"
"3603704726",2018,"High School or Higher","High School or Higher",96.3,2.5,2.59605399792316,"Genesee","Batavia town","New York"
"3603706057",2018,"High School or Higher","High School or Higher",93.2,3,3.21888412017167,"Genesee","Bergen town","New York"
"3603706266",2018,"High School or Higher","High School or Higher",93.9,3.2,3.40788072417465,"Genesee","Bethany town","New York"
"3603711572",2018,"High School or Higher","High School or Higher",89.7,3.9,4.34782608695652,"Genesee","Byron town","New York"
"3603719719",2018,"High School or Higher","High School or Higher",94.2,2.5,2.65392781316348,"Genesee","Darien town","New York"
"3603723756",2018,"High School or Higher","High School or Higher",87.4,5.4,6.17848970251716,"Genesee","Elba town","New York"
"3603742037",2018,"High School or Higher","High School or Higher",93.8,2.6,2.77185501066098,"Genesee","Le Roy town","New York"
"3603754166",2018,"High School or Higher","High School or Higher",93,1.9,2.04301075268817,"Genesee","Oakfield town","New York"
"3603756792",2018,"High School or Higher","High School or Higher",93.2,2.8,3.00429184549356,"Genesee","Pavilion town","New York"
"3603757078",2018,"High School or Higher","High School or Higher",89.6,4.5,5.02232142857143,"Genesee","Pembroke town","New York"
"3603770607",2018,"High School or Higher","High School or Higher",93.2,2.9,3.11158798283262,"Genesee","Stafford town","New York"
"3603775011",2018,"High School or Higher","High School or Higher",89.9,6.1,6.7853170189099,"Genesee","Tonawanda Reservation","New York"
"3605103364",2018,"High School or Higher","High School or Higher",95.1,2.1,2.20820189274448,"Livingston","Avon town","New York"
"3605111715",2018,"High School or Higher","High School or Higher",91.1,3.2,3.51262349066959,"Livingston","Caledonia town","New York"
"3605117618",2018,"High School or Higher","High School or Higher",93.7,3.3,3.52187833511206,"Livingston","Conesus town","New York"
"3605128629",2018,"High School or Higher","High School or Higher",90.7,3,3.30760749724366,"Livingston","Geneseo town","New York"
"3605131016",2018,"High School or Higher","High School or Higher",80.4,4.2,5.22388059701492,"Livingston","Groveland town","New York"
"3605141883",2018,"High School or Higher","High School or Higher",89.5,3,3.35195530726257,"Livingston","Leicester town","New York"
"3605142334",2018,"High School or Higher","High School or Higher",93.2,2.1,2.25321888412017,"Livingston","Lima town","New York"
"3605142961",2018,"High School or Higher","High School or Higher",94.9,2.7,2.84510010537408,"Livingston","Livonia town","New York"
"3605148956",2018,"High School or Higher","High School or Higher",84.4,5.6,6.63507109004739,"Livingston","Mount Morris town","New York"
"3605151869",2018,"High School or Higher","High School or Higher",84,4.6,5.47619047619048,"Livingston","North Dansville town","New York"
"3605154089",2018,"High School or Higher","High School or Higher",87.8,5.3,6.03644646924829,"Livingston","Nunda town","New York"
