"GEOID","year","variable","Variable_Description","estimate","moe","moe_pct_of_estimate","County","Geography","State"
"36037",2015,"S2301_C02_001","Labor Force Participation Rate",65.5,1,1.52671755725191,"Genesee","Genesee County","New York"
"36037",2015,"S2301_C03_001","Employment-Population Ratio",61,1,1.63934426229508,"Genesee","Genesee County","New York"
"36037",2015,"S2301_C04_001","Unemployment Rate",6.7,0.7,10.4477611940298,"Genesee","Genesee County","New York"
"36051",2015,"S2301_C02_001","Labor Force Participation Rate",58.8,1.1,1.87074829931973,"Livingston","Livingston County","New York"
"36051",2015,"S2301_C03_001","Employment-Population Ratio",55.6,1.2,2.15827338129496,"Livingston","Livingston County","New York"
"36051",2015,"S2301_C04_001","Unemployment Rate",5.4,0.8,14.8148148148148,"Livingston","Livingston County","New York"
"36055",2015,"S2301_C02_001","Labor Force Participation Rate",64.7,0.4,0.618238021638331,"Monroe","Monroe County","New York"
"36055",2015,"S2301_C03_001","Employment-Population Ratio",59.7,0.4,0.670016750418761,"Monroe","Monroe County","New York"
"36055",2015,"S2301_C04_001","Unemployment Rate",7.7,0.3,3.8961038961039,"Monroe","Monroe County","New York"
"36069",2015,"S2301_C02_001","Labor Force Participation Rate",64.1,0.9,1.40405616224649,"Ontario","Ontario County","New York"
"36069",2015,"S2301_C03_001","Employment-Population Ratio",60,0.9,1.5,"Ontario","Ontario County","New York"
"36069",2015,"S2301_C04_001","Unemployment Rate",6.4,0.8,12.5,"Ontario","Ontario County","New York"
"36073",2015,"S2301_C02_001","Labor Force Participation Rate",54.9,1.7,3.09653916211293,"Orleans","Orleans County","New York"
"36073",2015,"S2301_C03_001","Employment-Population Ratio",49.9,1.7,3.40681362725451,"Orleans","Orleans County","New York"
"36073",2015,"S2301_C04_001","Unemployment Rate",9,1.3,14.4444444444444,"Orleans","Orleans County","New York"
"36099",2015,"S2301_C02_001","Labor Force Participation Rate",56.7,1.3,2.29276895943563,"Seneca","Seneca County","New York"
"36099",2015,"S2301_C03_001","Employment-Population Ratio",53.5,1.4,2.61682242990654,"Seneca","Seneca County","New York"
"36099",2015,"S2301_C04_001","Unemployment Rate",5.5,0.9,16.3636363636364,"Seneca","Seneca County","New York"
"36117",2015,"S2301_C02_001","Labor Force Participation Rate",62.9,1,1.58982511923688,"Wayne","Wayne County","New York"
"36117",2015,"S2301_C03_001","Employment-Population Ratio",58.1,1.2,2.06540447504303,"Wayne","Wayne County","New York"
"36117",2015,"S2301_C04_001","Unemployment Rate",7.5,0.9,12,"Wayne","Wayne County","New York"
"36123",2015,"S2301_C02_001","Labor Force Participation Rate",61.5,1.7,2.76422764227642,"Yates","Yates County","New York"
"36123",2015,"S2301_C03_001","Employment-Population Ratio",57.2,1.7,2.97202797202797,"Yates","Yates County","New York"
"36123",2015,"S2301_C04_001","Unemployment Rate",6.9,1.1,15.9420289855072,"Yates","Yates County","New York"
"36037",2016,"S2301_C02_001","Labor Force Participation Rate",65.1,0.9,1.38248847926267,"Genesee","Genesee County","New York"
"36037",2016,"S2301_C03_001","Employment-Population Ratio",61.6,1,1.62337662337662,"Genesee","Genesee County","New York"
"36037",2016,"S2301_C04_001","Unemployment Rate",5.4,0.8,14.8148148148148,"Genesee","Genesee County","New York"
"36051",2016,"S2301_C02_001","Labor Force Participation Rate",57.7,1.2,2.07972270363951,"Livingston","Livingston County","New York"
"36051",2016,"S2301_C03_001","Employment-Population Ratio",54.7,1.2,2.19378427787934,"Livingston","Livingston County","New York"
"36051",2016,"S2301_C04_001","Unemployment Rate",5.1,0.9,17.6470588235294,"Livingston","Livingston County","New York"
"36055",2016,"S2301_C02_001","Labor Force Participation Rate",64.8,0.4,0.617283950617284,"Monroe","Monroe County","New York"
"36055",2016,"S2301_C03_001","Employment-Population Ratio",60,0.4,0.666666666666667,"Monroe","Monroe County","New York"
"36055",2016,"S2301_C04_001","Unemployment Rate",7.3,0.3,4.10958904109589,"Monroe","Monroe County","New York"
"36069",2016,"S2301_C02_001","Labor Force Participation Rate",64,0.9,1.40625,"Ontario","Ontario County","New York"
"36069",2016,"S2301_C03_001","Employment-Population Ratio",60.4,0.9,1.49006622516556,"Ontario","Ontario County","New York"
"36069",2016,"S2301_C04_001","Unemployment Rate",5.5,0.6,10.9090909090909,"Ontario","Ontario County","New York"
"36073",2016,"S2301_C02_001","Labor Force Participation Rate",56.4,1.7,3.01418439716312,"Orleans","Orleans County","New York"
"36073",2016,"S2301_C03_001","Employment-Population Ratio",52.1,1.7,3.26295585412668,"Orleans","Orleans County","New York"
"36073",2016,"S2301_C04_001","Unemployment Rate",7.4,1.2,16.2162162162162,"Orleans","Orleans County","New York"
"36099",2016,"S2301_C02_001","Labor Force Participation Rate",56.8,2,3.52112676056338,"Seneca","Seneca County","New York"
"36099",2016,"S2301_C03_001","Employment-Population Ratio",53.8,1.9,3.53159851301115,"Seneca","Seneca County","New York"
"36099",2016,"S2301_C04_001","Unemployment Rate",5.3,0.8,15.0943396226415,"Seneca","Seneca County","New York"
"36117",2016,"S2301_C02_001","Labor Force Participation Rate",62.9,0.9,1.4308426073132,"Wayne","Wayne County","New York"
"36117",2016,"S2301_C03_001","Employment-Population Ratio",58.4,1.1,1.88356164383562,"Wayne","Wayne County","New York"
"36117",2016,"S2301_C04_001","Unemployment Rate",7,1,14.2857142857143,"Wayne","Wayne County","New York"
"36123",2016,"S2301_C02_001","Labor Force Participation Rate",60.7,1.9,3.13014827018122,"Yates","Yates County","New York"
