"GEOID","year","variable","Variable_Description","estimate","moe","moe_pct_of_estimate","County","Geography","State"
"3603700474",2015,"S2301_C02_001","Labor Force Participation Rate",65.7,4.8,7.30593607305936,"Genesee","Alabama town","New York"
"3603700474",2015,"S2301_C03_001","Employment-Population Ratio",62.3,5,8.02568218298555,"Genesee","Alabama town","New York"
"3603700474",2015,"S2301_C04_001","Unemployment Rate",5.2,2.4,46.1538461538462,"Genesee","Alabama town","New York"
"3603701165",2015,"S2301_C02_001","Labor Force Participation Rate",69.9,3.9,5.5793991416309,"Genesee","Alexander town","New York"
"3603701165",2015,"S2301_C03_001","Employment-Population Ratio",63.5,3.6,5.66929133858268,"Genesee","Alexander town","New York"
"3603701165",2015,"S2301_C04_001","Unemployment Rate",9.1,4.4,48.3516483516484,"Genesee","Alexander town","New York"
"3603704715",2015,"S2301_C02_001","Labor Force Participation Rate",61.6,2.2,3.57142857142857,"Genesee","Batavia city","New York"
"3603704715",2015,"S2301_C03_001","Employment-Population Ratio",57.8,2.1,3.63321799307958,"Genesee","Batavia city","New York"
"3603704715",2015,"S2301_C04_001","Unemployment Rate",6.2,1.4,22.5806451612903,"Genesee","Batavia city","New York"
"3603704726",2015,"S2301_C02_001","Labor Force Participation Rate",63,4.5,7.14285714285714,"Genesee","Batavia town","New York"
"3603704726",2015,"S2301_C03_001","Employment-Population Ratio",58.5,4.2,7.17948717948718,"Genesee","Batavia town","New York"
"3603704726",2015,"S2301_C04_001","Unemployment Rate",7.1,3,42.2535211267606,"Genesee","Batavia town","New York"
"3603706057",2015,"S2301_C02_001","Labor Force Participation Rate",60.8,6.5,10.6907894736842,"Genesee","Bergen town","New York"
"3603706057",2015,"S2301_C03_001","Employment-Population Ratio",56.5,7.2,12.7433628318584,"Genesee","Bergen town","New York"
"3603706057",2015,"S2301_C04_001","Unemployment Rate",7.2,4,55.5555555555556,"Genesee","Bergen town","New York"
"3603706266",2015,"S2301_C02_001","Labor Force Participation Rate",61.6,4.7,7.62987012987013,"Genesee","Bethany town","New York"
"3603706266",2015,"S2301_C03_001","Employment-Population Ratio",59.2,4.5,7.60135135135135,"Genesee","Bethany town","New York"
"3603706266",2015,"S2301_C04_001","Unemployment Rate",3.9,2,51.2820512820513,"Genesee","Bethany town","New York"
"3603711572",2015,"S2301_C02_001","Labor Force Participation Rate",66.1,4.8,7.26172465960666,"Genesee","Byron town","New York"
"3603711572",2015,"S2301_C03_001","Employment-Population Ratio",61.9,5.1,8.23909531502423,"Genesee","Byron town","New York"
"3603711572",2015,"S2301_C04_001","Unemployment Rate",6.4,2.7,42.1875,"Genesee","Byron town","New York"
"3603719719",2015,"S2301_C02_001","Labor Force Participation Rate",66.3,3.5,5.2790346907994,"Genesee","Darien town","New York"
"3603719719",2015,"S2301_C03_001","Employment-Population Ratio",61.2,3.4,5.55555555555556,"Genesee","Darien town","New York"
"3603719719",2015,"S2301_C04_001","Unemployment Rate",7.3,2.6,35.6164383561644,"Genesee","Darien town","New York"
"3603723756",2015,"S2301_C02_001","Labor Force Participation Rate",74.5,4.4,5.90604026845638,"Genesee","Elba town","New York"
"3603723756",2015,"S2301_C03_001","Employment-Population Ratio",71.1,4.4,6.18846694796062,"Genesee","Elba town","New York"
"3603723756",2015,"S2301_C04_001","Unemployment Rate",4.5,2.1,46.6666666666667,"Genesee","Elba town","New York"
"3603742037",2015,"S2301_C02_001","Labor Force Participation Rate",70.7,3.6,5.09193776520509,"Genesee","Le Roy town","New York"
"3603742037",2015,"S2301_C03_001","Employment-Population Ratio",66.2,3.6,5.4380664652568,"Genesee","Le Roy town","New York"
"3603742037",2015,"S2301_C04_001","Unemployment Rate",6.2,2.6,41.9354838709677,"Genesee","Le Roy town","New York"
"3603754166",2015,"S2301_C02_001","Labor Force Participation Rate",66.7,4.4,6.59670164917541,"Genesee","Oakfield town","New York"
"3603754166",2015,"S2301_C03_001","Employment-Population Ratio",61.2,4.1,6.69934640522876,"Genesee","Oakfield town","New York"
"3603754166",2015,"S2301_C04_001","Unemployment Rate",8.4,2.9,34.5238095238095,"Genesee","Oakfield town","New York"
"3603756792",2015,"S2301_C02_001","Labor Force Participation Rate",71.6,3.6,5.02793296089385,"Genesee","Pavilion town","New York"
"3603756792",2015,"S2301_C03_001","Employment-Population Ratio",65.2,3.6,5.52147239263804,"Genesee","Pavilion town","New York"
"3603756792",2015,"S2301_C04_001","Unemployment Rate",9,3.5,38.8888888888889,"Genesee","Pavilion town","New York"
"3603757078",2015,"S2301_C02_001","Labor Force Participation Rate",66.8,4.3,6.43712574850299,"Genesee","Pembroke town","New York"
"3603757078",2015,"S2301_C03_001","Employment-Population Ratio",62.8,4.1,6.52866242038217,"Genesee","Pembroke town","New York"
"3603757078",2015,"S2301_C04_001","Unemployment Rate",5.9,2.6,44.0677966101695,"Genesee","Pembroke town","New York"
"3603770607",2015,"S2301_C02_001","Labor Force Participation Rate",65.8,5.2,7.90273556231003,"Genesee","Stafford town","New York"
"3603770607",2015,"S2301_C03_001","Employment-Population Ratio",62.8,5.3,8.43949044585987,"Genesee","Stafford town","New York"
"3603770607",2015,"S2301_C04_001","Unemployment Rate",4.6,2.3,50,"Genesee","Stafford town","New York"
"3603775011",2015,"S2301_C02_001","Labor Force Participation Rate",57.2,6,10.4895104895105,"Genesee","Tonawanda Reservation","New York"
"3603775011",2015,"S2301_C03_001","Employment-Population Ratio",41.9,7.6,18.1384248210024,"Genesee","Tonawanda Reservation","New York"
"3603775011",2015,"S2301_C04_001","Unemployment Rate",26.9,9.3,34.5724907063197,"Genesee","Tonawanda Reservation","New York"
"3605103364",2015,"S2301_C02_001","Labor Force Participation Rate",72.5,3.3,4.55172413793103,"Livingston","Avon town","New York"
"3605103364",2015,"S2301_C03_001","Employment-Population Ratio",70.5,3.1,4.39716312056738,"Livingston","Avon town","New York"
"3605103364",2015,"S2301_C04_001","Unemployment Rate",2.7,1.2,44.4444444444444,"Livingston","Avon town","New York"
"3605111715",2015,"S2301_C02_001","Labor Force Participation Rate",68.2,3.3,4.83870967741935,"Livingston","Caledonia town","New York"
"3605111715",2015,"S2301_C03_001","Employment-Population Ratio",64.5,3.4,5.27131782945736,"Livingston","Caledonia town","New York"
"3605111715",2015,"S2301_C04_001","Unemployment Rate",5.5,2.4,43.6363636363636,"Livingston","Caledonia town","New York"
"3605117618",2015,"S2301_C02_001","Labor Force Participation Rate",69.7,4.5,6.45624103299857,"Livingston","Conesus town","New York"
"3605117618",2015,"S2301_C03_001","Employment-Population Ratio",66.5,4.6,6.91729323308271,"Livingston","Conesus town","New York"
"3605117618",2015,"S2301_C04_001","Unemployment Rate",4.6,2.4,52.1739130434783,"Livingston","Conesus town","New York"
"3605128629",2015,"S2301_C02_001","Labor Force Participation Rate",48.8,3.5,7.17213114754099,"Livingston","Geneseo town","New York"
"3605128629",2015,"S2301_C03_001","Employment-Population Ratio",46.1,3.4,7.37527114967462,"Livingston","Geneseo town","New York"
"3605128629",2015,"S2301_C04_001","Unemployment Rate",5.7,1.9,33.3333333333333,"Livingston","Geneseo town","New York"
"3605131016",2015,"S2301_C02_001","Labor Force Participation Rate",23.9,3.7,15.4811715481172,"Livingston","Groveland town","New York"
"3605131016",2015,"S2301_C03_001","Employment-Population Ratio",21.8,3.3,15.1376146788991,"Livingston","Groveland town","New York"
"3605131016",2015,"S2301_C04_001","Unemployment Rate",9,4.2,46.6666666666667,"Livingston","Groveland town","New York"
"3605141883",2015,"S2301_C02_001","Labor Force Participation Rate",68.6,4.4,6.41399416909621,"Livingston","Leicester town","New York"
"3605141883",2015,"S2301_C03_001","Employment-Population Ratio",63.9,4.2,6.57276995305164,"Livingston","Leicester town","New York"
"3605141883",2015,"S2301_C04_001","Unemployment Rate",6.8,3.8,55.8823529411765,"Livingston","Leicester town","New York"
"3605142334",2015,"S2301_C02_001","Labor Force Participation Rate",61.3,3.9,6.36215334420881,"Livingston","Lima town","New York"
"3605142334",2015,"S2301_C03_001","Employment-Population Ratio",60.3,3.9,6.46766169154229,"Livingston","Lima town","New York"
"3605142334",2015,"S2301_C04_001","Unemployment Rate",1.6,1,62.5,"Livingston","Lima town","New York"
"3605142961",2015,"S2301_C02_001","Labor Force Participation Rate",67.1,4.2,6.25931445603577,"Livingston","Livonia town","New York"
"3605142961",2015,"S2301_C03_001","Employment-Population Ratio",63,5,7.93650793650794,"Livingston","Livonia town","New York"
"3605142961",2015,"S2301_C04_001","Unemployment Rate",6,3,50,"Livingston","Livonia town","New York"
"3605148956",2015,"S2301_C02_001","Labor Force Participation Rate",54.9,6.2,11.2932604735883,"Livingston","Mount Morris town","New York"
"3605148956",2015,"S2301_C03_001","Employment-Population Ratio",50.3,6.2,12.3260437375746,"Livingston","Mount Morris town","New York"
"3605148956",2015,"S2301_C04_001","Unemployment Rate",8.3,4.6,55.4216867469879,"Livingston","Mount Morris town","New York"
"3605151869",2015,"S2301_C02_001","Labor Force Participation Rate",54.4,5.3,9.74264705882353,"Livingston","North Dansville town","New York"
