"GEOID","year","variable","Variable_Description","estimate","moe","moe_pct_of_estimate","County","Geography","State","count"
"36037",2017,"B17001B_FemPov","Black or African American alone",61.2111292962357,26.6775777414075,43.5828877005348,"Genesee","Genesee County","New York",374
"36037",2017,"B17001C_FemPov","American Indian and Alaska Native alone",24.4979919678715,13.2530120481928,54.0983606557377,"Genesee","Genesee County","New York",61
"36037",2017,"B17001D_FemPov","Asian alone",11.7370892018779,13.6150234741784,116,"Genesee","Genesee County","New York",25
"36037",2017,"B17001E_FemPov","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Genesee","Genesee County","New York",0
"36037",2017,"B17001F_FemPov","Some Other Race alone",21.4492753623188,16.8115942028986,78.3783783783784,"Genesee","Genesee County","New York",74
"36037",2017,"B17001G_FemPov","Two or More Races",33.4405144694534,15.5948553054662,46.6346153846154,"Genesee","Genesee County","New York",208
"36037",2017,"B17001H_FemPov","White alone, not Hispanic or Latino",11.7227663326954,1.49724192277384,12.7720870678617,"Genesee","Genesee County","New York",3124
"36037",2017,"B17001I_FemPov","Hispanic or Latino",27.7777777777778,13.4146341463415,48.2926829268293,"Genesee","Genesee County","New York",205
"36037",2018,"B17001B_FemPov","Black or African American alone",38.9873417721519,22.7848101265823,58.4415584415584,"Genesee","Genesee County","New York",154
"36037",2018,"B17001C_FemPov","American Indian and Alaska Native alone",12.8712871287129,8.91089108910891,69.2307692307692,"Genesee","Genesee County","New York",26
"36037",2018,"B17001D_FemPov","Asian alone",1.68067226890756,2.52100840336134,150,"Genesee","Genesee County","New York",4
"36037",2018,"B17001E_FemPov","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Genesee","Genesee County","New York",0
"36037",2018,"B17001F_FemPov","Some Other Race alone",27.3399014778325,17.7339901477833,64.8648648648649,"Genesee","Genesee County","New York",111
"36037",2018,"B17001G_FemPov","Two or More Races",44.5876288659794,21.7783505154639,48.8439306358381,"Genesee","Genesee County","New York",346
"36037",2018,"B17001H_FemPov","White alone, not Hispanic or Latino",10.9483802603694,1.44187102633969,13.1697200138265,"Genesee","Genesee County","New York",2893
"36037",2018,"B17001I_FemPov","Hispanic or Latino",25.0990752972259,9.90752972258917,39.4736842105263,"Genesee","Genesee County","New York",190
"36037",2019,"B17001B_FemPov","Black or African American alone",35.3293413173653,21.8562874251497,61.864406779661,"Genesee","Genesee County","New York",118
"36037",2019,"B17001C_FemPov","American Indian and Alaska Native alone",15.8227848101266,15.1898734177215,96,"Genesee","Genesee County","New York",25
"36037",2019,"B17001D_FemPov","Asian alone",2.73972602739726,2.73972602739726,100,"Genesee","Genesee County","New York",6
"36037",2019,"B17001E_FemPov","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Genesee","Genesee County","New York",0
"36037",2019,"B17001F_FemPov","Some Other Race alone",33.0143540669856,25.3588516746411,76.8115942028985,"Genesee","Genesee County","New York",138
"36037",2019,"B17001G_FemPov","Two or More Races",39.5180722891566,19.5180722891566,49.390243902439,"Genesee","Genesee County","New York",328
"36037",2019,"B17001H_FemPov","White alone, not Hispanic or Latino",10.5970377156818,1.24446480378684,11.7435158501441,"Genesee","Genesee County","New York",2776
"36037",2019,"B17001I_FemPov","Hispanic or Latino",26.1992619926199,10.7011070110701,40.8450704225352,"Genesee","Genesee County","New York",213
"36037",2020,"B17001B_FemPov","Black or African American alone",33.3333333333333,21.7741935483871,65.3225806451613,"Genesee","Genesee County","New York",124
"36037",2020,"B17001C_FemPov","American Indian and Alaska Native alone",14.1304347826087,12.5,88.4615384615385,"Genesee","Genesee County","New York",26
"36037",2020,"B17001D_FemPov","Asian alone",16.1849710982659,8.67052023121387,53.5714285714286,"Genesee","Genesee County","New York",28
"36037",2020,"B17001E_FemPov","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Genesee","Genesee County","New York",0
"36037",2020,"B17001F_FemPov","Some Other Race alone",29.3398533007335,23.4718826405868,80,"Genesee","Genesee County","New York",120
"36037",2020,"B17001G_FemPov","Two or More Races",31.062951496388,16.71826625387,53.8205980066445,"Genesee","Genesee County","New York",301
"36037",2020,"B17001H_FemPov","White alone, not Hispanic or Latino",10.5184274240037,1.39118404365705,13.2261600292291,"Genesee","Genesee County","New York",2737
"36037",2020,"B17001I_FemPov","Hispanic or Latino",20.6611570247934,9.44510035419126,45.7142857142857,"Genesee","Genesee County","New York",175
"36037",2021,"B17001B_FemPov","Black or African American alone",30.5031446540881,27.0440251572327,88.659793814433,"Genesee","Genesee County","New York",97
