"GEOID","year","variable","Variable_Description","estimate","moe","moe_pct_of_estimate","County","Geography","State"
"3603700474",2017,"B17001B_FemPov","Black or African American alone",0,183.333333333333,NA,"Genesee","Alabama town","New York"
"3603700474",2017,"B17001C_FemPov","American Indian and Alaska Native alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2017,"B17001D_FemPov","Asian alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2017,"B17001E_FemPov","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2017,"B17001F_FemPov","Some Other Race alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2017,"B17001G_FemPov","Two or More Races",0,52.3809523809524,NA,"Genesee","Alabama town","New York"
"3603700474",2017,"B17001H_FemPov","White alone, not Hispanic or Latino",12.9242819843342,4.77604946767165,36.9540797195605,"Genesee","Alabama town","New York"
"3603700474",2017,"B17001I_FemPov","Hispanic or Latino",0,68.75,NA,"Genesee","Alabama town","New York"
"3603700474",2018,"B17001B_FemPov","Black or African American alone",0,171.428571428571,NA,"Genesee","Alabama town","New York"
"3603700474",2018,"B17001C_FemPov","American Indian and Alaska Native alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2018,"B17001D_FemPov","Asian alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2018,"B17001E_FemPov","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2018,"B17001F_FemPov","Some Other Race alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2018,"B17001G_FemPov","Two or More Races",0,57.1428571428571,NA,"Genesee","Alabama town","New York"
"3603700474",2018,"B17001H_FemPov","White alone, not Hispanic or Latino",9.95145631067961,4.54881064583367,45.7099996605725,"Genesee","Alabama town","New York"
"3603700474",2018,"B17001I_FemPov","Hispanic or Latino",0,85.7142857142857,NA,"Genesee","Alabama town","New York"
"3603700474",2019,"B17001B_FemPov","Black or African American alone",0,150,NA,"Genesee","Alabama town","New York"
"3603700474",2019,"B17001C_FemPov","American Indian and Alaska Native alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2019,"B17001D_FemPov","Asian alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2019,"B17001E_FemPov","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2019,"B17001F_FemPov","Some Other Race alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2019,"B17001G_FemPov","Two or More Races",0,52.1739130434783,NA,"Genesee","Alabama town","New York"
"3603700474",2019,"B17001H_FemPov","White alone, not Hispanic or Latino",8.76979293544458,3.91763020902733,44.6718666890477,"Genesee","Alabama town","New York"
"3603700474",2019,"B17001I_FemPov","Hispanic or Latino",0,80,NA,"Genesee","Alabama town","New York"
"3603700474",2020,"B17001B_FemPov","Black or African American alone",100,259.807621135332,259.807621135332,"Genesee","Alabama town","New York"
"3603700474",2020,"B17001C_FemPov","American Indian and Alaska Native alone",0,36.3636363636364,NA,"Genesee","Alabama town","New York"
"3603700474",2020,"B17001D_FemPov","Asian alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2020,"B17001E_FemPov","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2020,"B17001F_FemPov","Some Other Race alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2020,"B17001G_FemPov","Two or More Races",65.1315789473684,49.8672236906568,76.5638181917154,"Genesee","Alabama town","New York"
"3603700474",2020,"B17001H_FemPov","White alone, not Hispanic or Latino",7.85413744740533,3.23589667939025,41.1998987929509,"Genesee","Alabama town","New York"
"3603700474",2020,"B17001I_FemPov","Hispanic or Latino",0,85.7142857142857,NA,"Genesee","Alabama town","New York"
"3603700474",2021,"B17001B_FemPov","Black or African American alone",100,326.802692767364,326.802692767364,"Genesee","Alabama town","New York"
"3603700474",2021,"B17001C_FemPov","American Indian and Alaska Native alone",0,1300,NA,"Genesee","Alabama town","New York"
"3603700474",2021,"B17001D_FemPov","Asian alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2021,"B17001E_FemPov","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2021,"B17001F_FemPov","Some Other Race alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2021,"B17001G_FemPov","Two or More Races",8.38709677419355,7.1095487419516,84.7676965386537,"Genesee","Alabama town","New York"
"3603700474",2021,"B17001H_FemPov","White alone, not Hispanic or Latino",7.0323488045007,3.49680730107983,49.7245998213552,"Genesee","Alabama town","New York"
"3603700474",2021,"B17001I_FemPov","Hispanic or Latino",0,41.9354838709677,NA,"Genesee","Alabama town","New York"
"3603700474",2022,"B17001B_FemPov","Black or African American alone",100,388.104367406501,388.104367406501,"Genesee","Alabama town","New York"
"3603700474",2022,"B17001C_FemPov","American Indian and Alaska Native alone",0,650,NA,"Genesee","Alabama town","New York"
"3603700474",2022,"B17001D_FemPov","Asian alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2022,"B17001E_FemPov","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2022,"B17001F_FemPov","Some Other Race alone",0,48.1481481481481,NA,"Genesee","Alabama town","New York"
"3603700474",2022,"B17001G_FemPov","Two or More Races",8.67052023121387,6.47830343762499,74.7164329806082,"Genesee","Alabama town","New York"
"3603700474",2022,"B17001H_FemPov","White alone, not Hispanic or Latino",8.51900393184797,3.86627589726957,45.3841309171797,"Genesee","Alabama town","New York"
"3603700474",2022,"B17001I_FemPov","Hispanic or Latino",0,22.0338983050847,NA,"Genesee","Alabama town","New York"
"3603700474",2023,"B17001B_FemPov","Black or African American alone",100,344.673758792282,344.673758792282,"Genesee","Alabama town","New York"
"3603700474",2023,"B17001C_FemPov","American Indian and Alaska Native alone",0,650,NA,"Genesee","Alabama town","New York"
"3603700474",2023,"B17001D_FemPov","Asian alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2023,"B17001E_FemPov","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2023,"B17001F_FemPov","Some Other Race alone",0,36.1111111111111,NA,"Genesee","Alabama town","New York"
"3603700474",2023,"B17001G_FemPov","Two or More Races",10.6508875739645,8.76939574229153,82.3348822470705,"Genesee","Alabama town","New York"
"3603700474",2023,"B17001H_FemPov","White alone, not Hispanic or Latino",6.44718792866941,3.38307004966087,52.4735758766548,"Genesee","Alabama town","New York"
"3603700474",2023,"B17001I_FemPov","Hispanic or Latino",0,19.6969696969697,NA,"Genesee","Alabama town","New York"
"3603700474",2024,"B17001B_FemPov","Black or African American alone",100,298.977850520805,298.977850520805,"Genesee","Alabama town","New York"
"3603700474",2024,"B17001C_FemPov","American Indian and Alaska Native alone",42.8571428571429,48.2513894593342,112.586575405113,"Genesee","Alabama town","New York"
"3603700474",2024,"B17001D_FemPov","Asian alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2024,"B17001E_FemPov","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Genesee","Alabama town","New York"
"3603700474",2024,"B17001F_FemPov","Some Other Race alone",0,43.75,NA,"Genesee","Alabama town","New York"
"3603700474",2024,"B17001G_FemPov","Two or More Races",7.73480662983425,7.66123807303541,99.0488636585293,"Genesee","Alabama town","New York"
"3603700474",2024,"B17001H_FemPov","White alone, not Hispanic or Latino",7.15350223546945,4.55364050530274,63.6560995637112,"Genesee","Alabama town","New York"
"3603700474",2024,"B17001I_FemPov","Hispanic or Latino",0,23.3333333333333,NA,"Genesee","Alabama town","New York"
"3603701165",2017,"B17001B_FemPov","Black or African American alone",85.7142857142857,45.9976639574884,53.6639412837364,"Genesee","Alexander town","New York"
"3603701165",2017,"B17001C_FemPov","American Indian and Alaska Native alone",0,0,NA,"Genesee","Alexander town","New York"
"3603701165",2017,"B17001D_FemPov","Asian alone",0,0,NA,"Genesee","Alexander town","New York"
"3603701165",2017,"B17001E_FemPov","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Genesee","Alexander town","New York"
"3603701165",2017,"B17001F_FemPov","Some Other Race alone",0,0,NA,"Genesee","Alexander town","New York"
"3603701165",2017,"B17001G_FemPov","Two or More Races",0,0,NA,"Genesee","Alexander town","New York"
"3603701165",2017,"B17001H_FemPov","White alone, not Hispanic or Latino",13.6431784107946,5.73244562955041,42.016936647364,"Genesee","Alexander town","New York"
"3603701165",2017,"B17001I_FemPov","Hispanic or Latino",0,220,NA,"Genesee","Alexander town","New York"
"3603701165",2018,"B17001B_FemPov","Black or African American alone",75,73.6864132659475,98.2485510212633,"Genesee","Alexander town","New York"
"3603701165",2018,"B17001C_FemPov","American Indian and Alaska Native alone",0,0,NA,"Genesee","Alexander town","New York"
"3603701165",2018,"B17001D_FemPov","Asian alone",0,0,NA,"Genesee","Alexander town","New York"
"3603701165",2018,"B17001E_FemPov","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Genesee","Alexander town","New York"
"3603701165",2018,"B17001F_FemPov","Some Other Race alone",0,92.3076923076923,NA,"Genesee","Alexander town","New York"
"3603701165",2018,"B17001G_FemPov","Two or More Races",0,0,NA,"Genesee","Alexander town","New York"
