"GEOID","year","variable","Variable_Description","estimate","moe","moe_pct_of_estimate","County","Geography","State"
"36099",2017,"B25003H_Homeownership","White alone, not Hispanic or Latino",74.9126484975542,2.05761316872428,2.74668325041459,"Seneca","Seneca County","New York"
"36099",2017,"B25003B_Homeownership","Black or African American alone",33.3333333333333,38.3333333333333,115,"Seneca","Seneca County","New York"
"36099",2017,"B25003I_Homeownership","Hispanic or Latino",44.4444444444444,21.7592592592593,48.9583333333333,"Seneca","Seneca County","New York"
"36099",2017,"B25003D_Homeownership","Asian alone",33.75,23.75,70.3703703703704,"Seneca","Seneca County","New York"
"36099",2017,"B25003C_Homeownership","American Indian and Alaska Native alone",51.3513513513513,64.8648648648649,126.315789473684,"Seneca","Seneca County","New York"
"36099",2017,"B25003E_Homeownership","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Seneca","Seneca County","New York"
"36099",2017,"B25003F_Homeownership","Some Other Race alone",38.8888888888889,50,128.571428571429,"Seneca","Seneca County","New York"
"36099",2017,"B25003G_Homeownership","Two or More Races",39.9014778325123,22.6600985221675,56.7901234567901,"Seneca","Seneca County","New York"
"36069",2017,"B25003H_Homeownership","White alone, not Hispanic or Latino",75.9011079394262,1.20954085829019,1.59357470678225,"Ontario","Ontario County","New York"
"36069",2017,"B25003B_Homeownership","Black or African American alone",17.8571428571429,8.98268398268398,50.3030303030303,"Ontario","Ontario County","New York"
"36069",2017,"B25003I_Homeownership","Hispanic or Latino",29.1512915129151,7.30627306273063,25.0632911392405,"Ontario","Ontario County","New York"
"36069",2017,"B25003D_Homeownership","Asian alone",62.8930817610063,24.5283018867925,39,"Ontario","Ontario County","New York"
"36069",2017,"B25003C_Homeownership","American Indian and Alaska Native alone",14.6341463414634,18.6991869918699,127.777777777778,"Ontario","Ontario County","New York"
"36069",2017,"B25003E_Homeownership","Native Hawaiian and Other Pacific Islander alone",35.4166666666667,45.8333333333333,129.411764705882,"Ontario","Ontario County","New York"
"36069",2017,"B25003F_Homeownership","Some Other Race alone",28.8201160541586,13.5396518375242,46.9798657718121,"Ontario","Ontario County","New York"
"36069",2017,"B25003G_Homeownership","Two or More Races",54.7058823529412,17.0588235294118,31.1827956989247,"Ontario","Ontario County","New York"
"36073",2017,"B25003H_Homeownership","White alone, not Hispanic or Latino",77.3526854391011,2.6820948431543,3.46735840899265,"Orleans","Orleans County","New York"
"36073",2017,"B25003B_Homeownership","Black or African American alone",56.6666666666667,22.5925925925926,39.8692810457516,"Orleans","Orleans County","New York"
"36073",2017,"B25003I_Homeownership","Hispanic or Latino",23.9263803680982,12.4744376278119,52.1367521367521,"Orleans","Orleans County","New York"
"36073",2017,"B25003D_Homeownership","Asian alone",43.859649122807,24.5614035087719,56,"Orleans","Orleans County","New York"
"36073",2017,"B25003C_Homeownership","American Indian and Alaska Native alone",87.5,62.5,71.4285714285714,"Orleans","Orleans County","New York"
"36073",2017,"B25003E_Homeownership","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Orleans","Orleans County","New York"
"36073",2017,"B25003F_Homeownership","Some Other Race alone",2.32558139534884,8.37209302325581,360,"Orleans","Orleans County","New York"
"36073",2017,"B25003G_Homeownership","Two or More Races",72.1739130434783,37.3913043478261,51.8072289156626,"Orleans","Orleans County","New York"
"36055",2017,"B25003H_Homeownership","White alone, not Hispanic or Latino",72.6633592328153,0.587113257734845,0.807990800223974,"Monroe","Monroe County","New York"
"36055",2017,"B25003B_Homeownership","Black or African American alone",31.6668277595206,1.46675043495071,4.63181991606257,"Monroe","Monroe County","New York"
"36055",2017,"B25003I_Homeownership","Hispanic or Latino",35.8344584068958,2.13417800394641,5.95565860020287,"Monroe","Monroe County","New York"
"36055",2017,"B25003D_Homeownership","Asian alone",51.8620524488085,3.34091725541851,6.44193027014546,"Monroe","Monroe County","New York"
"36055",2017,"B25003C_Homeownership","American Indian and Alaska Native alone",24.2032730404823,7.57967269595177,31.3167259786477,"Monroe","Monroe County","New York"
"36055",2017,"B25003E_Homeownership","Native Hawaiian and Other Pacific Islander alone",10.8695652173913,15.2173913043478,140,"Monroe","Monroe County","New York"
"36055",2017,"B25003F_Homeownership","Some Other Race alone",40.7000686341798,6.61175932280943,16.2450815064643,"Monroe","Monroe County","New York"
"36055",2017,"B25003G_Homeownership","Two or More Races",37.4582637729549,5.48831385642738,14.6518105849582,"Monroe","Monroe County","New York"
"36051",2017,"B25003H_Homeownership","White alone, not Hispanic or Latino",74.5934256055363,1.51384083044983,2.02945610576366,"Livingston","Livingston County","New York"
"36051",2017,"B25003B_Homeownership","Black or African American alone",28.1967213114754,12.4590163934426,44.1860465116279,"Livingston","Livingston County","New York"
"36051",2017,"B25003I_Homeownership","Hispanic or Latino",54.5081967213115,17.2131147540984,31.5789473684211,"Livingston","Livingston County","New York"
"36051",2017,"B25003D_Homeownership","Asian alone",71.2,32.4,45.5056179775281,"Livingston","Livingston County","New York"
"36051",2017,"B25003C_Homeownership","American Indian and Alaska Native alone",90,90,100,"Livingston","Livingston County","New York"
"36051",2017,"B25003E_Homeownership","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Livingston","Livingston County","New York"
"36051",2017,"B25003F_Homeownership","Some Other Race alone",35.625,26.25,73.6842105263158,"Livingston","Livingston County","New York"
"36051",2017,"B25003G_Homeownership","Two or More Races",37.1980676328502,21.256038647343,57.1428571428571,"Livingston","Livingston County","New York"
"36117",2017,"B25003H_Homeownership","White alone, not Hispanic or Latino",78.2504947037597,1.61506227447329,2.06396429899591,"Wayne","Wayne County","New York"
"36117",2017,"B25003B_Homeownership","Black or African American alone",44.5740956826138,12.8354725787631,28.7958115183246,"Wayne","Wayne County","New York"
"36117",2017,"B25003I_Homeownership","Hispanic or Latino",62.8796400449944,11.3610798650169,18.0679785330948,"Wayne","Wayne County","New York"
"36117",2017,"B25003D_Homeownership","Asian alone",73.469387755102,38.0952380952381,51.8518518518518,"Wayne","Wayne County","New York"
"36117",2017,"B25003C_Homeownership","American Indian and Alaska Native alone",42.8571428571429,31.4285714285714,73.3333333333333,"Wayne","Wayne County","New York"
"36117",2017,"B25003E_Homeownership","Native Hawaiian and Other Pacific Islander alone",0,103.846153846154,NA,"Wayne","Wayne County","New York"
"36117",2017,"B25003F_Homeownership","Some Other Race alone",44.2982456140351,27.6315789473684,62.3762376237624,"Wayne","Wayne County","New York"
"36117",2017,"B25003G_Homeownership","Two or More Races",58.984375,23.828125,40.3973509933775,"Wayne","Wayne County","New York"
"36037",2017,"B25003H_Homeownership","White alone, not Hispanic or Latino",75.2088385879817,1.34734572891404,1.79147259046937,"Genesee","Genesee County","New York"
"36037",2017,"B25003B_Homeownership","Black or African American alone",21.3355048859935,8.95765472312704,41.9847328244275,"Genesee","Genesee County","New York"
"36037",2017,"B25003I_Homeownership","Hispanic or Latino",28.0542986425339,12.89592760181,45.9677419354839,"Genesee","Genesee County","New York"
"36037",2017,"B25003D_Homeownership","Asian alone",75.4545454545455,31.8181818181818,42.1686746987952,"Genesee","Genesee County","New York"
"36037",2017,"B25003C_Homeownership","American Indian and Alaska Native alone",76.9736842105263,19.0789473684211,24.7863247863248,"Genesee","Genesee County","New York"
"36037",2017,"B25003E_Homeownership","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Genesee","Genesee County","New York"
"36037",2017,"B25003F_Homeownership","Some Other Race alone",10.2473498233216,9.89399293286219,96.551724137931,"Genesee","Genesee County","New York"
"36037",2017,"B25003G_Homeownership","Two or More Races",26.6990291262136,13.5922330097087,50.9090909090909,"Genesee","Genesee County","New York"
"36123",2017,"B25003H_Homeownership","White alone, not Hispanic or Latino",77.6216814159292,2.92035398230089,3.76229157759726,"Yates","Yates County","New York"
"36123",2017,"B25003B_Homeownership","Black or African American alone",41.3793103448276,54.0229885057471,130.555555555556,"Yates","Yates County","New York"
"36123",2017,"B25003I_Homeownership","Hispanic or Latino",56.9343065693431,27.7372262773723,48.7179487179487,"Yates","Yates County","New York"
"36123",2017,"B25003D_Homeownership","Asian alone",75,175,233.333333333333,"Yates","Yates County","New York"
"36123",2017,"B25003C_Homeownership","American Indian and Alaska Native alone",0,0,NA,"Yates","Yates County","New York"
"36123",2017,"B25003E_Homeownership","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Yates","Yates County","New York"
"36123",2017,"B25003F_Homeownership","Some Other Race alone",64.5833333333333,70.8333333333333,109.677419354839,"Yates","Yates County","New York"
"36123",2017,"B25003G_Homeownership","Two or More Races",90,52,57.7777777777778,"Yates","Yates County","New York"
"36117",2018,"B25003H_Homeownership","White alone, not Hispanic or Latino",77.291357809366,1.50867707334089,1.95193501071872,"Wayne","Wayne County","New York"
"36117",2018,"B25003B_Homeownership","Black or African American alone",41.3841807909604,11.7231638418079,28.3276450511945,"Wayne","Wayne County","New York"
"36117",2018,"B25003I_Homeownership","Hispanic or Latino",61.5384615384615,12.8587830080367,20.8955223880597,"Wayne","Wayne County","New York"
"36117",2018,"B25003D_Homeownership","Asian alone",68.5314685314685,48.2517482517483,70.4081632653061,"Wayne","Wayne County","New York"
"36117",2018,"B25003C_Homeownership","American Indian and Alaska Native alone",37.3333333333333,26.6666666666667,71.4285714285714,"Wayne","Wayne County","New York"
"36117",2018,"B25003E_Homeownership","Native Hawaiian and Other Pacific Islander alone",0,155.555555555556,NA,"Wayne","Wayne County","New York"
"36117",2018,"B25003F_Homeownership","Some Other Race alone",40.9302325581395,24.1860465116279,59.0909090909091,"Wayne","Wayne County","New York"
"36117",2018,"B25003G_Homeownership","Two or More Races",57.0987654320988,20.679012345679,36.2162162162162,"Wayne","Wayne County","New York"
"36099",2018,"B25003H_Homeownership","White alone, not Hispanic or Latino",75.8284600389863,2.05847953216374,2.7146529562982,"Seneca","Seneca County","New York"
"36099",2018,"B25003B_Homeownership","Black or African American alone",49.6350364963504,36.4963503649635,73.5294117647059,"Seneca","Seneca County","New York"
"36099",2018,"B25003I_Homeownership","Hispanic or Latino",37.9746835443038,15.1898734177215,40,"Seneca","Seneca County","New York"
"36099",2018,"B25003D_Homeownership","Asian alone",35.9550561797753,23.5955056179775,65.625,"Seneca","Seneca County","New York"
"36099",2018,"B25003C_Homeownership","American Indian and Alaska Native alone",26.1904761904762,23.8095238095238,90.9090909090909,"Seneca","Seneca County","New York"
"36099",2018,"B25003E_Homeownership","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Seneca","Seneca County","New York"
"36099",2018,"B25003F_Homeownership","Some Other Race alone",19.1176470588235,25,130.769230769231,"Seneca","Seneca County","New York"
"36099",2018,"B25003G_Homeownership","Two or More Races",39.1959798994975,22.6130653266332,57.6923076923077,"Seneca","Seneca County","New York"
"36069",2018,"B25003H_Homeownership","White alone, not Hispanic or Latino",76.0963692218379,1.27718245809245,1.67837502781398,"Ontario","Ontario County","New York"
"36069",2018,"B25003B_Homeownership","Black or African American alone",19.2963752665245,8.52878464818763,44.1988950276243,"Ontario","Ontario County","New York"
"36069",2018,"B25003I_Homeownership","Hispanic or Latino",38.9296187683284,7.11143695014663,18.2674199623352,"Ontario","Ontario County","New York"
