"GEOID","year","variable","Variable_Description","estimate","moe","moe_pct_of_estimate","County","Geography","State","count"
"3606928651",2017,"B25003H_Homeownership","White alone, not Hispanic or Latino",70.7006369426752,1.50873115606678,2.13397109461697,"Ontario","Geneva town","New York",888
"3606928651",2017,"B25003B_Homeownership","Black or African American alone",18.9655172413793,25.4705247991301,134.29913075905,"Ontario","Geneva town","New York",11
"3606928651",2017,"B25003I_Homeownership","Hispanic or Latino",7.6271186440678,11.9974960686163,157.300504010747,"Ontario","Geneva town","New York",9
"3606928651",2017,"B25003D_Homeownership","Asian alone",100,214.570333601435,214.570333601435,"Ontario","Geneva town","New York",29
"3606928651",2017,"B25003C_Homeownership","American Indian and Alaska Native alone",0,0,NA,"Ontario","Geneva town","New York",0
"3606928651",2017,"B25003E_Homeownership","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Ontario","Geneva town","New York",0
"3606928651",2017,"B25003F_Homeownership","Some Other Race alone",0,12.5,NA,"Ontario","Geneva town","New York",0
"3606928651",2017,"B25003G_Homeownership","Two or More Races",20.4545454545455,19.6008945878205,95.8265957626781,"Ontario","Geneva town","New York",9
"3606935551",2017,"B25003H_Homeownership","White alone, not Hispanic or Latino",90.4355251921435,3.73166685048047,4.12632850038964,"Ontario","Hopewell town","New York",1059
"3606935551",2017,"B25003B_Homeownership","Black or African American alone",100,158.059162853464,158.059162853464,"Ontario","Hopewell town","New York",17
"3606935551",2017,"B25003I_Homeownership","Hispanic or Latino",100,141.42135623731,141.42135623731,"Ontario","Hopewell town","New York",19
"3606935551",2017,"B25003D_Homeownership","Asian alone",0,0,NA,"Ontario","Hopewell town","New York",0
"3606935551",2017,"B25003C_Homeownership","American Indian and Alaska Native alone",0,157.142857142857,NA,"Ontario","Hopewell town","New York",0
"3606935551",2017,"B25003E_Homeownership","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Ontario","Hopewell town","New York",0
"3606935551",2017,"B25003F_Homeownership","Some Other Race alone",0,0,NA,"Ontario","Hopewell town","New York",0
"3606935551",2017,"B25003G_Homeownership","Two or More Races",0,137.5,NA,"Ontario","Hopewell town","New York",0
"3606961544",2017,"B25003H_Homeownership","White alone, not Hispanic or Latino",89.5585738539898,3.2796131256721,3.66197560383103,"Ontario","Richmond town","New York",1055
"3606961544",2017,"B25003B_Homeownership","Black or African American alone",0,0,NA,"Ontario","Richmond town","New York",0
"3606961544",2017,"B25003I_Homeownership","Hispanic or Latino",22.0338983050847,24.6866305211774,112.039323134574,"Ontario","Richmond town","New York",13
"3606961544",2017,"B25003D_Homeownership","Asian alone",0,0,NA,"Ontario","Richmond town","New York",0
"3606961544",2017,"B25003C_Homeownership","American Indian and Alaska Native alone",0,137.5,NA,"Ontario","Richmond town","New York",0
"3606961544",2017,"B25003E_Homeownership","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Ontario","Richmond town","New York",0
"3606961544",2017,"B25003F_Homeownership","Some Other Race alone",100,212.132034355964,212.132034355964,"Ontario","Richmond town","New York",14
"3606961544",2017,"B25003G_Homeownership","Two or More Races",0,0,NA,"Ontario","Richmond town","New York",0
"3605103364",2017,"B25003H_Homeownership","White alone, not Hispanic or Latino",72.0254957507082,4.30625941640574,5.97879871776293,"Livingston","Avon town","New York",2034
"3605103364",2017,"B25003B_Homeownership","Black or African American alone",0,133.333333333333,NA,"Livingston","Avon town","New York",0
"3605103364",2017,"B25003I_Homeownership","Hispanic or Latino",55.1724137931034,73.3526103513738,132.951606261865,"Livingston","Avon town","New York",16
"3605103364",2017,"B25003D_Homeownership","Asian alone",100,170.430865209065,170.430865209065,"Livingston","Avon town","New York",39
"3605103364",2017,"B25003C_Homeownership","American Indian and Alaska Native alone",0,0,NA,"Livingston","Avon town","New York",0
"3605103364",2017,"B25003E_Homeownership","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Livingston","Avon town","New York",0
"3605103364",2017,"B25003F_Homeownership","Some Other Race alone",0,0,NA,"Livingston","Avon town","New York",0
"3605103364",2017,"B25003G_Homeownership","Two or More Races",0,53.3333333333333,NA,"Livingston","Avon town","New York",0
"3605142961",2017,"B25003H_Homeownership","White alone, not Hispanic or Latino",83.6574547935858,6.477335131515,7.74268730443331,"Livingston","Livonia town","New York",2452
"3605142961",2017,"B25003B_Homeownership","Black or African American alone",0,32,NA,"Livingston","Livonia town","New York",0
"3605142961",2017,"B25003I_Homeownership","Hispanic or Latino",100,252.538136138053,252.538136138053,"Livingston","Livonia town","New York",14
"3605142961",2017,"B25003D_Homeownership","Asian alone",100,164.563032712506,164.563032712506,"Livingston","Livonia town","New York",55
"3605142961",2017,"B25003C_Homeownership","American Indian and Alaska Native alone",0,400,NA,"Livingston","Livonia town","New York",0
"3605142961",2017,"B25003E_Homeownership","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Livingston","Livonia town","New York",0
"3605142961",2017,"B25003F_Homeownership","Some Other Race alone",0,0,NA,"Livingston","Livonia town","New York",0
"3605142961",2017,"B25003G_Homeownership","Two or More Races",0,0,NA,"Livingston","Livonia town","New York",0
"3605141883",2017,"B25003H_Homeownership","White alone, not Hispanic or Latino",75.1929437706725,4.59397900465185,6.10958791381119,"Livingston","Leicester town","New York",682
"3605141883",2017,"B25003B_Homeownership","Black or African American alone",53.3333333333333,71.1166664496697,133.343749593131,"Livingston","Leicester town","New York",8
"3605141883",2017,"B25003I_Homeownership","Hispanic or Latino",53.5714285714286,69.9527520604062,130.578470512758,"Livingston","Leicester town","New York",15
"3605141883",2017,"B25003D_Homeownership","Asian alone",0,0,NA,"Livingston","Leicester town","New York",0
