"GEOID","year","variable","Variable_Description","estimate","moe","moe_pct_of_estimate","County","Geography","State"
"36037",2015,"B19013_001","Median Household Income",50880,1652,3.24685534591195,"Genesee","Genesee County","New York"
"36051",2015,"B19013_001","Median Household Income",51734,1412,2.72934627131094,"Livingston","Livingston County","New York"
"36055",2015,"B19013_001","Median Household Income",52553,737,1.40239377390444,"Monroe","Monroe County","New York"
"36069",2015,"B19013_001","Median Household Income",57416,1353,2.35648599693465,"Ontario","Ontario County","New York"
"36073",2015,"B19013_001","Median Household Income",46359,1765,3.80724346944498,"Orleans","Orleans County","New York"
"36099",2015,"B19013_001","Median Household Income",49292,1571,3.18712975736428,"Seneca","Seneca County","New York"
"36117",2015,"B19013_001","Median Household Income",50798,1284,2.52765856923501,"Wayne","Wayne County","New York"
"36123",2015,"B19013_001","Median Household Income",49510,2414,4.87578267016764,"Yates","Yates County","New York"
"36037",2016,"B19013_001","Median Household Income",52641,1500,2.84948994130051,"Genesee","Genesee County","New York"
"36051",2016,"B19013_001","Median Household Income",52724,1944,3.68712540778393,"Livingston","Livingston County","New York"
"36055",2016,"B19013_001","Median Household Income",53568,591,1.103270609319,"Monroe","Monroe County","New York"
"36069",2016,"B19013_001","Median Household Income",58070,1726,2.97227484070949,"Ontario","Ontario County","New York"
"36073",2016,"B19013_001","Median Household Income",48731,2473,5.07479838295951,"Orleans","Orleans County","New York"
"36099",2016,"B19013_001","Median Household Income",50073,1833,3.66065544305314,"Seneca","Seneca County","New York"
"36117",2016,"B19013_001","Median Household Income",51627,1161,2.24882329013888,"Wayne","Wayne County","New York"
"36123",2016,"B19013_001","Median Household Income",50105,3116,6.21894022552639,"Yates","Yates County","New York"
"36037",2017,"B19013_001","Median Household Income",54033,1511,2.79643921307349,"Genesee","Genesee County","New York"
"36051",2017,"B19013_001","Median Household Income",53654,1681,3.13303761136169,"Livingston","Livingston County","New York"
"36055",2017,"B19013_001","Median Household Income",55272,680,1.23027934578087,"Monroe","Monroe County","New York"
"36069",2017,"B19013_001","Median Household Income",61710,1781,2.88608005185545,"Ontario","Ontario County","New York"
"36073",2017,"B19013_001","Median Household Income",49223,2670,5.42429352132133,"Orleans","Orleans County","New York"
"36099",2017,"B19013_001","Median Household Income",51601,1402,2.71700160849596,"Seneca","Seneca County","New York"
"36117",2017,"B19013_001","Median Household Income",53693,1648,3.06930139869257,"Wayne","Wayne County","New York"
"36123",2017,"B19013_001","Median Household Income",51758,3135,6.0570346613084,"Yates","Yates County","New York"
"36037",2018,"B19013_001","Median Household Income",59338,2493,4.2013549496107,"Genesee","Genesee County","New York"
"36051",2018,"B19013_001","Median Household Income",56071,1875,3.34397460362754,"Livingston","Livingston County","New York"
"36055",2018,"B19013_001","Median Household Income",57479,734,1.2769881173994,"Monroe","Monroe County","New York"
"36069",2018,"B19013_001","Median Household Income",63359,1753,2.7667734654903,"Ontario","Ontario County","New York"
"36073",2018,"B19013_001","Median Household Income",51843,2175,4.19535906486893,"Orleans","Orleans County","New York"
"36099",2018,"B19013_001","Median Household Income",54695,2055,3.75719901270683,"Seneca","Seneca County","New York"
"36117",2018,"B19013_001","Median Household Income",55765,1620,2.90504796915628,"Wayne","Wayne County","New York"
"36123",2018,"B19013_001","Median Household Income",54343,3383,6.22527280422502,"Yates","Yates County","New York"
"36037",2019,"B19013_001","Median Household Income",60524,2085,3.44491441411671,"Genesee","Genesee County","New York"
"36051",2019,"B19013_001","Median Household Income",59510,2388,4.01277096286338,"Livingston","Livingston County","New York"
"36055",2019,"B19013_001","Median Household Income",60075,657,1.0936329588015,"Monroe","Monroe County","New York"
"36069",2019,"B19013_001","Median Household Income",64944,1552,2.38975117023897,"Ontario","Ontario County","New York"
"36073",2019,"B19013_001","Median Household Income",52620,1737,3.30102622576967,"Orleans","Orleans County","New York"
"36099",2019,"B19013_001","Median Household Income",54545,1638,3.00302502520854,"Seneca","Seneca County","New York"
"36117",2019,"B19013_001","Median Household Income",59449,1788,3.00761997678683,"Wayne","Wayne County","New York"
"36123",2019,"B19013_001","Median Household Income",56563,2764,4.88658663790817,"Yates","Yates County","New York"
"36037",2020,"B19013_001","Median Household Income",60635,2599,4.28630329017894,"Genesee","Genesee County","New York"
"36051",2020,"B19013_001","Median Household Income",60248,1825,3.02914619572434,"Livingston","Livingston County","New York"
"36055",2020,"B19013_001","Median Household Income",62087,820,1.32072736643742,"Monroe","Monroe County","New York"
"36069",2020,"B19013_001","Median Household Income",64795,1952,3.01257813102863,"Ontario","Ontario County","New York"
"36073",2020,"B19013_001","Median Household Income",52958,2200,4.15423543185166,"Orleans","Orleans County","New York"
"36099",2020,"B19013_001","Median Household Income",54865,2636,4.80452018591087,"Seneca","Seneca County","New York"
"36117",2020,"B19013_001","Median Household Income",62003,1907,3.07565762946954,"Wayne","Wayne County","New York"
"36123",2020,"B19013_001","Median Household Income",55307,3435,6.21078706131231,"Yates","Yates County","New York"
"36037",2021,"B19013_001","Median Household Income",63734,3072,4.82003326325038,"Genesee","Genesee County","New York"
"36051",2021,"B19013_001","Median Household Income",64467,2308,3.58012626615167,"Livingston","Livingston County","New York"
"36055",2021,"B19013_001","Median Household Income",66317,914,1.37822881010902,"Monroe","Monroe County","New York"
"36069",2021,"B19013_001","Median Household Income",70694,2727,3.85747022378137,"Ontario","Ontario County","New York"
"36073",2021,"B19013_001","Median Household Income",54882,3007,5.4790277322255,"Orleans","Orleans County","New York"
"36099",2021,"B19013_001","Median Household Income",59086,3167,5.35998375249636,"Seneca","Seneca County","New York"
"36117",2021,"B19013_001","Median Household Income",64152,1709,2.6639855343559,"Wayne","Wayne County","New York"
"36123",2021,"B19013_001","Median Household Income",57635,4375,7.59087360111044,"Yates","Yates County","New York"
"36037",2022,"B19013_001","Median Household Income",68178,3117,4.57185602393734,"Genesee","Genesee County","New York"
"36051",2022,"B19013_001","Median Household Income",70443,2811,3.99046037221583,"Livingston","Livingston County","New York"
"36055",2022,"B19013_001","Median Household Income",71450,965,1.35059482155353,"Monroe","Monroe County","New York"
"36069",2022,"B19013_001","Median Household Income",76603,2249,2.93591634792371,"Ontario","Ontario County","New York"
"36073",2022,"B19013_001","Median Household Income",61069,2984,4.88627617940362,"Orleans","Orleans County","New York"
"36099",2022,"B19013_001","Median Household Income",64050,3355,5.23809523809524,"Seneca","Seneca County","New York"
"36117",2022,"B19013_001","Median Household Income",71007,2203,3.10251102004028,"Wayne","Wayne County","New York"
"36123",2022,"B19013_001","Median Household Income",63974,3733,5.83518304311126,"Yates","Yates County","New York"
"36037",2023,"B19013_001","Median Household Income",72055,3586,4.97675386857262,"Genesee","Genesee County","New York"
"36051",2023,"B19013_001","Median Household Income",72464,2969,4.09720688893796,"Livingston","Livingston County","New York"
"36055",2023,"B19013_001","Median Household Income",74409,1109,1.49041110618339,"Monroe","Monroe County","New York"
"36069",2023,"B19013_001","Median Household Income",79814,2440,3.05710777557822,"Ontario","Ontario County","New York"
"36073",2023,"B19013_001","Median Household Income",63838,3328,5.21319590212726,"Orleans","Orleans County","New York"
"36099",2023,"B19013_001","Median Household Income",66007,3860,5.84786462041905,"Seneca","Seneca County","New York"
"36117",2023,"B19013_001","Median Household Income",73914,2388,3.2307817192954,"Wayne","Wayne County","New York"
"36123",2023,"B19013_001","Median Household Income",67521,4456,6.59942832600228,"Yates","Yates County","New York"
"36037",2024,"B19013_001","Median Household Income",73314,2536,3.45909376108247,"Genesee","Genesee County","New York"
"36051",2024,"B19013_001","Median Household Income",74001,2171,2.93374413859272,"Livingston","Livingston County","New York"
"36055",2024,"B19013_001","Median Household Income",76382,1188,1.55534026341285,"Monroe","Monroe County","New York"
"36069",2024,"B19013_001","Median Household Income",82324,3039,3.69151158835819,"Ontario","Ontario County","New York"
"36073",2024,"B19013_001","Median Household Income",65969,3199,4.84924737376647,"Orleans","Orleans County","New York"
"36099",2024,"B19013_001","Median Household Income",68089,2709,3.97861622288475,"Seneca","Seneca County","New York"
"36117",2024,"B19013_001","Median Household Income",74506,2240,3.00646927764207,"Wayne","Wayne County","New York"
"36123",2024,"B19013_001","Median Household Income",69701,3930,5.63836960732271,"Yates","Yates County","New York"
