"GEOID","year","variable","Variable_Description","estimate","moe","moe_pct_of_estimate","County","Geography","State"
"36037",2017,"B19013B_001","Black or African American alone",18846,12088,64.1409317627083,"Genesee","Genesee County","New York"
"36037",2017,"B19013C_001","American Indian and Alaska Native alone",28750,11103,38.6191304347826,"Genesee","Genesee County","New York"
"36037",2017,"B19013D_001","Asian alone",154792,76115,49.1724378520854,"Genesee","Genesee County","New York"
"36037",2017,"B19013E_001","Native Hawaiian and Other Pacific Islander alone",NA,0,NA,"Genesee","Genesee County","New York"
"36037",2017,"B19013F_001","Some Other Race alone",31894,11293,35.4079137141782,"Genesee","Genesee County","New York"
"36037",2017,"B19013G_001","Two or More Races",29420,5223,17.7532290958532,"Genesee","Genesee County","New York"
"36037",2017,"B19013H_001","White alone, not Hispanic or Latino",56183,2052,3.65235035508962,"Genesee","Genesee County","New York"
"36037",2017,"B19013I_001","Hispanic or Latino",32030,9905,30.9241336247268,"Genesee","Genesee County","New York"
"36051",2017,"B19013B_001","Black or African American alone",18429,5249,28.4822833577514,"Livingston","Livingston County","New York"
"36051",2017,"B19013C_001","American Indian and Alaska Native alone",38667,16422,42.4703235316937,"Livingston","Livingston County","New York"
"36051",2017,"B19013D_001","Asian alone",53929,41173,76.3466780396447,"Livingston","Livingston County","New York"
"36051",2017,"B19013E_001","Native Hawaiian and Other Pacific Islander alone",NA,0,NA,"Livingston","Livingston County","New York"
"36051",2017,"B19013F_001","Some Other Race alone",50294,47024,93.4982304052173,"Livingston","Livingston County","New York"
"36051",2017,"B19013G_001","Two or More Races",NA,0,NA,"Livingston","Livingston County","New York"
"36051",2017,"B19013H_001","White alone, not Hispanic or Latino",54758,1768,3.22875196318346,"Livingston","Livingston County","New York"
"36051",2017,"B19013I_001","Hispanic or Latino",45000,37482,83.2933333333333,"Livingston","Livingston County","New York"
"36055",2017,"B19013B_001","Black or African American alone",29094,1259,4.32735271877363,"Monroe","Monroe County","New York"
"36055",2017,"B19013C_001","American Indian and Alaska Native alone",25606,2645,10.3296102475982,"Monroe","Monroe County","New York"
"36055",2017,"B19013D_001","Asian alone",55677,6019,10.8105680981375,"Monroe","Monroe County","New York"
"36055",2017,"B19013E_001","Native Hawaiian and Other Pacific Islander alone",21731,7780,35.8013897197552,"Monroe","Monroe County","New York"
"36055",2017,"B19013F_001","Some Other Race alone",30313,2608,8.60356942565896,"Monroe","Monroe County","New York"
"36055",2017,"B19013G_001","Two or More Races",41481,3177,7.65892818398785,"Monroe","Monroe County","New York"
"36055",2017,"B19013H_001","White alone, not Hispanic or Latino",63653,861,1.35264637958934,"Monroe","Monroe County","New York"
"36055",2017,"B19013I_001","Hispanic or Latino",30922,1708,5.52357544790117,"Monroe","Monroe County","New York"
"36069",2017,"B19013B_001","Black or African American alone",30697,8573,27.9278105352315,"Ontario","Ontario County","New York"
"36069",2017,"B19013C_001","American Indian and Alaska Native alone",73750,37044,50.2291525423729,"Ontario","Ontario County","New York"
"36069",2017,"B19013D_001","Asian alone",71518,26609,37.2060180653821,"Ontario","Ontario County","New York"
"36069",2017,"B19013E_001","Native Hawaiian and Other Pacific Islander alone",NA,0,NA,"Ontario","Ontario County","New York"
"36069",2017,"B19013F_001","Some Other Race alone",29131,5837,20.0370739075212,"Ontario","Ontario County","New York"
"36069",2017,"B19013G_001","Two or More Races",34659,8504,24.5361955047751,"Ontario","Ontario County","New York"
"36069",2017,"B19013H_001","White alone, not Hispanic or Latino",63854,1978,3.09769160898299,"Ontario","Ontario County","New York"
"36069",2017,"B19013I_001","Hispanic or Latino",32335,4692,14.5105922375135,"Ontario","Ontario County","New York"
"36073",2017,"B19013B_001","Black or African American alone",30909,27318,88.3820246530137,"Orleans","Orleans County","New York"
"36073",2017,"B19013C_001","American Indian and Alaska Native alone",86500,62231,71.9433526011561,"Orleans","Orleans County","New York"
"36073",2017,"B19013D_001","Asian alone",NA,0,NA,"Orleans","Orleans County","New York"
"36073",2017,"B19013E_001","Native Hawaiian and Other Pacific Islander alone",NA,0,NA,"Orleans","Orleans County","New York"
"36073",2017,"B19013F_001","Some Other Race alone",19173,2535,13.2217180409952,"Orleans","Orleans County","New York"
"36073",2017,"B19013G_001","Two or More Races",50764,30149,59.3905129619415,"Orleans","Orleans County","New York"
"36073",2017,"B19013H_001","White alone, not Hispanic or Latino",50274,2423,4.81958865417512,"Orleans","Orleans County","New York"
"36073",2017,"B19013I_001","Hispanic or Latino",20745,3799,18.3128464690287,"Orleans","Orleans County","New York"
"36099",2017,"B19013B_001","Black or African American alone",33456,25657,76.6887852702056,"Seneca","Seneca County","New York"
"36099",2017,"B19013C_001","American Indian and Alaska Native alone",NA,0,NA,"Seneca","Seneca County","New York"
"36099",2017,"B19013D_001","Asian alone",NA,0,NA,"Seneca","Seneca County","New York"
"36099",2017,"B19013E_001","Native Hawaiian and Other Pacific Islander alone",NA,0,NA,"Seneca","Seneca County","New York"
"36099",2017,"B19013F_001","Some Other Race alone",NA,0,NA,"Seneca","Seneca County","New York"
"36099",2017,"B19013G_001","Two or More Races",20139,15131,75.1328268533691,"Seneca","Seneca County","New York"
"36099",2017,"B19013H_001","White alone, not Hispanic or Latino",52706,1957,3.71304974765681,"Seneca","Seneca County","New York"
"36099",2017,"B19013I_001","Hispanic or Latino",32778,16000,48.8132283848923,"Seneca","Seneca County","New York"
"36117",2017,"B19013B_001","Black or African American alone",32790,12574,38.3470570295822,"Wayne","Wayne County","New York"
"36117",2017,"B19013C_001","American Indian and Alaska Native alone",50938,27900,54.7724684911068,"Wayne","Wayne County","New York"
"36117",2017,"B19013D_001","Asian alone",85125,41491,48.7412628487518,"Wayne","Wayne County","New York"
"36117",2017,"B19013E_001","Native Hawaiian and Other Pacific Islander alone",NA,0,NA,"Wayne","Wayne County","New York"
"36117",2017,"B19013F_001","Some Other Race alone",37357,18350,49.1206467328747,"Wayne","Wayne County","New York"
"36117",2017,"B19013G_001","Two or More Races",53571,14911,27.8340893393814,"Wayne","Wayne County","New York"
"36117",2017,"B19013H_001","White alone, not Hispanic or Latino",54428,1709,3.13992797824649,"Wayne","Wayne County","New York"
"36117",2017,"B19013I_001","Hispanic or Latino",40341,13414,33.2515307007759,"Wayne","Wayne County","New York"
"36123",2017,"B19013B_001","Black or African American alone",NA,0,NA,"Yates","Yates County","New York"
"36123",2017,"B19013C_001","American Indian and Alaska Native alone",NA,0,NA,"Yates","Yates County","New York"
"36123",2017,"B19013D_001","Asian alone",NA,0,NA,"Yates","Yates County","New York"
"36123",2017,"B19013E_001","Native Hawaiian and Other Pacific Islander alone",NA,0,NA,"Yates","Yates County","New York"
"36123",2017,"B19013F_001","Some Other Race alone",51250,28519,55.6468292682927,"Yates","Yates County","New York"
"36123",2017,"B19013G_001","Two or More Races",43125,8133,18.8591304347826,"Yates","Yates County","New York"
"36123",2017,"B19013H_001","White alone, not Hispanic or Latino",52513,3012,5.73572258297945,"Yates","Yates County","New York"
"36123",2017,"B19013I_001","Hispanic or Latino",65298,37453,57.357040031854,"Yates","Yates County","New York"
"36037",2018,"B19013B_001","Black or African American alone",28750,7457,25.9373913043478,"Genesee","Genesee County","New York"
"36037",2018,"B19013C_001","American Indian and Alaska Native alone",43971,11951,27.1792772509154,"Genesee","Genesee County","New York"
"36037",2018,"B19013D_001","Asian alone",159196,107206,67.3421442749818,"Genesee","Genesee County","New York"
"36037",2018,"B19013E_001","Native Hawaiian and Other Pacific Islander alone",NA,0,NA,"Genesee","Genesee County","New York"
"36037",2018,"B19013F_001","Some Other Race alone",32028,8387,26.1864618458848,"Genesee","Genesee County","New York"
"36037",2018,"B19013G_001","Two or More Races",31449,1928,6.13056059016185,"Genesee","Genesee County","New York"
"36037",2018,"B19013H_001","White alone, not Hispanic or Latino",62709,2878,4.58945286960404,"Genesee","Genesee County","New York"
"36037",2018,"B19013I_001","Hispanic or Latino",31926,5357,16.7794274259224,"Genesee","Genesee County","New York"
