"GEOID","year","variable","Variable_Description","estimate","moe","moe_pct_of_estimate","County","Geography","State"
"3603700474",2017,"B19013B_001","Black or African American alone",NA,0,NA,"Genesee","Alabama town","New York"
"3603700474",2017,"B19013C_001","American Indian and Alaska Native alone",NA,0,NA,"Genesee","Alabama town","New York"
"3603700474",2017,"B19013D_001","Asian alone",NA,0,NA,"Genesee","Alabama town","New York"
"3603700474",2017,"B19013E_001","Native Hawaiian and Other Pacific Islander alone",NA,0,NA,"Genesee","Alabama town","New York"
"3603700474",2017,"B19013F_001","Some Other Race alone",NA,0,NA,"Genesee","Alabama town","New York"
"3603700474",2017,"B19013G_001","Two or More Races",NA,0,NA,"Genesee","Alabama town","New York"
"3603700474",2017,"B19013H_001","White alone, not Hispanic or Latino",57813,5448,9.42348606714753,"Genesee","Alabama town","New York"
"3603700474",2017,"B19013I_001","Hispanic or Latino",NA,0,NA,"Genesee","Alabama town","New York"
"3603701165",2017,"B19013B_001","Black or African American alone",NA,0,NA,"Genesee","Alexander town","New York"
"3603701165",2017,"B19013C_001","American Indian and Alaska Native alone",NA,0,NA,"Genesee","Alexander town","New York"
"3603701165",2017,"B19013D_001","Asian alone",NA,0,NA,"Genesee","Alexander town","New York"
"3603701165",2017,"B19013E_001","Native Hawaiian and Other Pacific Islander alone",NA,0,NA,"Genesee","Alexander town","New York"
"3603701165",2017,"B19013F_001","Some Other Race alone",NA,0,NA,"Genesee","Alexander town","New York"
"3603701165",2017,"B19013G_001","Two or More Races",NA,0,NA,"Genesee","Alexander town","New York"
"3603701165",2017,"B19013H_001","White alone, not Hispanic or Latino",60188,4220,7.01136439157307,"Genesee","Alexander town","New York"
"3603701165",2017,"B19013I_001","Hispanic or Latino",NA,0,NA,"Genesee","Alexander town","New York"
"3603704715",2017,"B19013B_001","Black or African American alone",33359,31301,93.8307503222519,"Genesee","Batavia city","New York"
"3603704715",2017,"B19013C_001","American Indian and Alaska Native alone",NA,0,NA,"Genesee","Batavia city","New York"
