"GEOID","year","variable","Variable_Description","estimate","moe","moe_pct_of_estimate","County","Geography","State"
"36037",2015,"DP04_0089E","Median Owner-Occupied Housing Value",107000,2437,2.27757009345794,"Genesee","Genesee County","New York"
"36051",2015,"DP04_0089E","Median Owner-Occupied Housing Value",121200,3095,2.5536303630363,"Livingston","Livingston County","New York"
"36055",2015,"DP04_0089E","Median Owner-Occupied Housing Value",138600,912,0.658008658008658,"Monroe","Monroe County","New York"
"36069",2015,"DP04_0089E","Median Owner-Occupied Housing Value",145700,3301,2.2656142759094,"Ontario","Ontario County","New York"
"36073",2015,"DP04_0089E","Median Owner-Occupied Housing Value",91300,3016,3.30339539978094,"Orleans","Orleans County","New York"
"36099",2015,"DP04_0089E","Median Owner-Occupied Housing Value",97000,3147,3.24432989690722,"Seneca","Seneca County","New York"
"36117",2015,"DP04_0089E","Median Owner-Occupied Housing Value",112900,2861,2.53410097431355,"Wayne","Wayne County","New York"
"36123",2015,"DP04_0089E","Median Owner-Occupied Housing Value",124200,4535,3.65136876006441,"Yates","Yates County","New York"
"36037",2016,"DP04_0089E","Median Owner-Occupied Housing Value",108700,2643,2.43146274149034,"Genesee","Genesee County","New York"
"36051",2016,"DP04_0089E","Median Owner-Occupied Housing Value",123000,2703,2.19756097560976,"Livingston","Livingston County","New York"
"36055",2016,"DP04_0089E","Median Owner-Occupied Housing Value",140200,967,0.689728958630528,"Monroe","Monroe County","New York"
"36069",2016,"DP04_0089E","Median Owner-Occupied Housing Value",148400,3343,2.25269541778976,"Ontario","Ontario County","New York"
"36073",2016,"DP04_0089E","Median Owner-Occupied Housing Value",92000,2892,3.14347826086957,"Orleans","Orleans County","New York"
"36099",2016,"DP04_0089E","Median Owner-Occupied Housing Value",98200,2688,2.73727087576375,"Seneca","Seneca County","New York"
"36117",2016,"DP04_0089E","Median Owner-Occupied Housing Value",115100,2526,2.19461337966985,"Wayne","Wayne County","New York"
"36123",2016,"DP04_0089E","Median Owner-Occupied Housing Value",126900,6584,5.18833727344366,"Yates","Yates County","New York"
"36037",2017,"DP04_0089E","Median Owner-Occupied Housing Value",111900,2894,2.58623771224307,"Genesee","Genesee County","New York"
"36051",2017,"DP04_0089E","Median Owner-Occupied Housing Value",125000,3956,3.1648,"Livingston","Livingston County","New York"
"36055",2017,"DP04_0089E","Median Owner-Occupied Housing Value",142300,996,0.699929725931131,"Monroe","Monroe County","New York"
"36069",2017,"DP04_0089E","Median Owner-Occupied Housing Value",156500,3132,2.00127795527157,"Ontario","Ontario County","New York"
"36073",2017,"DP04_0089E","Median Owner-Occupied Housing Value",93600,2853,3.04807692307692,"Orleans","Orleans County","New York"
"36099",2017,"DP04_0089E","Median Owner-Occupied Housing Value",98400,3190,3.24186991869919,"Seneca","Seneca County","New York"
"36117",2017,"DP04_0089E","Median Owner-Occupied Housing Value",118900,2606,2.19175777964676,"Wayne","Wayne County","New York"
"36123",2017,"DP04_0089E","Median Owner-Occupied Housing Value",128900,7072,5.48642358417378,"Yates","Yates County","New York"
"36037",2018,"DP04_0089E","Median Owner-Occupied Housing Value",117600,3260,2.77210884353742,"Genesee","Genesee County","New York"
"36051",2018,"DP04_0089E","Median Owner-Occupied Housing Value",126700,2986,2.35674822415154,"Livingston","Livingston County","New York"
"36055",2018,"DP04_0089E","Median Owner-Occupied Housing Value",144700,851,0.588113337940567,"Monroe","Monroe County","New York"
"36069",2018,"DP04_0089E","Median Owner-Occupied Housing Value",160000,2892,1.8075,"Ontario","Ontario County","New York"
"36073",2018,"DP04_0089E","Median Owner-Occupied Housing Value",95600,3139,3.28347280334728,"Orleans","Orleans County","New York"
"36099",2018,"DP04_0089E","Median Owner-Occupied Housing Value",101400,4205,4.14694280078895,"Seneca","Seneca County","New York"
"36117",2018,"DP04_0089E","Median Owner-Occupied Housing Value",121700,2831,2.32621199671323,"Wayne","Wayne County","New York"
"36123",2018,"DP04_0089E","Median Owner-Occupied Housing Value",128800,7495,5.81909937888199,"Yates","Yates County","New York"
"36037",2019,"DP04_0089E","Median Owner-Occupied Housing Value",119800,3188,2.66110183639399,"Genesee","Genesee County","New York"
"36051",2019,"DP04_0089E","Median Owner-Occupied Housing Value",129400,3348,2.58732612055641,"Livingston","Livingston County","New York"
"36055",2019,"DP04_0089E","Median Owner-Occupied Housing Value",148400,1035,0.69743935309973,"Monroe","Monroe County","New York"
"36069",2019,"DP04_0089E","Median Owner-Occupied Housing Value",161800,3509,2.16872682323857,"Ontario","Ontario County","New York"
"36073",2019,"DP04_0089E","Median Owner-Occupied Housing Value",98400,3194,3.24593495934959,"Orleans","Orleans County","New York"
"36099",2019,"DP04_0089E","Median Owner-Occupied Housing Value",107100,3712,3.46591970121382,"Seneca","Seneca County","New York"
