"GEOID","year","variable","Variable_Description","estimate","moe","moe_pct_of_estimate","County","Geography","State"
"3603700474",2015,"DP04_0089E","Median Owner-Occupied Housing Value",104100,6455,6.20076849183477,"Genesee","Alabama town","New York"
"3603701165",2015,"DP04_0089E","Median Owner-Occupied Housing Value",111400,6755,6.06373429084381,"Genesee","Alexander town","New York"
"3603704715",2015,"DP04_0089E","Median Owner-Occupied Housing Value",94100,3127,3.3230605738576,"Genesee","Batavia city","New York"
"3603704726",2015,"DP04_0089E","Median Owner-Occupied Housing Value",108900,10406,9.55555555555556,"Genesee","Batavia town","New York"
"3603706057",2015,"DP04_0089E","Median Owner-Occupied Housing Value",108000,6796,6.29259259259259,"Genesee","Bergen town","New York"
"3603706266",2015,"DP04_0089E","Median Owner-Occupied Housing Value",115000,5302,4.6104347826087,"Genesee","Bethany town","New York"
"3603711572",2015,"DP04_0089E","Median Owner-Occupied Housing Value",102200,12315,12.0499021526419,"Genesee","Byron town","New York"
"3603719719",2015,"DP04_0089E","Median Owner-Occupied Housing Value",139400,12435,8.92037302725968,"Genesee","Darien town","New York"
"3603723756",2015,"DP04_0089E","Median Owner-Occupied Housing Value",114300,6296,5.50831146106737,"Genesee","Elba town","New York"
"3603742037",2015,"DP04_0089E","Median Owner-Occupied Housing Value",100900,6815,6.75421209117939,"Genesee","Le Roy town","New York"
"3603754166",2015,"DP04_0089E","Median Owner-Occupied Housing Value",95900,4915,5.12513034410845,"Genesee","Oakfield town","New York"
"3603756792",2015,"DP04_0089E","Median Owner-Occupied Housing Value",113000,12130,10.7345132743363,"Genesee","Pavilion town","New York"
"3603757078",2015,"DP04_0089E","Median Owner-Occupied Housing Value",128100,19047,14.8688524590164,"Genesee","Pembroke town","New York"
"3603770607",2015,"DP04_0089E","Median Owner-Occupied Housing Value",119200,6484,5.43959731543624,"Genesee","Stafford town","New York"
"3603775011",2015,"DP04_0089E","Median Owner-Occupied Housing Value",60800,11020,18.125,"Genesee","Tonawanda Reservation","New York"
"3605103364",2015,"DP04_0089E","Median Owner-Occupied Housing Value",139700,7866,5.63063707945598,"Livingston","Avon town","New York"
"3605111715",2015,"DP04_0089E","Median Owner-Occupied Housing Value",124200,6603,5.31642512077295,"Livingston","Caledonia town","New York"
"3605117618",2015,"DP04_0089E","Median Owner-Occupied Housing Value",129800,13140,10.1232665639445,"Livingston","Conesus town","New York"
"3605128629",2015,"DP04_0089E","Median Owner-Occupied Housing Value",157600,13582,8.61802030456853,"Livingston","Geneseo town","New York"
"3605131016",2015,"DP04_0089E","Median Owner-Occupied Housing Value",134200,14685,10.9426229508197,"Livingston","Groveland town","New York"
"3605141883",2015,"DP04_0089E","Median Owner-Occupied Housing Value",98300,6829,6.9471007121058,"Livingston","Leicester town","New York"
"3605142334",2015,"DP04_0089E","Median Owner-Occupied Housing Value",140200,6401,4.56562054208274,"Livingston","Lima town","New York"
"3605142961",2015,"DP04_0089E","Median Owner-Occupied Housing Value",150800,11321,7.50729442970822,"Livingston","Livonia town","New York"
"3605148956",2015,"DP04_0089E","Median Owner-Occupied Housing Value",79500,12726,16.0075471698113,"Livingston","Mount Morris town","New York"
"3605151869",2015,"DP04_0089E","Median Owner-Occupied Housing Value",85100,3268,3.84018801410106,"Livingston","North Dansville town","New York"
"3605154089",2015,"DP04_0089E","Median Owner-Occupied Housing Value",94600,12249,12.9482029598309,"Livingston","Nunda town","New York"
"3605155508",2015,"DP04_0089E","Median Owner-Occupied Housing Value",111800,10707,9.57692307692308,"Livingston","Ossian town","New York"
"3605159179",2015,"DP04_0089E","Median Owner-Occupied Housing Value",78700,3913,4.9720457433291,"Livingston","Portage town","New York"
"3605170101",2015,"DP04_0089E","Median Owner-Occupied Housing Value",115100,12260,10.6516072980017,"Livingston","Sparta town","New York"
"3605170475",2015,"DP04_0089E","Median Owner-Occupied Housing Value",109000,8413,7.71834862385321,"Livingston","Springwater town","New York"
"3605181006",2015,"DP04_0089E","Median Owner-Occupied Housing Value",92500,9868,10.6681081081081,"Livingston","West Sparta town","New York"
"3605184022",2015,"DP04_0089E","Median Owner-Occupied Housing Value",117100,12171,10.3936806148591,"Livingston","York town","New York"
"3605500000",2015,"DP04_0089E","Median Owner-Occupied Housing Value",NA,0,NA,"Monroe","County subdivisions not defined","New York"
"3605508246",2015,"DP04_0089E","Median Owner-Occupied Housing Value",170300,2812,1.65120375807399,"Monroe","Brighton town","New York"
"3605515462",2015,"DP04_0089E","Median Owner-Occupied Housing Value",136300,2185,1.6030814380044,"Monroe","Chili town","New York"
"3605515957",2015,"DP04_0089E","Median Owner-Occupied Housing Value",137200,6734,4.90816326530612,"Monroe","Clarkson town","New York"
