"GEOID","year","variable","Variable_Description","estimate","moe","moe_pct_of_estimate","County","Geography","State"
"36037",2015,"DP04_0134","Median Gross Rent",724,19,2.62430939226519,"Genesee","Genesee County","New York"
"36051",2015,"DP04_0134","Median Gross Rent",721,23,3.19001386962552,"Livingston","Livingston County","New York"
"36055",2015,"DP04_0134","Median Gross Rent",826,6,0.726392251815981,"Monroe","Monroe County","New York"
"36069",2015,"DP04_0134","Median Gross Rent",809,21,2.59579728059333,"Ontario","Ontario County","New York"
"36073",2015,"DP04_0134","Median Gross Rent",639,23,3.59937402190923,"Orleans","Orleans County","New York"
"36099",2015,"DP04_0134","Median Gross Rent",716,28,3.91061452513966,"Seneca","Seneca County","New York"
"36117",2015,"DP04_0134","Median Gross Rent",694,16,2.30547550432277,"Wayne","Wayne County","New York"
"36123",2015,"DP04_0134","Median Gross Rent",688,32,4.65116279069767,"Yates","Yates County","New York"
"36037",2016,"DP04_0134","Median Gross Rent",716,19,2.6536312849162,"Genesee","Genesee County","New York"
"36051",2016,"DP04_0134","Median Gross Rent",722,26,3.601108033241,"Livingston","Livingston County","New York"
"36055",2016,"DP04_0134","Median Gross Rent",843,5,0.593119810201661,"Monroe","Monroe County","New York"
"36069",2016,"DP04_0134","Median Gross Rent",821,22,2.67965895249695,"Ontario","Ontario County","New York"
"36073",2016,"DP04_0134","Median Gross Rent",658,44,6.68693009118541,"Orleans","Orleans County","New York"
"36099",2016,"DP04_0134","Median Gross Rent",735,28,3.80952380952381,"Seneca","Seneca County","New York"
"36117",2016,"DP04_0134","Median Gross Rent",716,25,3.49162011173184,"Wayne","Wayne County","New York"
"36123",2016,"DP04_0134","Median Gross Rent",701,28,3.99429386590585,"Yates","Yates County","New York"
"36037",2017,"DP04_0134","Median Gross Rent",748,19,2.54010695187166,"Genesee","Genesee County","New York"
"36051",2017,"DP04_0134","Median Gross Rent",755,26,3.44370860927152,"Livingston","Livingston County","New York"
"36055",2017,"DP04_0134","Median Gross Rent",872,6,0.688073394495413,"Monroe","Monroe County","New York"
"36069",2017,"DP04_0134","Median Gross Rent",837,17,2.0310633213859,"Ontario","Ontario County","New York"
"36073",2017,"DP04_0134","Median Gross Rent",683,31,4.53879941434846,"Orleans","Orleans County","New York"
"36099",2017,"DP04_0134","Median Gross Rent",750,37,4.93333333333333,"Seneca","Seneca County","New York"
"36117",2017,"DP04_0134","Median Gross Rent",742,23,3.09973045822102,"Wayne","Wayne County","New York"
"36123",2017,"DP04_0134","Median Gross Rent",732,39,5.32786885245902,"Yates","Yates County","New York"
"36037",2018,"DP04_0134","Median Gross Rent",746,23,3.08310991957105,"Genesee","Genesee County","New York"
"36051",2018,"DP04_0134","Median Gross Rent",781,25,3.20102432778489,"Livingston","Livingston County","New York"
"36055",2018,"DP04_0134","Median Gross Rent",902,8,0.886917960088692,"Monroe","Monroe County","New York"
"36069",2018,"DP04_0134","Median Gross Rent",875,25,2.85714285714286,"Ontario","Ontario County","New York"
"36073",2018,"DP04_0134","Median Gross Rent",723,22,3.04287690179806,"Orleans","Orleans County","New York"
"36099",2018,"DP04_0134","Median Gross Rent",761,29,3.8107752956636,"Seneca","Seneca County","New York"
"36117",2018,"DP04_0134","Median Gross Rent",757,21,2.77410832232497,"Wayne","Wayne County","New York"
"36123",2018,"DP04_0134","Median Gross Rent",753,36,4.7808764940239,"Yates","Yates County","New York"
"36037",2019,"DP04_0134","Median Gross Rent",747,27,3.6144578313253,"Genesee","Genesee County","New York"
"36051",2019,"DP04_0134","Median Gross Rent",798,24,3.00751879699248,"Livingston","Livingston County","New York"
"36055",2019,"DP04_0134","Median Gross Rent",927,7,0.75512405609493,"Monroe","Monroe County","New York"
"36069",2019,"DP04_0134","Median Gross Rent",896,26,2.90178571428571,"Ontario","Ontario County","New York"
"36073",2019,"DP04_0134","Median Gross Rent",728,25,3.43406593406593,"Orleans","Orleans County","New York"
"36099",2019,"DP04_0134","Median Gross Rent",781,23,2.9449423815621,"Seneca","Seneca County","New York"
"36117",2019,"DP04_0134","Median Gross Rent",779,28,3.59435173299101,"Wayne","Wayne County","New York"
