"GEOID","year","variable","Variable_Description","estimate","moe","moe_pct_of_estimate","County","Geography","State"
"3603700474",2015,"DP04_0134","Median Gross Rent",625,143,22.88,"Genesee","Alabama town","New York"
"3603701165",2015,"DP04_0134","Median Gross Rent",790,108,13.6708860759494,"Genesee","Alexander town","New York"
"3603704715",2015,"DP04_0134","Median Gross Rent",716,28,3.91061452513966,"Genesee","Batavia city","New York"
"3603704726",2015,"DP04_0134","Median Gross Rent",725,151,20.8275862068966,"Genesee","Batavia town","New York"
"3603706057",2015,"DP04_0134","Median Gross Rent",738,109,14.769647696477,"Genesee","Bergen town","New York"
"3603706266",2015,"DP04_0134","Median Gross Rent",715,145,20.2797202797203,"Genesee","Bethany town","New York"
"3603711572",2015,"DP04_0134","Median Gross Rent",788,88,11.1675126903553,"Genesee","Byron town","New York"
"3603719719",2015,"DP04_0134","Median Gross Rent",738,95,12.8726287262873,"Genesee","Darien town","New York"
"3603723756",2015,"DP04_0134","Median Gross Rent",702,141,20.0854700854701,"Genesee","Elba town","New York"
"3603742037",2015,"DP04_0134","Median Gross Rent",774,75,9.68992248062016,"Genesee","Le Roy town","New York"
"3603754166",2015,"DP04_0134","Median Gross Rent",585,41,7.00854700854701,"Genesee","Oakfield town","New York"
"3603756792",2015,"DP04_0134","Median Gross Rent",734,84,11.4441416893733,"Genesee","Pavilion town","New York"
"3603757078",2015,"DP04_0134","Median Gross Rent",807,135,16.728624535316,"Genesee","Pembroke town","New York"
"3603770607",2015,"DP04_0134","Median Gross Rent",672,78,11.6071428571429,"Genesee","Stafford town","New York"
"3603775011",2015,"DP04_0134","Median Gross Rent",700,182,26,"Genesee","Tonawanda Reservation","New York"
"3605103364",2015,"DP04_0134","Median Gross Rent",789,66,8.36501901140684,"Livingston","Avon town","New York"
"3605111715",2015,"DP04_0134","Median Gross Rent",746,65,8.71313672922252,"Livingston","Caledonia town","New York"
"3605117618",2015,"DP04_0134","Median Gross Rent",950,194,20.4210526315789,"Livingston","Conesus town","New York"
"3605128629",2015,"DP04_0134","Median Gross Rent",752,40,5.31914893617021,"Livingston","Geneseo town","New York"
"3605131016",2015,"DP04_0134","Median Gross Rent",740,131,17.7027027027027,"Livingston","Groveland town","New York"
"3605141883",2015,"DP04_0134","Median Gross Rent",786,68,8.65139949109415,"Livingston","Leicester town","New York"
"3605142334",2015,"DP04_0134","Median Gross Rent",664,38,5.72289156626506,"Livingston","Lima town","New York"
"3605142961",2015,"DP04_0134","Median Gross Rent",818,103,12.5916870415648,"Livingston","Livonia town","New York"
"3605148956",2015,"DP04_0134","Median Gross Rent",662,77,11.631419939577,"Livingston","Mount Morris town","New York"
"3605151869",2015,"DP04_0134","Median Gross Rent",652,102,15.6441717791411,"Livingston","North Dansville town","New York"
"3605154089",2015,"DP04_0134","Median Gross Rent",535,160,29.9065420560748,"Livingston","Nunda town","New York"
"3605155508",2015,"DP04_0134","Median Gross Rent",565,227,40.1769911504425,"Livingston","Ossian town","New York"
"3605159179",2015,"DP04_0134","Median Gross Rent",665,152,22.8571428571429,"Livingston","Portage town","New York"
"3605170101",2015,"DP04_0134","Median Gross Rent",833,221,26.530612244898,"Livingston","Sparta town","New York"
"3605170475",2015,"DP04_0134","Median Gross Rent",734,46,6.26702997275204,"Livingston","Springwater town","New York"
"3605181006",2015,"DP04_0134","Median Gross Rent",725,123,16.9655172413793,"Livingston","West Sparta town","New York"
"3605184022",2015,"DP04_0134","Median Gross Rent",699,113,16.1659513590844,"Livingston","York town","New York"
"3605500000",2015,"DP04_0134","Median Gross Rent",NA,0,NA,"Monroe","County subdivisions not defined","New York"
"3605508246",2015,"DP04_0134","Median Gross Rent",943,19,2.01484623541888,"Monroe","Brighton town","New York"
"3605515462",2015,"DP04_0134","Median Gross Rent",898,43,4.78841870824053,"Monroe","Chili town","New York"
"3605515957",2015,"DP04_0134","Median Gross Rent",745,141,18.9261744966443,"Monroe","Clarkson town","New York"
"3605522870",2015,"DP04_0134","Median Gross Rent",825,27,3.27272727272727,"Monroe","East Rochester town","New York"
"3605528442",2015,"DP04_0134","Median Gross Rent",805,46,5.71428571428571,"Monroe","Gates town","New York"
"3605530290",2015,"DP04_0134","Median Gross Rent",850,21,2.47058823529412,"Monroe","Greece town","New York"
"3605531797",2015,"DP04_0134","Median Gross Rent",770,47,6.1038961038961,"Monroe","Hamlin town","New York"
"3605534099",2015,"DP04_0134","Median Gross Rent",944,54,5.72033898305085,"Monroe","Henrietta town","New York"
"3605537726",2015,"DP04_0134","Median Gross Rent",822,19,2.31143552311436,"Monroe","Irondequoit town","New York"
"3605546558",2015,"DP04_0134","Median Gross Rent",808,79,9.77722772277228,"Monroe","Mendon town","New York"
"3605554474",2015,"DP04_0134","Median Gross Rent",863,53,6.14136732329085,"Monroe","Ogden town","New York"
"3605556561",2015,"DP04_0134","Median Gross Rent",871,86,9.87370838117107,"Monroe","Parma town","New York"
"3605557144",2015,"DP04_0134","Median Gross Rent",894,44,4.92170022371365,"Monroe","Penfield town","New York"
"3605557221",2015,"DP04_0134","Median Gross Rent",912,38,4.16666666666667,"Monroe","Perinton town","New York"
"3605558365",2015,"DP04_0134","Median Gross Rent",1059,78,7.36543909348442,"Monroe","Pittsford town","New York"
"3605561808",2015,"DP04_0134","Median Gross Rent",762,126,16.5354330708661,"Monroe","Riga town","New York"
"3605563000",2015,"DP04_0134","Median Gross Rent",770,7,0.909090909090909,"Monroe","Rochester city","New York"
"3605564144",2015,"DP04_0134","Median Gross Rent",822,121,14.7201946472019,"Monroe","Rush town","New York"
"3605572455",2015,"DP04_0134","Median Gross Rent",793,63,7.94451450189155,"Monroe","Sweden town","New York"
"3605578971",2015,"DP04_0134","Median Gross Rent",954,40,4.19287211740042,"Monroe","Webster town","New York"
"3605581402",2015,"DP04_0134","Median Gross Rent",941,44,4.67587672688629,"Monroe","Wheatland town","New York"
"3606908378",2015,"DP04_0134","Median Gross Rent",494,344,69.6356275303644,"Ontario","Bristol town","New York"
"3606912100",2015,"DP04_0134","Median Gross Rent",746,273,36.5951742627346,"Ontario","Canadice town","New York"
"3606912144",2015,"DP04_0134","Median Gross Rent",785,29,3.69426751592357,"Ontario","Canandaigua city","New York"
"3606912155",2015,"DP04_0134","Median Gross Rent",984,115,11.6869918699187,"Ontario","Canandaigua town","New York"
"3606921699",2015,"DP04_0134","Median Gross Rent",719,26,3.61613351877608,"Ontario","East Bloomfield town","New York"
"3606925406",2015,"DP04_0134","Median Gross Rent",991,65,6.5590312815338,"Ontario","Farmington town","New York"
"3606928640",2015,"DP04_0134","Median Gross Rent",708,27,3.8135593220339,"Ontario","Geneva city","New York"
"3606928651",2015,"DP04_0134","Median Gross Rent",817,167,20.4406364749082,"Ontario","Geneva town","New York"
"3606929531",2015,"DP04_0134","Median Gross Rent",588,247,42.0068027210884,"Ontario","Gorham town","New York"
"3606935551",2015,"DP04_0134","Median Gross Rent",966,269,27.8467908902692,"Ontario","Hopewell town","New York"
"3606944864",2015,"DP04_0134","Median Gross Rent",724,52,7.18232044198895,"Ontario","Manchester town","New York"
"3606949440",2015,"DP04_0134","Median Gross Rent",703,112,15.9317211948791,"Ontario","Naples town","New York"
"3606957529",2015,"DP04_0134","Median Gross Rent",736,36,4.89130434782609,"Ontario","Phelps town","New York"
"3606961544",2015,"DP04_0134","Median Gross Rent",904,486,53.7610619469027,"Ontario","Richmond town","New York"
"3606966289",2015,"DP04_0134","Median Gross Rent",708,123,17.3728813559322,"Ontario","Seneca town","New York"
"3606968660",2015,"DP04_0134","Median Gross Rent",781,175,22.4071702944942,"Ontario","South Bristol town","New York"
"3606977387",2015,"DP04_0134","Median Gross Rent",1322,66,4.99243570347958,"Ontario","Victor town","New York"
"3606979356",2015,"DP04_0134","Median Gross Rent",704,139,19.7443181818182,"Ontario","West Bloomfield town","New York"
"3607300000",2015,"DP04_0134","Median Gross Rent",NA,0,NA,"Orleans","County subdivisions not defined","New York"
"3607301044",2015,"DP04_0134","Median Gross Rent",611,44,7.2013093289689,"Orleans","Albion town","New York"
"3607304572",2015,"DP04_0134","Median Gross Rent",825,151,18.3030303030303,"Orleans","Barre town","New York"
"3607312496",2015,"DP04_0134","Median Gross Rent",NA,0,NA,"Orleans","Carlton town","New York"
"3607315880",2015,"DP04_0134","Median Gross Rent",697,169,24.2467718794835,"Orleans","Clarendon town","New York"
"3607327958",2015,"DP04_0134","Median Gross Rent",536,150,27.9850746268657,"Orleans","Gaines town","New York"
"3607339188",2015,"DP04_0134","Median Gross Rent",738,169,22.89972899729,"Orleans","Kendall town","New York"
"3607349286",2015,"DP04_0134","Median Gross Rent",645,31,4.8062015503876,"Orleans","Murray town","New York"
"3607361742",2015,"DP04_0134","Median Gross Rent",684,56,8.18713450292398,"Orleans","Ridgeway town","New York"
"3607366751",2015,"DP04_0134","Median Gross Rent",629,59,9.37996820349762,"Orleans","Shelby town","New York"
"3607383448",2015,"DP04_0134","Median Gross Rent",706,82,11.614730878187,"Orleans","Yates town","New York"
"3609918663",2015,"DP04_0134","Median Gross Rent",876,74,8.44748858447489,"Seneca","Covert town","New York"
"3609925505",2015,"DP04_0134","Median Gross Rent",728,111,15.2472527472527,"Seneca","Fayette town","New York"
"3609928640",2015,"DP04_0134","Median Gross Rent",NA,0,NA,"Seneca","Geneva city","New York"
"3609938858",2015,"DP04_0134","Median Gross Rent",692,77,11.1271676300578,"Seneca","Junius town","New York"
"3609943225",2015,"DP04_0134","Median Gross Rent",550,100,18.1818181818182,"Seneca","Lodi town","New York"
"3609955827",2015,"DP04_0134","Median Gross Rent",682,62,9.09090909090909,"Seneca","Ovid town","New York"
"3609963440",2015,"DP04_0134","Median Gross Rent",832,89,10.6971153846154,"Seneca","Romulus town","New York"
"3609966333",2015,"DP04_0134","Median Gross Rent",722,36,4.98614958448753,"Seneca","Seneca Falls town","New York"
"3609975902",2015,"DP04_0134","Median Gross Rent",NA,0,NA,"Seneca","Tyre town","New York"
"3609976958",2015,"DP04_0134","Median Gross Rent",902,176,19.5121951219512,"Seneca","Varick town","New York"
"3609978564",2015,"DP04_0134","Median Gross Rent",680,60,8.82352941176471,"Seneca","Waterloo town","New York"
"3611700000",2015,"DP04_0134","Median Gross Rent",NA,0,NA,"Wayne","County subdivisions not defined","New York"
"3611702440",2015,"DP04_0134","Median Gross Rent",657,34,5.17503805175038,"Wayne","Arcadia town","New York"
"3611711473",2015,"DP04_0134","Median Gross Rent",498,121,24.2971887550201,"Wayne","Butler town","New York"
"3611728013",2015,"DP04_0134","Median Gross Rent",737,48,6.51289009497965,"Wayne","Galen town","New York"
"3611737165",2015,"DP04_0134","Median Gross Rent",638,329,51.5673981191223,"Wayne","Huron town","New York"
"3611743973",2015,"DP04_0134","Median Gross Rent",633,50,7.89889415481833,"Wayne","Lyons town","New York"
"3611744160",2015,"DP04_0134","Median Gross Rent",761,44,5.78186596583443,"Wayne","Macedon town","New York"
"3611745645",2015,"DP04_0134","Median Gross Rent",699,210,30.0429184549356,"Wayne","Marion town","New York"
"3611755013",2015,"DP04_0134","Median Gross Rent",752,93,12.3670212765957,"Wayne","Ontario town","New York"
"3611756198",2015,"DP04_0134","Median Gross Rent",712,40,5.61797752808989,"Wayne","Palmyra town","New York"
"3611763605",2015,"DP04_0134","Median Gross Rent",831,54,6.49819494584837,"Wayne","Rose town","New York"
"3611765343",2015,"DP04_0134","Median Gross Rent",892,295,33.0717488789238,"Wayne","Savannah town","New York"
"3611768220",2015,"DP04_0134","Median Gross Rent",724,142,19.6132596685083,"Wayne","Sodus town","New York"
"3611778102",2015,"DP04_0134","Median Gross Rent",700,110,15.7142857142857,"Wayne","Walworth town","New York"
"3611782040",2015,"DP04_0134","Median Gross Rent",646,107,16.5634674922601,"Wayne","Williamson town","New York"
"3611782689",2015,"DP04_0134","Median Gross Rent",577,56,9.7053726169844,"Wayne","Wolcott town","New York"
"3612304594",2015,"DP04_0134","Median Gross Rent",881,274,31.1010215664018,"Yates","Barrington town","New York"
"3612306002",2015,"DP04_0134","Median Gross Rent",692,50,7.22543352601156,"Yates","Benton town","New York"
"3612338044",2015,"DP04_0134","Median Gross Rent",645,307,47.5968992248062,"Yates","Italy town","New York"
"3612338583",2015,"DP04_0134","Median Gross Rent",844,341,40.4028436018957,"Yates","Jerusalem town","New York"
"3612347020",2015,"DP04_0134","Median Gross Rent",710,140,19.7183098591549,"Yates","Middlesex town","New York"
"3612347504",2015,"DP04_0134","Median Gross Rent",651,53,8.14132104454685,"Yates","Milo town","New York"
"3612359597",2015,"DP04_0134","Median Gross Rent",725,63,8.68965517241379,"Yates","Potter town","New York"
"3612370816",2015,"DP04_0134","Median Gross Rent",695,93,13.3812949640288,"Yates","Starkey town","New York"
"3612375055",2015,"DP04_0134","Median Gross Rent",725,266,36.6896551724138,"Yates","Torrey town","New York"
"3603700474",2016,"DP04_0134","Median Gross Rent",544,188,34.5588235294118,"Genesee","Alabama town","New York"
"3603701165",2016,"DP04_0134","Median Gross Rent",784,85,10.8418367346939,"Genesee","Alexander town","New York"
"3603704715",2016,"DP04_0134","Median Gross Rent",730,26,3.56164383561644,"Genesee","Batavia city","New York"
"3603704726",2016,"DP04_0134","Median Gross Rent",591,161,27.2419627749577,"Genesee","Batavia town","New York"
"3603706057",2016,"DP04_0134","Median Gross Rent",752,173,23.0053191489362,"Genesee","Bergen town","New York"
