GEOID,year,variable,Variable_Description,estimate,moe,moe_pct_of_estimate,County,Geography,State
36037,2017,Owner_Cost_Burden,Percent Cost Burdened,18.88997639472623,1.7557377794121842,11.9904099865831,Genesee,Genesee County,New York
36037,2018,Owner_Cost_Burden,Percent Cost Burdened,18.179175629323908,1.8422190774326903,12.776763252334,Genesee,Genesee County,New York
36037,2019,Owner_Cost_Burden,Percent Cost Burdened,17.70153774464121,1.805318560059049,12.9671266874472,Genesee,Genesee County,New York
36037,2020,Owner_Cost_Burden,Percent Cost Burdened,17.75327124164332,2.399883271889532,16.0839990435397,Genesee,Genesee County,New York
36037,2021,Owner_Cost_Burden,Percent Cost Burdened,18.02770894345576,2.345217720479597,16.4177983053575,Genesee,Genesee County,New York
36037,2022,Owner_Cost_Burden,Percent Cost Burdened,17.67397734248567,2.2912773506337265,15.8893610039987,Genesee,Genesee County,New York
36037,2023,Owner_Cost_Burden,Percent Cost Burdened,17.4636853272401,2.343701513960332,16.9410443449188,Genesee,Genesee County,New York
36037,2024,Owner_Cost_Burden,Percent Cost Burdened,17.80284453163319,2.4035032878394365,17.037407418126,Genesee,Genesee County,New York
36051,2017,Owner_Cost_Burden,Percent Cost Burdened,20.41592128801434,1.893846764830398,11.1654760865072,Livingston,Livingston County,New York
36051,2018,Owner_Cost_Burden,Percent Cost Burdened,19.99106295034347,1.9385767457155179,12.379891971713,Livingston,Livingston County,New York
36051,2019,Owner_Cost_Burden,Percent Cost Burdened,19.28104575163395,1.857560548185978,12.6556744901037,Livingston,Livingston County,New York
36051,2020,Owner_Cost_Burden,Percent Cost Burdened,19.27420649788576,2.0398067788231358,13.7540944896552,Livingston,Livingston County,New York
36051,2021,Owner_Cost_Burden,Percent Cost Burdened,18.73362445414843,2.1726399412193595,15.4231277424046,Livingston,Livingston County,New York
36051,2022,Owner_Cost_Burden,Percent Cost Burdened,18.62935403860672,2.1560577825895626,14.9214938440724,Livingston,Livingston County,New York
36051,2023,Owner_Cost_Burden,Percent Cost Burdened,18.22591822591827,2.0231816996889456,15.0550701283242,Livingston,Livingston County,New York
36051,2024,Owner_Cost_Burden,Percent Cost Burdened,17.68357953329052,2.0447752556822447,14.9181963244771,Livingston,Livingston County,New York
36055,2017,Owner_Cost_Burden,Percent Cost Burdened,21.0724732898462,0.6216584093801272,3.85922630064521,Monroe,Monroe County,New York
36055,2018,Owner_Cost_Burden,Percent Cost Burdened,20.49603929932881,0.5963701621476866,3.5977039394792,Monroe,Monroe County,New York
36055,2019,Owner_Cost_Burden,Percent Cost Burdened,19.66232669214682,0.6124059629091269,3.93332890795189,Monroe,Monroe County,New York
36055,2020,Owner_Cost_Burden,Percent Cost Burdened,18.986235186401778,0.784782567074116,5.4611922886869,Monroe,Monroe County,New York
36055,2021,Owner_Cost_Burden,Percent Cost Burdened,18.674335054191943,0.7617486728578942,5.32589793020982,Monroe,Monroe County,New York
36055,2022,Owner_Cost_Burden,Percent Cost Burdened,18.73539923726615,0.7208729458935692,4.96334441063089,Monroe,Monroe County,New York
36055,2023,Owner_Cost_Burden,Percent Cost Burdened,19.16759520872303,0.7356134581930815,4.820255769962,Monroe,Monroe County,New York
36055,2024,Owner_Cost_Burden,Percent Cost Burdened,19.7974426268327,0.8042982764758552,5.3122072150885,Monroe,Monroe County,New York
36069,2017,Owner_Cost_Burden,Percent Cost Burdened,18.41674642625581,1.317914914476675,8.68438018052156,Ontario,Ontario County,New York
36069,2018,Owner_Cost_Burden,Percent Cost Burdened,18.84248904684576,1.4182836448718443,8.91425730369112,Ontario,Ontario County,New York
36069,2019,Owner_Cost_Burden,Percent Cost Burdened,17.80722454165911,1.3261918120485572,9.26121927407694,Ontario,Ontario County,New York
