"GEOID","year","variable","Variable_Description","estimate","moe","moe_pct_of_estimate","County","Geography","State","count"
"3603700474",2017,"Cost Burdened","Cost Burdened",12.3022847100176,4.89913579449709,39.8229752438406,"Genesee","Alabama town","New York",70
"3603700474",2017,"Not Burdened","Not Burdened",80.1405975395431,11.346709039716,14.158503165786,"Genesee","Alabama town","New York",456
"3603700474",2017,"Not Computed","Not Computed",2.46045694200351,1.99116719950945,80.9267240372053,"Genesee","Alabama town","New York",14
"3603700474",2017,"Severely Cost Burdened","Severely Cost Burdened",5.09666080843585,2.87159989065023,56.3427702682751,"Genesee","Alabama town","New York",29
"3603700474",2018,"Cost Burdened","Cost Burdened",10.4906937394247,4.06656043777365,38.7635035278101,"Genesee","Alabama town","New York",62
"3603700474",2018,"Not Burdened","Not Burdened",80.8798646362098,8.86601640648655,10.9619575235012,"Genesee","Alabama town","New York",478
"3603700474",2018,"Not Computed","Not Computed",3.21489001692047,2.24525990651868,69.8394002501338,"Genesee","Alabama town","New York",19
"3603700474",2018,"Severely Cost Burdened","Severely Cost Burdened",5.41455160744501,3.04117922244603,56.1667787645502,"Genesee","Alabama town","New York",32
"3603700474",2019,"Cost Burdened","Cost Burdened",10.3448275862069,5.24956807165794,50.7458246926935,"Genesee","Alabama town","New York",60
"3603700474",2019,"Not Burdened","Not Burdened",81.7241379310345,7.50387690034697,9.18195907637393,"Genesee","Alabama town","New York",474
"3603700474",2019,"Not Computed","Not Computed",2.58620689655172,1.94159383028199,75.0749614375704,"Genesee","Alabama town","New York",15
"3603700474",2019,"Severely Cost Burdened","Severely Cost Burdened",5.3448275862069,3.1005693767939,58.0106528561439,"Genesee","Alabama town","New York",31
"3603700474",2020,"Cost Burdened","Cost Burdened",10.1063829787234,5.57781241285016,55.1909859797806,"Genesee","Alabama town","New York",57
"3603700474",2020,"Not Burdened","Not Burdened",81.2056737588652,9.21224587097967,11.3443377101147,"Genesee","Alabama town","New York",458
"3603700474",2020,"Not Computed","Not Computed",1.95035460992908,1.55291236585401,79.6220522128781,"Genesee","Alabama town","New York",11
"3603700474",2020,"Severely Cost Burdened","Severely Cost Burdened",6.73758865248227,4.06542064585599,60.33940116481,"Genesee","Alabama town","New York",38
"3603700474",2021,"Cost Burdened","Cost Burdened",13.0514705882353,5.60959824843373,42.9805837626472,"Genesee","Alabama town","New York",71
"3603700474",2021,"Not Burdened","Not Burdened",80.6985294117647,8.47845260825585,10.5063285168364,"Genesee","Alabama town","New York",439
"3603700474",2021,"Not Computed","Not Computed",1.28676470588235,1.31165081107911,101.934005889576,"Genesee","Alabama town","New York",7
"3603700474",2021,"Severely Cost Burdened","Severely Cost Burdened",4.96323529411765,4.12616399584335,83.1345634718067,"Genesee","Alabama town","New York",27
"3603700474",2022,"Cost Burdened","Cost Burdened",15.2542372881356,5.67865626532751,37.2267466282581,"Genesee","Alabama town","New York",90
"3603700474",2022,"Not Burdened","Not Burdened",77.4576271186441,5.60067168660127,7.23062646629048,"Genesee","Alabama town","New York",457
"3603700474",2022,"Not Computed","Not Computed",3.05084745762712,3.86894215544771,126.815326206342,"Genesee","Alabama town","New York",18
"3603700474",2022,"Severely Cost Burdened","Severely Cost Burdened",4.23728813559322,3.38455688023358,79.8755423735126,"Genesee","Alabama town","New York",25
"3603700474",2023,"Cost Burdened","Cost Burdened",16.0621761658031,6.29209183438807,39.1733459366741,"Genesee","Alabama town","New York",93
"3603700474",2023,"Not Burdened","Not Burdened",77.3747841105354,6.67013876311247,8.62055880321901,"Genesee","Alabama town","New York",448
"3603700474",2023,"Not Computed","Not Computed",2.76338514680484,3.19382125660545,115.57640672341,"Genesee","Alabama town","New York",16
"3603700474",2023,"Severely Cost Burdened","Severely Cost Burdened",3.79965457685665,3.16441590782726,83.2816732105447,"Genesee","Alabama town","New York",22
"3603700474",2024,"Cost Burdened","Cost Burdened",15.3429602888087,7.2663375546638,47.3594235915735,"Genesee","Alabama town","New York",85
"3603700474",2024,"Not Burdened","Not Burdened",77.2563176895307,5.63397279865339,7.29257226741584,"Genesee","Alabama town","New York",428
"3603700474",2024,"Not Computed","Not Computed",3.6101083032491,4.02303349363149,111.438027773592,"Genesee","Alabama town","New York",20
"3603700474",2024,"Severely Cost Burdened","Severely Cost Burdened",3.79061371841155,2.66806568374415,70.3861137521077,"Genesee","Alabama town","New York",21
"3603701165",2017,"Cost Burdened","Cost Burdened",12.1686746987952,4.40527496561326,36.201764568901,"Genesee","Alexander town","New York",101
"3603701165",2017,"Not Burdened","Not Burdened",77.9518072289157,9.3138585053452,11.9482265215402,"Genesee","Alexander town","New York",647
"3603701165",2017,"Not Computed","Not Computed",0,1.87425893808482,NA,"Genesee","Alexander town","New York",0
"3603701165",2017,"Severely Cost Burdened","Severely Cost Burdened",9.87951807228916,4.54109346614686,45.964726547584,"Genesee","Alexander town","New York",82
"3603701165",2018,"Cost Burdened","Cost Burdened",13.5064935064935,4.84091791410809,35.8414114794541,"Genesee","Alexander town","New York",104
"3603701165",2018,"Not Burdened","Not Burdened",76.1038961038961,10.5710850032426,13.890333536684,"Genesee","Alexander town","New York",586
"3603701165",2018,"Not Computed","Not Computed",0,2.20396918811391,NA,"Genesee","Alexander town","New York",0
"3603701165",2018,"Severely Cost Burdened","Severely Cost Burdened",10.3896103896104,5.46233492706944,52.5749736730433,"Genesee","Alexander town","New York",80
"3603701165",2019,"Cost Burdened","Cost Burdened",13.8851802403204,5.63493365402311,40.5823587198395,"Genesee","Alexander town","New York",104
"3603701165",2019,"Not Burdened","Not Burdened",78.5046728971963,7.53268407591387,9.59520471574743,"Genesee","Alexander town","New York",588
"3603701165",2019,"Not Computed","Not Computed",0.400534045393859,0.564109541931229,140.83934896883,"Genesee","Alexander town","New York",3
"3603701165",2019,"Severely Cost Burdened","Severely Cost Burdened",7.20961281708945,4.46833701605334,61.9774893522954,"Genesee","Alexander town","New York",54
"3603701165",2020,"Cost Burdened","Cost Burdened",19.115890083632,12.8048016609799,66.9851186890009,"Genesee","Alexander town","New York",160
