"GEOID","year","variable","Variable_Description","estimate","moe","moe_pct_of_estimate","County","Geography","State"
"3603700474",2015,"S1701_C03_001","Percent Below Poverty (Last 12 Months)",11.7,4.6,39.3162393162393,"Genesee","Alabama town","New York"
"3603701165",2015,"S1701_C03_001","Percent Below Poverty (Last 12 Months)",8,3.7,46.25,"Genesee","Alexander town","New York"
"3603704715",2015,"S1701_C03_001","Percent Below Poverty (Last 12 Months)",22.8,2.9,12.719298245614,"Genesee","Batavia city","New York"
"3603704726",2015,"S1701_C03_001","Percent Below Poverty (Last 12 Months)",8.1,5.4,66.6666666666667,"Genesee","Batavia town","New York"
"3603706057",2015,"S1701_C03_001","Percent Below Poverty (Last 12 Months)",13.5,5.3,39.2592592592593,"Genesee","Bergen town","New York"
"3603706266",2015,"S1701_C03_001","Percent Below Poverty (Last 12 Months)",7.1,3.9,54.9295774647887,"Genesee","Bethany town","New York"
"3603711572",2015,"S1701_C03_001","Percent Below Poverty (Last 12 Months)",11,5.9,53.6363636363636,"Genesee","Byron town","New York"
"3603719719",2015,"S1701_C03_001","Percent Below Poverty (Last 12 Months)",10.8,6.3,58.3333333333333,"Genesee","Darien town","New York"
"3603723756",2015,"S1701_C03_001","Percent Below Poverty (Last 12 Months)",7.6,4.2,55.2631578947368,"Genesee","Elba town","New York"
"3603742037",2015,"S1701_C03_001","Percent Below Poverty (Last 12 Months)",10,3.2,32,"Genesee","Le Roy town","New York"
"3603754166",2015,"S1701_C03_001","Percent Below Poverty (Last 12 Months)",8.7,3.9,44.8275862068966,"Genesee","Oakfield town","New York"
"3603756792",2015,"S1701_C03_001","Percent Below Poverty (Last 12 Months)",13.7,6.9,50.3649635036496,"Genesee","Pavilion town","New York"
"3603757078",2015,"S1701_C03_001","Percent Below Poverty (Last 12 Months)",10.9,6.4,58.7155963302752,"Genesee","Pembroke town","New York"
"3603770607",2015,"S1701_C03_001","Percent Below Poverty (Last 12 Months)",8.2,3.6,43.9024390243902,"Genesee","Stafford town","New York"
"3603775011",2015,"S1701_C03_001","Percent Below Poverty (Last 12 Months)",20.3,5.6,27.5862068965517,"Genesee","Tonawanda Reservation","New York"
"3605103364",2015,"S1701_C03_001","Percent Below Poverty (Last 12 Months)",8.4,2.9,34.5238095238095,"Livingston","Avon town","New York"
"3605111715",2015,"S1701_C03_001","Percent Below Poverty (Last 12 Months)",5.8,2.1,36.2068965517241,"Livingston","Caledonia town","New York"
"3605117618",2015,"S1701_C03_001","Percent Below Poverty (Last 12 Months)",12.7,4.7,37.007874015748,"Livingston","Conesus town","New York"
"3605128629",2015,"S1701_C03_001","Percent Below Poverty (Last 12 Months)",30.2,4.8,15.8940397350993,"Livingston","Geneseo town","New York"
"3605131016",2015,"S1701_C03_001","Percent Below Poverty (Last 12 Months)",9.3,4.5,48.3870967741935,"Livingston","Groveland town","New York"
"3605141883",2015,"S1701_C03_001","Percent Below Poverty (Last 12 Months)",14,7.9,56.4285714285714,"Livingston","Leicester town","New York"
"3605142334",2015,"S1701_C03_001","Percent Below Poverty (Last 12 Months)",11.1,3.3,29.7297297297297,"Livingston","Lima town","New York"
"3605142961",2015,"S1701_C03_001","Percent Below Poverty (Last 12 Months)",12,6.7,55.8333333333333,"Livingston","Livonia town","New York"
