"GEOID","year","variable","Variable_Description","estimate","moe","moe_pct_of_estimate","County","Geography","State"
"36037",2017,"S2201_C04_001","Percent of Households Receiving SNAP",12.3,1.1,8.94308943089431,"Genesee","Genesee County","New York"
"36051",2017,"S2201_C04_001","Percent of Households Receiving SNAP",13.5,1.2,8.88888888888889,"Livingston","Livingston County","New York"
"36055",2017,"S2201_C04_001","Percent of Households Receiving SNAP",15.1,0.3,1.98675496688742,"Monroe","Monroe County","New York"
"36069",2017,"S2201_C04_001","Percent of Households Receiving SNAP",9.8,0.8,8.16326530612245,"Ontario","Ontario County","New York"
"36073",2017,"S2201_C04_001","Percent of Households Receiving SNAP",17,2.1,12.3529411764706,"Orleans","Orleans County","New York"
"36099",2017,"S2201_C04_001","Percent of Households Receiving SNAP",12,1.6,13.3333333333333,"Seneca","Seneca County","New York"
"36117",2017,"S2201_C04_001","Percent of Households Receiving SNAP",11.5,1,8.69565217391304,"Wayne","Wayne County","New York"
"36123",2017,"S2201_C04_001","Percent of Households Receiving SNAP",11.8,1.7,14.4067796610169,"Yates","Yates County","New York"
"36037",2018,"S2201_C04_001","Percent of Households Receiving SNAP",11.7,1.1,9.4017094017094,"Genesee","Genesee County","New York"
"36051",2018,"S2201_C04_001","Percent of Households Receiving SNAP",12.8,1.5,11.71875,"Livingston","Livingston County","New York"
"36055",2018,"S2201_C04_001","Percent of Households Receiving SNAP",15.1,0.4,2.64900662251656,"Monroe","Monroe County","New York"
"36069",2018,"S2201_C04_001","Percent of Households Receiving SNAP",9.6,0.8,8.33333333333333,"Ontario","Ontario County","New York"
"36073",2018,"S2201_C04_001","Percent of Households Receiving SNAP",15.8,1.9,12.0253164556962,"Orleans","Orleans County","New York"
"36099",2018,"S2201_C04_001","Percent of Households Receiving SNAP",11.6,1.6,13.7931034482759,"Seneca","Seneca County","New York"
"36117",2018,"S2201_C04_001","Percent of Households Receiving SNAP",11.4,1,8.7719298245614,"Wayne","Wayne County","New York"
"36123",2018,"S2201_C04_001","Percent of Households Receiving SNAP",9.9,2,20.2020202020202,"Yates","Yates County","New York"
"36037",2019,"S2201_C04_001","Percent of Households Receiving SNAP",11.4,1.1,9.64912280701754,"Genesee","Genesee County","New York"
"36051",2019,"S2201_C04_001","Percent of Households Receiving SNAP",12.2,1.4,11.4754098360656,"Livingston","Livingston County","New York"
"36055",2019,"S2201_C04_001","Percent of Households Receiving SNAP",15.1,0.5,3.3112582781457,"Monroe","Monroe County","New York"
"36069",2019,"S2201_C04_001","Percent of Households Receiving SNAP",9.5,0.9,9.47368421052632,"Ontario","Ontario County","New York"
"36073",2019,"S2201_C04_001","Percent of Households Receiving SNAP",15.3,2,13.0718954248366,"Orleans","Orleans County","New York"
"36099",2019,"S2201_C04_001","Percent of Households Receiving SNAP",11.3,1.5,13.2743362831858,"Seneca","Seneca County","New York"
"36117",2019,"S2201_C04_001","Percent of Households Receiving SNAP",11.6,0.9,7.75862068965517,"Wayne","Wayne County","New York"
"36123",2019,"S2201_C04_001","Percent of Households Receiving SNAP",8.8,1.4,15.9090909090909,"Yates","Yates County","New York"
"36037",2020,"S2201_C04_001","Percent of Households Receiving SNAP",12.1,1.7,14.0495867768595,"Genesee","Genesee County","New York"
"36051",2020,"S2201_C04_001","Percent of Households Receiving SNAP",10.7,1,9.34579439252337,"Livingston","Livingston County","New York"
"36055",2020,"S2201_C04_001","Percent of Households Receiving SNAP",14.6,0.5,3.42465753424658,"Monroe","Monroe County","New York"
"36069",2020,"S2201_C04_001","Percent of Households Receiving SNAP",9.6,0.9,9.375,"Ontario","Ontario County","New York"
"36073",2020,"S2201_C04_001","Percent of Households Receiving SNAP",14.8,1.9,12.8378378378378,"Orleans","Orleans County","New York"
"36099",2020,"S2201_C04_001","Percent of Households Receiving SNAP",10.1,1.6,15.8415841584158,"Seneca","Seneca County","New York"
"36117",2020,"S2201_C04_001","Percent of Households Receiving SNAP",10.2,1,9.80392156862745,"Wayne","Wayne County","New York"
"36123",2020,"S2201_C04_001","Percent of Households Receiving SNAP",9.9,2.1,21.2121212121212,"Yates","Yates County","New York"
"36037",2021,"S2201_C04_001","Percent of Households Receiving SNAP",12.5,1.3,10.4,"Genesee","Genesee County","New York"
"36051",2021,"S2201_C04_001","Percent of Households Receiving SNAP",9.6,1.1,11.4583333333333,"Livingston","Livingston County","New York"
"36055",2021,"S2201_C04_001","Percent of Households Receiving SNAP",14.4,0.4,2.77777777777778,"Monroe","Monroe County","New York"
"36069",2021,"S2201_C04_001","Percent of Households Receiving SNAP",8.8,1,11.3636363636364,"Ontario","Ontario County","New York"
"36073",2021,"S2201_C04_001","Percent of Households Receiving SNAP",14.4,2,13.8888888888889,"Orleans","Orleans County","New York"
"36099",2021,"S2201_C04_001","Percent of Households Receiving SNAP",9.8,1.8,18.3673469387755,"Seneca","Seneca County","New York"
"36117",2021,"S2201_C04_001","Percent of Households Receiving SNAP",11,1,9.09090909090909,"Wayne","Wayne County","New York"
"36123",2021,"S2201_C04_001","Percent of Households Receiving SNAP",9.2,1.9,20.6521739130435,"Yates","Yates County","New York"
"36037",2022,"S2201_C04_001","Percent of Households Receiving SNAP",12.7,1.6,12.5984251968504,"Genesee","Genesee County","New York"
"36051",2022,"S2201_C04_001","Percent of Households Receiving SNAP",9.6,1.2,12.5,"Livingston","Livingston County","New York"
"36055",2022,"S2201_C04_001","Percent of Households Receiving SNAP",14.4,0.4,2.77777777777778,"Monroe","Monroe County","New York"
"36069",2022,"S2201_C04_001","Percent of Households Receiving SNAP",8.6,0.9,10.4651162790698,"Ontario","Ontario County","New York"
"36073",2022,"S2201_C04_001","Percent of Households Receiving SNAP",14.4,1.9,13.1944444444444,"Orleans","Orleans County","New York"
"36099",2022,"S2201_C04_001","Percent of Households Receiving SNAP",10.7,1.6,14.9532710280374,"Seneca","Seneca County","New York"
"36117",2022,"S2201_C04_001","Percent of Households Receiving SNAP",10.7,1.2,11.214953271028,"Wayne","Wayne County","New York"
"36123",2022,"S2201_C04_001","Percent of Households Receiving SNAP",9.9,2,20.2020202020202,"Yates","Yates County","New York"
"36037",2023,"S2201_C04_001","Percent of Households Receiving SNAP",12.8,1.8,14.0625,"Genesee","Genesee County","New York"
"36051",2023,"S2201_C04_001","Percent of Households Receiving SNAP",10,1.1,11,"Livingston","Livingston County","New York"
"36055",2023,"S2201_C04_001","Percent of Households Receiving SNAP",14.8,0.4,2.7027027027027,"Monroe","Monroe County","New York"
"36069",2023,"S2201_C04_001","Percent of Households Receiving SNAP",8.7,1,11.4942528735632,"Ontario","Ontario County","New York"
"36073",2023,"S2201_C04_001","Percent of Households Receiving SNAP",14.4,2.1,14.5833333333333,"Orleans","Orleans County","New York"
"36099",2023,"S2201_C04_001","Percent of Households Receiving SNAP",11.2,1.8,16.0714285714286,"Seneca","Seneca County","New York"
"36117",2023,"S2201_C04_001","Percent of Households Receiving SNAP",11,1,9.09090909090909,"Wayne","Wayne County","New York"
"36123",2023,"S2201_C04_001","Percent of Households Receiving SNAP",10.7,2,18.6915887850467,"Yates","Yates County","New York"
"36037",2024,"S2201_C04_001","Percent of Households Receiving SNAP",13.6,1.8,13.2352941176471,"Genesee","Genesee County","New York"
"36051",2024,"S2201_C04_001","Percent of Households Receiving SNAP",10.4,1.4,13.4615384615385,"Livingston","Livingston County","New York"
"36055",2024,"S2201_C04_001","Percent of Households Receiving SNAP",15,0.5,3.33333333333333,"Monroe","Monroe County","New York"
"36069",2024,"S2201_C04_001","Percent of Households Receiving SNAP",8.6,0.8,9.30232558139535,"Ontario","Ontario County","New York"
"36073",2024,"S2201_C04_001","Percent of Households Receiving SNAP",15.4,2.2,14.2857142857143,"Orleans","Orleans County","New York"
"36099",2024,"S2201_C04_001","Percent of Households Receiving SNAP",12,1.9,15.8333333333333,"Seneca","Seneca County","New York"
"36117",2024,"S2201_C04_001","Percent of Households Receiving SNAP",11.4,1.4,12.280701754386,"Wayne","Wayne County","New York"
"36123",2024,"S2201_C04_001","Percent of Households Receiving SNAP",10.7,1.9,17.7570093457944,"Yates","Yates County","New York"
