"GEOID","year","variable","Variable_Description","estimate","moe","moe_pct_of_estimate","County","Geography","State"
"3603700474",2017,"S2201_C04_001","Percent of Households Receiving SNAP",7.6,3.6,47.3684210526316,"Genesee","Alabama town","New York"
"3603701165",2017,"S2201_C04_001","Percent of Households Receiving SNAP",9.8,4.3,43.8775510204082,"Genesee","Alexander town","New York"
"3603704715",2017,"S2201_C04_001","Percent of Households Receiving SNAP",22.6,3.2,14.1592920353982,"Genesee","Batavia city","New York"
"3603704726",2017,"S2201_C04_001","Percent of Households Receiving SNAP",6.3,2.6,41.2698412698413,"Genesee","Batavia town","New York"
"3603706057",2017,"S2201_C04_001","Percent of Households Receiving SNAP",14.2,7.3,51.4084507042254,"Genesee","Bergen town","New York"
"3603706266",2017,"S2201_C04_001","Percent of Households Receiving SNAP",8.1,4.7,58.0246913580247,"Genesee","Bethany town","New York"
"3603711572",2017,"S2201_C04_001","Percent of Households Receiving SNAP",7.1,4.1,57.7464788732394,"Genesee","Byron town","New York"
"3603719719",2017,"S2201_C04_001","Percent of Households Receiving SNAP",6.4,3.3,51.5625,"Genesee","Darien town","New York"
"3603723756",2017,"S2201_C04_001","Percent of Households Receiving SNAP",10,5.3,53,"Genesee","Elba town","New York"
"3603742037",2017,"S2201_C04_001","Percent of Households Receiving SNAP",11.7,3.9,33.3333333333333,"Genesee","Le Roy town","New York"
"3603754166",2017,"S2201_C04_001","Percent of Households Receiving SNAP",9.8,5.6,57.1428571428571,"Genesee","Oakfield town","New York"
"3603756792",2017,"S2201_C04_001","Percent of Households Receiving SNAP",5.2,2.2,42.3076923076923,"Genesee","Pavilion town","New York"
"3603757078",2017,"S2201_C04_001","Percent of Households Receiving SNAP",7.3,3.7,50.6849315068493,"Genesee","Pembroke town","New York"
"3603770607",2017,"S2201_C04_001","Percent of Households Receiving SNAP",9,4.5,50,"Genesee","Stafford town","New York"
"3603775011",2017,"S2201_C04_001","Percent of Households Receiving SNAP",11.1,6.6,59.4594594594595,"Genesee","Tonawanda Reservation","New York"
"3605103364",2017,"S2201_C04_001","Percent of Households Receiving SNAP",11.9,3.7,31.0924369747899,"Livingston","Avon town","New York"
"3605111715",2017,"S2201_C04_001","Percent of Households Receiving SNAP",7.6,3,39.4736842105263,"Livingston","Caledonia town","New York"
"3605117618",2017,"S2201_C04_001","Percent of Households Receiving SNAP",8.8,3.8,43.1818181818182,"Livingston","Conesus town","New York"
"3605128629",2017,"S2201_C04_001","Percent of Households Receiving SNAP",10.7,3.2,29.9065420560748,"Livingston","Geneseo town","New York"
"3605131016",2017,"S2201_C04_001","Percent of Households Receiving SNAP",10.9,5.1,46.7889908256881,"Livingston","Groveland town","New York"
"3605141883",2017,"S2201_C04_001","Percent of Households Receiving SNAP",12.3,5.5,44.7154471544715,"Livingston","Leicester town","New York"
"3605142334",2017,"S2201_C04_001","Percent of Households Receiving SNAP",8.2,2.7,32.9268292682927,"Livingston","Lima town","New York"
"3605142961",2017,"S2201_C04_001","Percent of Households Receiving SNAP",11.8,5.1,43.2203389830508,"Livingston","Livonia town","New York"
"3605148956",2017,"S2201_C04_001","Percent of Households Receiving SNAP",20,5.6,28,"Livingston","Mount Morris town","New York"
"3605151869",2017,"S2201_C04_001","Percent of Households Receiving SNAP",31.1,8.4,27.0096463022508,"Livingston","North Dansville town","New York"
"3605154089",2017,"S2201_C04_001","Percent of Households Receiving SNAP",13.5,4.4,32.5925925925926,"Livingston","Nunda town","New York"
"3605155508",2017,"S2201_C04_001","Percent of Households Receiving SNAP",4.4,3.8,86.3636363636364,"Livingston","Ossian town","New York"
"3605159179",2017,"S2201_C04_001","Percent of Households Receiving SNAP",21.1,6.4,30.3317535545024,"Livingston","Portage town","New York"
"3605170101",2017,"S2201_C04_001","Percent of Households Receiving SNAP",8,3.3,41.25,"Livingston","Sparta town","New York"
"3605170475",2017,"S2201_C04_001","Percent of Households Receiving SNAP",12.8,5.2,40.625,"Livingston","Springwater town","New York"
"3605181006",2017,"S2201_C04_001","Percent of Households Receiving SNAP",15.2,6.1,40.1315789473684,"Livingston","West Sparta town","New York"
"3605184022",2017,"S2201_C04_001","Percent of Households Receiving SNAP",9,5.9,65.5555555555556,"Livingston","York town","New York"
"3605500000",2017,"S2201_C04_001","Percent of Households Receiving SNAP",NA,0,NA,"Monroe","County subdivisions not defined","New York"
"3605508246",2017,"S2201_C04_001","Percent of Households Receiving SNAP",4.5,1.2,26.6666666666667,"Monroe","Brighton town","New York"
"3605515462",2017,"S2201_C04_001","Percent of Households Receiving SNAP",6.6,1.6,24.2424242424242,"Monroe","Chili town","New York"
"3605515957",2017,"S2201_C04_001","Percent of Households Receiving SNAP",7.9,3.6,45.5696202531646,"Monroe","Clarkson town","New York"
"3605522870",2017,"S2201_C04_001","Percent of Households Receiving SNAP",11.1,4.4,39.6396396396396,"Monroe","East Rochester town","New York"
"3605528442",2017,"S2201_C04_001","Percent of Households Receiving SNAP",10.3,1.8,17.4757281553398,"Monroe","Gates town","New York"
"3605530290",2017,"S2201_C04_001","Percent of Households Receiving SNAP",9.4,1,10.6382978723404,"Monroe","Greece town","New York"
"3605531797",2017,"S2201_C04_001","Percent of Households Receiving SNAP",8.1,2.8,34.5679012345679,"Monroe","Hamlin town","New York"
"3605534099",2017,"S2201_C04_001","Percent of Households Receiving SNAP",9.3,1.8,19.3548387096774,"Monroe","Henrietta town","New York"
"3605537726",2017,"S2201_C04_001","Percent of Households Receiving SNAP",9.7,1.5,15.4639175257732,"Monroe","Irondequoit town","New York"
"3605546558",2017,"S2201_C04_001","Percent of Households Receiving SNAP",1.8,1.1,61.1111111111111,"Monroe","Mendon town","New York"
"3605554474",2017,"S2201_C04_001","Percent of Households Receiving SNAP",6.6,1.9,28.7878787878788,"Monroe","Ogden town","New York"
"3605556561",2017,"S2201_C04_001","Percent of Households Receiving SNAP",5.4,2.2,40.7407407407407,"Monroe","Parma town","New York"
"3605557144",2017,"S2201_C04_001","Percent of Households Receiving SNAP",3.3,0.9,27.2727272727273,"Monroe","Penfield town","New York"
"3605557221",2017,"S2201_C04_001","Percent of Households Receiving SNAP",5.3,1.1,20.7547169811321,"Monroe","Perinton town","New York"
"3605558365",2017,"S2201_C04_001","Percent of Households Receiving SNAP",1.2,0.6,50,"Monroe","Pittsford town","New York"
"3605561808",2017,"S2201_C04_001","Percent of Households Receiving SNAP",6.7,3.4,50.7462686567164,"Monroe","Riga town","New York"
"3605563000",2017,"S2201_C04_001","Percent of Households Receiving SNAP",34.9,0.8,2.29226361031519,"Monroe","Rochester city","New York"
"3605564144",2017,"S2201_C04_001","Percent of Households Receiving SNAP",7.5,4.3,57.3333333333333,"Monroe","Rush town","New York"
"3605572455",2017,"S2201_C04_001","Percent of Households Receiving SNAP",10.1,2,19.8019801980198,"Monroe","Sweden town","New York"
"3605578971",2017,"S2201_C04_001","Percent of Households Receiving SNAP",5.7,1.1,19.2982456140351,"Monroe","Webster town","New York"
"3605581402",2017,"S2201_C04_001","Percent of Households Receiving SNAP",8.1,3.7,45.679012345679,"Monroe","Wheatland town","New York"
"3606908378",2017,"S2201_C04_001","Percent of Households Receiving SNAP",3.6,2.2,61.1111111111111,"Ontario","Bristol town","New York"
"3606912100",2017,"S2201_C04_001","Percent of Households Receiving SNAP",6,2.5,41.6666666666667,"Ontario","Canadice town","New York"
"3606912144",2017,"S2201_C04_001","Percent of Households Receiving SNAP",13,2.2,16.9230769230769,"Ontario","Canandaigua city","New York"
"3606912155",2017,"S2201_C04_001","Percent of Households Receiving SNAP",6.1,2.2,36.0655737704918,"Ontario","Canandaigua town","New York"
"3606921699",2017,"S2201_C04_001","Percent of Households Receiving SNAP",7.9,3.5,44.3037974683544,"Ontario","East Bloomfield town","New York"
"3606925406",2017,"S2201_C04_001","Percent of Households Receiving SNAP",7.4,2.9,39.1891891891892,"Ontario","Farmington town","New York"
"3606928640",2017,"S2201_C04_001","Percent of Households Receiving SNAP",22.8,3.6,15.7894736842105,"Ontario","Geneva city","New York"
"3606928651",2017,"S2201_C04_001","Percent of Households Receiving SNAP",13.6,5.3,38.9705882352941,"Ontario","Geneva town","New York"
"3606929531",2017,"S2201_C04_001","Percent of Households Receiving SNAP",6.4,3.3,51.5625,"Ontario","Gorham town","New York"
