"GEOID","year","variable","Variable_Description","estimate","moe","moe_pct_of_estimate","County","Geography","State"
"36037",2017,"S2801_C02_012","Percent of Households with an Internet Subscription",76,1.6,2.10526315789474,"Genesee","Genesee County","New York"
"36051",2017,"S2801_C02_012","Percent of Households with an Internet Subscription",79.5,1.3,1.63522012578616,"Livingston","Livingston County","New York"
"36055",2017,"S2801_C02_012","Percent of Households with an Internet Subscription",79.9,0.4,0.500625782227785,"Monroe","Monroe County","New York"
"36069",2017,"S2801_C02_012","Percent of Households with an Internet Subscription",81.2,1.3,1.60098522167488,"Ontario","Ontario County","New York"
"36073",2017,"S2801_C02_012","Percent of Households with an Internet Subscription",75.4,2.3,3.05039787798408,"Orleans","Orleans County","New York"
"36099",2017,"S2801_C02_012","Percent of Households with an Internet Subscription",76.4,1.7,2.22513089005236,"Seneca","Seneca County","New York"
"36117",2017,"S2801_C02_012","Percent of Households with an Internet Subscription",73.9,1.5,2.0297699594046,"Wayne","Wayne County","New York"
"36123",2017,"S2801_C02_012","Percent of Households with an Internet Subscription",70.6,2.5,3.54107648725212,"Yates","Yates County","New York"
"36037",2018,"S2801_C02_012","Percent of Households with an Internet Subscription",79,1.3,1.64556962025316,"Genesee","Genesee County","New York"
"36051",2018,"S2801_C02_012","Percent of Households with an Internet Subscription",81.7,1.3,1.59118727050184,"Livingston","Livingston County","New York"
"36055",2018,"S2801_C02_012","Percent of Households with an Internet Subscription",82.2,0.4,0.48661800486618,"Monroe","Monroe County","New York"
"36069",2018,"S2801_C02_012","Percent of Households with an Internet Subscription",83.4,1.1,1.3189448441247,"Ontario","Ontario County","New York"
"36073",2018,"S2801_C02_012","Percent of Households with an Internet Subscription",78.7,2,2.54129606099111,"Orleans","Orleans County","New York"
"36099",2018,"S2801_C02_012","Percent of Households with an Internet Subscription",77.8,1.5,1.9280205655527,"Seneca","Seneca County","New York"
"36117",2018,"S2801_C02_012","Percent of Households with an Internet Subscription",77.3,1.3,1.68175937904269,"Wayne","Wayne County","New York"
"36123",2018,"S2801_C02_012","Percent of Households with an Internet Subscription",72.4,2.7,3.7292817679558,"Yates","Yates County","New York"
"36037",2019,"S2801_C02_012","Percent of Households with an Internet Subscription",81,1.6,1.97530864197531,"Genesee","Genesee County","New York"
"36051",2019,"S2801_C02_012","Percent of Households with an Internet Subscription",84.2,1.2,1.42517814726841,"Livingston","Livingston County","New York"
"36055",2019,"S2801_C02_012","Percent of Households with an Internet Subscription",84.5,0.4,0.473372781065089,"Monroe","Monroe County","New York"
"36069",2019,"S2801_C02_012","Percent of Households with an Internet Subscription",85.3,1.1,1.28956623681125,"Ontario","Ontario County","New York"
"36073",2019,"S2801_C02_012","Percent of Households with an Internet Subscription",81.4,1.9,2.33415233415233,"Orleans","Orleans County","New York"
"36099",2019,"S2801_C02_012","Percent of Households with an Internet Subscription",80.1,1.6,1.99750312109863,"Seneca","Seneca County","New York"
"36117",2019,"S2801_C02_012","Percent of Households with an Internet Subscription",81.5,1.2,1.47239263803681,"Wayne","Wayne County","New York"
"36123",2019,"S2801_C02_012","Percent of Households with an Internet Subscription",75.9,2.3,3.03030303030303,"Yates","Yates County","New York"
"36037",2020,"S2801_C02_012","Percent of Households with an Internet Subscription",83,2,2.40963855421687,"Genesee","Genesee County","New York"
"36051",2020,"S2801_C02_012","Percent of Households with an Internet Subscription",85.5,1.3,1.52046783625731,"Livingston","Livingston County","New York"
"36055",2020,"S2801_C02_012","Percent of Households with an Internet Subscription",86.5,0.4,0.46242774566474,"Monroe","Monroe County","New York"
"36069",2020,"S2801_C02_012","Percent of Households with an Internet Subscription",87,1.1,1.26436781609195,"Ontario","Ontario County","New York"
"36073",2020,"S2801_C02_012","Percent of Households with an Internet Subscription",82.5,2.3,2.78787878787879,"Orleans","Orleans County","New York"
"36099",2020,"S2801_C02_012","Percent of Households with an Internet Subscription",82.3,1.9,2.3086269744836,"Seneca","Seneca County","New York"
"36117",2020,"S2801_C02_012","Percent of Households with an Internet Subscription",85.1,1.5,1.76263219741481,"Wayne","Wayne County","New York"
"36123",2020,"S2801_C02_012","Percent of Households with an Internet Subscription",74.9,2.9,3.87182910547397,"Yates","Yates County","New York"
"36037",2021,"S2801_C02_012","Percent of Households with an Internet Subscription",86.1,1.5,1.74216027874564,"Genesee","Genesee County","New York"
"36051",2021,"S2801_C02_012","Percent of Households with an Internet Subscription",86.9,1.6,1.84119677790564,"Livingston","Livingston County","New York"
"36055",2021,"S2801_C02_012","Percent of Households with an Internet Subscription",87.7,0.5,0.570125427594071,"Monroe","Monroe County","New York"
"36069",2021,"S2801_C02_012","Percent of Households with an Internet Subscription",88.2,0.9,1.02040816326531,"Ontario","Ontario County","New York"
"36073",2021,"S2801_C02_012","Percent of Households with an Internet Subscription",83.8,2.2,2.62529832935561,"Orleans","Orleans County","New York"
"36099",2021,"S2801_C02_012","Percent of Households with an Internet Subscription",83.7,1.9,2.2700119474313,"Seneca","Seneca County","New York"
"36117",2021,"S2801_C02_012","Percent of Households with an Internet Subscription",86.3,1.1,1.27462340672074,"Wayne","Wayne County","New York"
"36123",2021,"S2801_C02_012","Percent of Households with an Internet Subscription",77.2,2.7,3.49740932642487,"Yates","Yates County","New York"
"36037",2022,"S2801_C02_012","Percent of Households with an Internet Subscription",88,1.6,1.81818181818182,"Genesee","Genesee County","New York"
"36051",2022,"S2801_C02_012","Percent of Households with an Internet Subscription",87.5,1.5,1.71428571428571,"Livingston","Livingston County","New York"
"36055",2022,"S2801_C02_012","Percent of Households with an Internet Subscription",88.6,0.4,0.451467268623025,"Monroe","Monroe County","New York"
"36069",2022,"S2801_C02_012","Percent of Households with an Internet Subscription",89.7,0.9,1.00334448160535,"Ontario","Ontario County","New York"
"36073",2022,"S2801_C02_012","Percent of Households with an Internet Subscription",86,2.1,2.44186046511628,"Orleans","Orleans County","New York"
"36099",2022,"S2801_C02_012","Percent of Households with an Internet Subscription",83.9,1.9,2.26460071513707,"Seneca","Seneca County","New York"
"36117",2022,"S2801_C02_012","Percent of Households with an Internet Subscription",87.1,1.4,1.60734787600459,"Wayne","Wayne County","New York"
"36123",2022,"S2801_C02_012","Percent of Households with an Internet Subscription",77.6,2.9,3.73711340206186,"Yates","Yates County","New York"
"36037",2023,"S2801_C02_012","Percent of Households with an Internet Subscription",89,1.7,1.91011235955056,"Genesee","Genesee County","New York"
"36051",2023,"S2801_C02_012","Percent of Households with an Internet Subscription",88.1,1.4,1.58910329171396,"Livingston","Livingston County","New York"
"36055",2023,"S2801_C02_012","Percent of Households with an Internet Subscription",89.5,0.4,0.446927374301676,"Monroe","Monroe County","New York"
"36069",2023,"S2801_C02_012","Percent of Households with an Internet Subscription",90.6,0.8,0.883002207505519,"Ontario","Ontario County","New York"
"36073",2023,"S2801_C02_012","Percent of Households with an Internet Subscription",87.1,1.8,2.06659012629162,"Orleans","Orleans County","New York"
"36099",2023,"S2801_C02_012","Percent of Households with an Internet Subscription",84.8,2,2.35849056603774,"Seneca","Seneca County","New York"
"36117",2023,"S2801_C02_012","Percent of Households with an Internet Subscription",88.4,1.3,1.47058823529412,"Wayne","Wayne County","New York"
"36123",2023,"S2801_C02_012","Percent of Households with an Internet Subscription",78.6,2.3,2.92620865139949,"Yates","Yates County","New York"
"36037",2024,"S2801_C02_012","Percent of Households with an Internet Subscription",90.4,1.4,1.54867256637168,"Genesee","Genesee County","New York"
