"GEOID","year","variable","Variable_Description","estimate","moe","moe_pct_of_estimate","County","Geography","State"
"3603700474",2017,"S2801_C02_012","Percent of Households with an Internet Subscription",72.8,6,8.24175824175824,"Genesee","Alabama town","New York"
"3603701165",2017,"S2801_C02_012","Percent of Households with an Internet Subscription",74.1,5.9,7.96221322537112,"Genesee","Alexander town","New York"
"3603704715",2017,"S2801_C02_012","Percent of Households with an Internet Subscription",72.3,3.3,4.5643153526971,"Genesee","Batavia city","New York"
"3603704726",2017,"S2801_C02_012","Percent of Households with an Internet Subscription",75.7,7.5,9.90752972258917,"Genesee","Batavia town","New York"
"3603706057",2017,"S2801_C02_012","Percent of Households with an Internet Subscription",82.1,6.6,8.03897685749087,"Genesee","Bergen town","New York"
"3603706266",2017,"S2801_C02_012","Percent of Households with an Internet Subscription",70.8,6.4,9.03954802259887,"Genesee","Bethany town","New York"
"3603711572",2017,"S2801_C02_012","Percent of Households with an Internet Subscription",76.7,6.1,7.95306388526727,"Genesee","Byron town","New York"
"3603719719",2017,"S2801_C02_012","Percent of Households with an Internet Subscription",82.6,5.5,6.65859564164649,"Genesee","Darien town","New York"
"3603723756",2017,"S2801_C02_012","Percent of Households with an Internet Subscription",80,5.8,7.25,"Genesee","Elba town","New York"
"3603742037",2017,"S2801_C02_012","Percent of Households with an Internet Subscription",76.3,4.5,5.89777195281783,"Genesee","Le Roy town","New York"
"3603754166",2017,"S2801_C02_012","Percent of Households with an Internet Subscription",82.7,4.1,4.95767835550181,"Genesee","Oakfield town","New York"
"3603756792",2017,"S2801_C02_012","Percent of Households with an Internet Subscription",75.8,5.6,7.38786279683377,"Genesee","Pavilion town","New York"
"3603757078",2017,"S2801_C02_012","Percent of Households with an Internet Subscription",79.6,6.1,7.66331658291457,"Genesee","Pembroke town","New York"
"3603770607",2017,"S2801_C02_012","Percent of Households with an Internet Subscription",77.3,5,6.46830530401035,"Genesee","Stafford town","New York"
"3603775011",2017,"S2801_C02_012","Percent of Households with an Internet Subscription",66.4,10,15.0602409638554,"Genesee","Tonawanda Reservation","New York"
"3605103364",2017,"S2801_C02_012","Percent of Households with an Internet Subscription",84.3,4.6,5.45670225385528,"Livingston","Avon town","New York"
"3605111715",2017,"S2801_C02_012","Percent of Households with an Internet Subscription",80.3,4.6,5.72851805728518,"Livingston","Caledonia town","New York"
"3605117618",2017,"S2801_C02_012","Percent of Households with an Internet Subscription",80.2,6,7.48129675810474,"Livingston","Conesus town","New York"
"3605128629",2017,"S2801_C02_012","Percent of Households with an Internet Subscription",83.5,5.1,6.10778443113772,"Livingston","Geneseo town","New York"
"3605131016",2017,"S2801_C02_012","Percent of Households with an Internet Subscription",77.3,6.5,8.40879689521345,"Livingston","Groveland town","New York"
"3605141883",2017,"S2801_C02_012","Percent of Households with an Internet Subscription",72.9,6.5,8.91632373113855,"Livingston","Leicester town","New York"
"3605142334",2017,"S2801_C02_012","Percent of Households with an Internet Subscription",78.1,4.8,6.14596670934699,"Livingston","Lima town","New York"
"3605142961",2017,"S2801_C02_012","Percent of Households with an Internet Subscription",90.7,3.9,4.29988974641676,"Livingston","Livonia town","New York"
"3605148956",2017,"S2801_C02_012","Percent of Households with an Internet Subscription",69.1,8.3,12.0115774240232,"Livingston","Mount Morris town","New York"
"3605151869",2017,"S2801_C02_012","Percent of Households with an Internet Subscription",71.4,6.7,9.38375350140056,"Livingston","North Dansville town","New York"
"3605154089",2017,"S2801_C02_012","Percent of Households with an Internet Subscription",71.6,6.3,8.79888268156425,"Livingston","Nunda town","New York"
"3605155508",2017,"S2801_C02_012","Percent of Households with an Internet Subscription",77.7,7.6,9.78120978120978,"Livingston","Ossian town","New York"
"3605159179",2017,"S2801_C02_012","Percent of Households with an Internet Subscription",64.7,9,13.9103554868624,"Livingston","Portage town","New York"
"3605170101",2017,"S2801_C02_012","Percent of Households with an Internet Subscription",77.9,4.4,5.64826700898588,"Livingston","Sparta town","New York"
"3605170475",2017,"S2801_C02_012","Percent of Households with an Internet Subscription",80.6,4.9,6.07940446650124,"Livingston","Springwater town","New York"
"3605181006",2017,"S2801_C02_012","Percent of Households with an Internet Subscription",70.6,7.2,10.1983002832861,"Livingston","West Sparta town","New York"
"3605184022",2017,"S2801_C02_012","Percent of Households with an Internet Subscription",83,5.9,7.10843373493976,"Livingston","York town","New York"
"3605500000",2017,"S2801_C02_012","Percent of Households with an Internet Subscription",NA,0,NA,"Monroe","County subdivisions not defined","New York"
"3605508246",2017,"S2801_C02_012","Percent of Households with an Internet Subscription",84.4,2.1,2.48815165876777,"Monroe","Brighton town","New York"
