"GEOID","year","variable","Variable_Description","estimate","moe","moe_pct_of_estimate","County","Geography","State"
"36037",2015,"DP04_0003P","Percent of Housing Units Vacant",6.6,0.9,13.6363636363636,"Genesee","Genesee County","New York"
"36051",2015,"DP04_0003P","Percent of Housing Units Vacant",11.1,1.2,10.8108108108108,"Livingston","Livingston County","New York"
"36055",2015,"DP04_0003P","Percent of Housing Units Vacant",7.3,0.3,4.10958904109589,"Monroe","Monroe County","New York"
"36069",2015,"DP04_0003P","Percent of Housing Units Vacant",10.5,1,9.52380952380952,"Ontario","Ontario County","New York"
"36073",2015,"DP04_0003P","Percent of Housing Units Vacant",13.4,1.8,13.4328358208955,"Orleans","Orleans County","New York"
"36099",2015,"DP04_0003P","Percent of Housing Units Vacant",16.1,1.4,8.69565217391304,"Seneca","Seneca County","New York"
"36117",2015,"DP04_0003P","Percent of Housing Units Vacant",11.9,1,8.40336134453781,"Wayne","Wayne County","New York"
"36123",2015,"DP04_0003P","Percent of Housing Units Vacant",29,2,6.89655172413793,"Yates","Yates County","New York"
"36037",2016,"DP04_0003P","Percent of Housing Units Vacant",7.1,1.1,15.4929577464789,"Genesee","Genesee County","New York"
"36051",2016,"DP04_0003P","Percent of Housing Units Vacant",11.3,1.3,11.5044247787611,"Livingston","Livingston County","New York"
"36055",2016,"DP04_0003P","Percent of Housing Units Vacant",7.4,0.4,5.40540540540541,"Monroe","Monroe County","New York"
"36069",2016,"DP04_0003P","Percent of Housing Units Vacant",11.1,0.8,7.20720720720721,"Ontario","Ontario County","New York"
"36073",2016,"DP04_0003P","Percent of Housing Units Vacant",12.8,1.7,13.28125,"Orleans","Orleans County","New York"
"36099",2016,"DP04_0003P","Percent of Housing Units Vacant",15.8,1.4,8.86075949367089,"Seneca","Seneca County","New York"
"36117",2016,"DP04_0003P","Percent of Housing Units Vacant",11.7,1,8.54700854700855,"Wayne","Wayne County","New York"
"36123",2016,"DP04_0003P","Percent of Housing Units Vacant",30.6,1.8,5.88235294117647,"Yates","Yates County","New York"
"36037",2017,"DP04_0003P","Percent of Housing Units Vacant",6.8,1,14.7058823529412,"Genesee","Genesee County","New York"
"36051",2017,"DP04_0003P","Percent of Housing Units Vacant",10.9,1.3,11.9266055045872,"Livingston","Livingston County","New York"
"36055",2017,"DP04_0003P","Percent of Housing Units Vacant",7.8,0.4,5.12820512820513,"Monroe","Monroe County","New York"
"36069",2017,"DP04_0003P","Percent of Housing Units Vacant",11.6,0.9,7.75862068965517,"Ontario","Ontario County","New York"
"36073",2017,"DP04_0003P","Percent of Housing Units Vacant",12.5,1.6,12.8,"Orleans","Orleans County","New York"
"36099",2017,"DP04_0003P","Percent of Housing Units Vacant",16.9,1.5,8.87573964497042,"Seneca","Seneca County","New York"
"36117",2017,"DP04_0003P","Percent of Housing Units Vacant",12,1,8.33333333333333,"Wayne","Wayne County","New York"
"36123",2017,"DP04_0003P","Percent of Housing Units Vacant",32.2,2.3,7.14285714285714,"Yates","Yates County","New York"
"36037",2018,"DP04_0003P","Percent of Housing Units Vacant",8,1.3,16.25,"Genesee","Genesee County","New York"
"36051",2018,"DP04_0003P","Percent of Housing Units Vacant",11.2,1.2,10.7142857142857,"Livingston","Livingston County","New York"
"36055",2018,"DP04_0003P","Percent of Housing Units Vacant",8,0.4,5,"Monroe","Monroe County","New York"
