"GEOID","year","variable","Variable_Description","estimate","moe","moe_pct_of_estimate","County","Geography","State"
"3603700474",2015,"DP04_0003P","Percent of Housing Units Vacant",7.8,3.9,50,"Genesee","Alabama town","New York"
"3603701165",2015,"DP04_0003P","Percent of Housing Units Vacant",1.3,1.2,92.3076923076923,"Genesee","Alexander town","New York"
"3603704715",2015,"DP04_0003P","Percent of Housing Units Vacant",7.2,2.1,29.1666666666667,"Genesee","Batavia city","New York"
"3603704726",2015,"DP04_0003P","Percent of Housing Units Vacant",3.3,3,90.9090909090909,"Genesee","Batavia town","New York"
"3603706057",2015,"DP04_0003P","Percent of Housing Units Vacant",2.6,1.8,69.2307692307692,"Genesee","Bergen town","New York"
"3603706266",2015,"DP04_0003P","Percent of Housing Units Vacant",6.4,3.3,51.5625,"Genesee","Bethany town","New York"
"3603711572",2015,"DP04_0003P","Percent of Housing Units Vacant",4.8,3.5,72.9166666666667,"Genesee","Byron town","New York"
"3603719719",2015,"DP04_0003P","Percent of Housing Units Vacant",6.3,3.7,58.7301587301587,"Genesee","Darien town","New York"
"3603723756",2015,"DP04_0003P","Percent of Housing Units Vacant",8.4,4.8,57.1428571428571,"Genesee","Elba town","New York"
"3603742037",2015,"DP04_0003P","Percent of Housing Units Vacant",5.6,3.5,62.5,"Genesee","Le Roy town","New York"
"3603754166",2015,"DP04_0003P","Percent of Housing Units Vacant",6,2.5,41.6666666666667,"Genesee","Oakfield town","New York"
"3603756792",2015,"DP04_0003P","Percent of Housing Units Vacant",2.5,2.6,104,"Genesee","Pavilion town","New York"
"3603757078",2015,"DP04_0003P","Percent of Housing Units Vacant",14.4,6.3,43.75,"Genesee","Pembroke town","New York"
"3603770607",2015,"DP04_0003P","Percent of Housing Units Vacant",16.4,5.6,34.1463414634146,"Genesee","Stafford town","New York"
"3603775011",2015,"DP04_0003P","Percent of Housing Units Vacant",0.4,0.6,150,"Genesee","Tonawanda Reservation","New York"
"3605103364",2015,"DP04_0003P","Percent of Housing Units Vacant",4.2,3.3,78.5714285714286,"Livingston","Avon town","New York"
"3605111715",2015,"DP04_0003P","Percent of Housing Units Vacant",4.8,3.4,70.8333333333333,"Livingston","Caledonia town","New York"
"3605117618",2015,"DP04_0003P","Percent of Housing Units Vacant",27.2,5.8,21.3235294117647,"Livingston","Conesus town","New York"
"3605128629",2015,"DP04_0003P","Percent of Housing Units Vacant",10.8,4.7,43.5185185185185,"Livingston","Geneseo town","New York"
"3605131016",2015,"DP04_0003P","Percent of Housing Units Vacant",25.4,6.8,26.7716535433071,"Livingston","Groveland town","New York"
"3605141883",2015,"DP04_0003P","Percent of Housing Units Vacant",5.1,2.4,47.0588235294118,"Livingston","Leicester town","New York"
"3605142334",2015,"DP04_0003P","Percent of Housing Units Vacant",6.2,3.7,59.6774193548387,"Livingston","Lima town","New York"
"3605142961",2015,"DP04_0003P","Percent of Housing Units Vacant",11.6,4.5,38.7931034482759,"Livingston","Livonia town","New York"
"3605148956",2015,"DP04_0003P","Percent of Housing Units Vacant",14.2,5.3,37.3239436619718,"Livingston","Mount Morris town","New York"
"3605151869",2015,"DP04_0003P","Percent of Housing Units Vacant",10.5,4.5,42.8571428571429,"Livingston","North Dansville town","New York"
"3605154089",2015,"DP04_0003P","Percent of Housing Units Vacant",7.5,3.6,48,"Livingston","Nunda town","New York"
"3605155508",2015,"DP04_0003P","Percent of Housing Units Vacant",24.8,7.8,31.4516129032258,"Livingston","Ossian town","New York"
"3605159179",2015,"DP04_0003P","Percent of Housing Units Vacant",16.7,7.2,43.1137724550898,"Livingston","Portage town","New York"
"3605170101",2015,"DP04_0003P","Percent of Housing Units Vacant",7.9,4.4,55.6962025316456,"Livingston","Sparta town","New York"
"3605170475",2015,"DP04_0003P","Percent of Housing Units Vacant",21.7,5.3,24.4239631336406,"Livingston","Springwater town","New York"
"3605181006",2015,"DP04_0003P","Percent of Housing Units Vacant",18.3,6.6,36.0655737704918,"Livingston","West Sparta town","New York"
"3605184022",2015,"DP04_0003P","Percent of Housing Units Vacant",4.2,3.1,73.8095238095238,"Livingston","York town","New York"
"3605500000",2015,"DP04_0003P","Percent of Housing Units Vacant",NA,0,NA,"Monroe","County subdivisions not defined","New York"
