"GEOID","year","variable","Variable_Description","estimate","moe","moe_pct_of_estimate","County","Geography","State"
"36037",2015,"S2701_C05_001","Percent of Civilian Noninstitutionalized Population Uninsured",7.7,0.8,10.3896103896104,"Genesee","Genesee County","New York"
"36051",2015,"S2701_C05_001","Percent of Civilian Noninstitutionalized Population Uninsured",5.8,0.8,13.7931034482759,"Livingston","Livingston County","New York"
"36055",2015,"S2701_C05_001","Percent of Civilian Noninstitutionalized Population Uninsured",6.1,0.3,4.91803278688525,"Monroe","Monroe County","New York"
"36069",2015,"S2701_C05_001","Percent of Civilian Noninstitutionalized Population Uninsured",6.8,0.8,11.7647058823529,"Ontario","Ontario County","New York"
"36073",2015,"S2701_C05_001","Percent of Civilian Noninstitutionalized Population Uninsured",8.5,1.2,14.1176470588235,"Orleans","Orleans County","New York"
"36099",2015,"S2701_C05_001","Percent of Civilian Noninstitutionalized Population Uninsured",10.3,1.2,11.6504854368932,"Seneca","Seneca County","New York"
"36117",2015,"S2701_C05_001","Percent of Civilian Noninstitutionalized Population Uninsured",8.3,0.7,8.43373493975904,"Wayne","Wayne County","New York"
"36123",2015,"S2701_C05_001","Percent of Civilian Noninstitutionalized Population Uninsured",20.2,1.9,9.40594059405941,"Yates","Yates County","New York"
"36037",2016,"S2701_C05_001","Percent of Civilian Noninstitutionalized Population Uninsured",6.2,0.8,12.9032258064516,"Genesee","Genesee County","New York"
"36051",2016,"S2701_C05_001","Percent of Civilian Noninstitutionalized Population Uninsured",5.2,0.6,11.5384615384615,"Livingston","Livingston County","New York"
"36055",2016,"S2701_C05_001","Percent of Civilian Noninstitutionalized Population Uninsured",5.2,0.2,3.84615384615385,"Monroe","Monroe County","New York"
"36069",2016,"S2701_C05_001","Percent of Civilian Noninstitutionalized Population Uninsured",5.8,0.6,10.3448275862069,"Ontario","Ontario County","New York"
"36073",2016,"S2701_C05_001","Percent of Civilian Noninstitutionalized Population Uninsured",7.7,1.3,16.8831168831169,"Orleans","Orleans County","New York"
"36099",2016,"S2701_C05_001","Percent of Civilian Noninstitutionalized Population Uninsured",9.7,1.4,14.4329896907217,"Seneca","Seneca County","New York"
"36117",2016,"S2701_C05_001","Percent of Civilian Noninstitutionalized Population Uninsured",7,0.7,10,"Wayne","Wayne County","New York"
"36123",2016,"S2701_C05_001","Percent of Civilian Noninstitutionalized Population Uninsured",21.1,2.2,10.4265402843602,"Yates","Yates County","New York"
"36037",2017,"S2701_C05_001","Percent of Civilian Noninstitutionalized Population Uninsured",5.1,0.8,15.6862745098039,"Genesee","Genesee County","New York"
"36051",2017,"S2701_C05_001","Percent of Civilian Noninstitutionalized Population Uninsured",4.2,0.8,19.047619047619,"Livingston","Livingston County","New York"
"36055",2017,"S2701_C05_001","Percent of Civilian Noninstitutionalized Population Uninsured",4.5,0.2,4.44444444444444,"Monroe","Monroe County","New York"
"36069",2017,"S2701_C05_001","Percent of Civilian Noninstitutionalized Population Uninsured",5,0.6,12,"Ontario","Ontario County","New York"
"36073",2017,"S2701_C05_001","Percent of Civilian Noninstitutionalized Population Uninsured",6.4,1.1,17.1875,"Orleans","Orleans County","New York"
