"GEOID","year","variable","Variable_Description","estimate","moe","moe_pct_of_estimate","County","Geography","State"
"3603700474",2015,"S2701_C05_001","Percent of Civilian Noninstitutionalized Population Uninsured",8.3,2.6,31.3253012048193,"Genesee","Alabama town","New York"
"3603701165",2015,"S2701_C05_001","Percent of Civilian Noninstitutionalized Population Uninsured",5.4,2.2,40.7407407407407,"Genesee","Alexander town","New York"
"3603704715",2015,"S2701_C05_001","Percent of Civilian Noninstitutionalized Population Uninsured",7.3,1.4,19.1780821917808,"Genesee","Batavia city","New York"
"3603704726",2015,"S2701_C05_001","Percent of Civilian Noninstitutionalized Population Uninsured",11.3,3.5,30.9734513274336,"Genesee","Batavia town","New York"
"3603706057",2015,"S2701_C05_001","Percent of Civilian Noninstitutionalized Population Uninsured",7.2,3.3,45.8333333333333,"Genesee","Bergen town","New York"
"3603706266",2015,"S2701_C05_001","Percent of Civilian Noninstitutionalized Population Uninsured",9.5,3.7,38.9473684210526,"Genesee","Bethany town","New York"
"3603711572",2015,"S2701_C05_001","Percent of Civilian Noninstitutionalized Population Uninsured",8.7,4,45.9770114942529,"Genesee","Byron town","New York"
"3603719719",2015,"S2701_C05_001","Percent of Civilian Noninstitutionalized Population Uninsured",7.4,3.1,41.8918918918919,"Genesee","Darien town","New York"
"3603723756",2015,"S2701_C05_001","Percent of Civilian Noninstitutionalized Population Uninsured",10.9,6.6,60.5504587155963,"Genesee","Elba town","New York"
"3603742037",2015,"S2701_C05_001","Percent of Civilian Noninstitutionalized Population Uninsured",7.7,3.3,42.8571428571429,"Genesee","Le Roy town","New York"
"3603754166",2015,"S2701_C05_001","Percent of Civilian Noninstitutionalized Population Uninsured",7.4,2.8,37.8378378378378,"Genesee","Oakfield town","New York"
"3603756792",2015,"S2701_C05_001","Percent of Civilian Noninstitutionalized Population Uninsured",4.7,2.2,46.8085106382979,"Genesee","Pavilion town","New York"
"3603757078",2015,"S2701_C05_001","Percent of Civilian Noninstitutionalized Population Uninsured",4,2.2,55,"Genesee","Pembroke town","New York"
"3603770607",2015,"S2701_C05_001","Percent of Civilian Noninstitutionalized Population Uninsured",6.6,2.9,43.9393939393939,"Genesee","Stafford town","New York"
