"GEOID","year","variable","Variable_Description","estimate","moe","moe_pct_of_estimate","County","Geography","State"
"36037",2015,"DP04_0046P","Percent of Occupied Homes that are Owner-Occupied",73,1.5,2.05479452054794,"Genesee","Genesee County","New York"
"36051",2015,"DP04_0046P","Percent of Occupied Homes that are Owner-Occupied",72.7,1.4,1.92572214580468,"Livingston","Livingston County","New York"
"36055",2015,"DP04_0046P","Percent of Occupied Homes that are Owner-Occupied",64.2,0.4,0.623052959501558,"Monroe","Monroe County","New York"
"36069",2015,"DP04_0046P","Percent of Occupied Homes that are Owner-Occupied",72.8,1.2,1.64835164835165,"Ontario","Ontario County","New York"
"36073",2015,"DP04_0046P","Percent of Occupied Homes that are Owner-Occupied",75.6,1.9,2.51322751322751,"Orleans","Orleans County","New York"
"36099",2015,"DP04_0046P","Percent of Occupied Homes that are Owner-Occupied",72.3,2,2.76625172890733,"Seneca","Seneca County","New York"
"36117",2015,"DP04_0046P","Percent of Occupied Homes that are Owner-Occupied",77.6,1.2,1.54639175257732,"Wayne","Wayne County","New York"
"36123",2015,"DP04_0046P","Percent of Occupied Homes that are Owner-Occupied",76.6,2.8,3.65535248041775,"Yates","Yates County","New York"
"36037",2016,"DP04_0046P","Percent of Occupied Homes that are Owner-Occupied",73.3,1.1,1.50068212824011,"Genesee","Genesee County","New York"
"36051",2016,"DP04_0046P","Percent of Occupied Homes that are Owner-Occupied",73.3,1.7,2.31923601637108,"Livingston","Livingston County","New York"
"36055",2016,"DP04_0046P","Percent of Occupied Homes that are Owner-Occupied",63.8,0.4,0.626959247648903,"Monroe","Monroe County","New York"
"36069",2016,"DP04_0046P","Percent of Occupied Homes that are Owner-Occupied",72.6,1.2,1.65289256198347,"Ontario","Ontario County","New York"
"36073",2016,"DP04_0046P","Percent of Occupied Homes that are Owner-Occupied",75.5,2.1,2.78145695364238,"Orleans","Orleans County","New York"
"36099",2016,"DP04_0046P","Percent of Occupied Homes that are Owner-Occupied",72.6,2.1,2.89256198347107,"Seneca","Seneca County","New York"
"36117",2016,"DP04_0046P","Percent of Occupied Homes that are Owner-Occupied",76.7,1.1,1.43415906127771,"Wayne","Wayne County","New York"
