"GEOID","year","variable","Variable_Description","estimate","moe","moe_pct_of_estimate","County","Geography","State"
"3603700474",2015,"DP04_0046P","Percent of Occupied Homes that are Owner-Occupied",82.7,3.9,4.71584038694075,"Genesee","Alabama town","New York"
"3603701165",2015,"DP04_0046P","Percent of Occupied Homes that are Owner-Occupied",85.4,5.2,6.08899297423888,"Genesee","Alexander town","New York"
"3603704715",2015,"DP04_0046P","Percent of Occupied Homes that are Owner-Occupied",53,3.1,5.84905660377358,"Genesee","Batavia city","New York"
"3603704726",2015,"DP04_0046P","Percent of Occupied Homes that are Owner-Occupied",83.1,4.9,5.89651022864019,"Genesee","Batavia town","New York"
"3603706057",2015,"DP04_0046P","Percent of Occupied Homes that are Owner-Occupied",73.5,6.4,8.70748299319728,"Genesee","Bergen town","New York"
"3603706266",2015,"DP04_0046P","Percent of Occupied Homes that are Owner-Occupied",83,4.8,5.78313253012048,"Genesee","Bethany town","New York"
"3603711572",2015,"DP04_0046P","Percent of Occupied Homes that are Owner-Occupied",88,5.1,5.79545454545454,"Genesee","Byron town","New York"
"3603719719",2015,"DP04_0046P","Percent of Occupied Homes that are Owner-Occupied",86.1,5,5.80720092915215,"Genesee","Darien town","New York"
"3603723756",2015,"DP04_0046P","Percent of Occupied Homes that are Owner-Occupied",82.1,4.6,5.60292326431181,"Genesee","Elba town","New York"
"3603742037",2015,"DP04_0046P","Percent of Occupied Homes that are Owner-Occupied",68.1,4.6,6.75477239353891,"Genesee","Le Roy town","New York"
"3603754166",2015,"DP04_0046P","Percent of Occupied Homes that are Owner-Occupied",75.9,5.8,7.64163372859025,"Genesee","Oakfield town","New York"
"3603756792",2015,"DP04_0046P","Percent of Occupied Homes that are Owner-Occupied",86.8,5.4,6.22119815668203,"Genesee","Pavilion town","New York"
"3603757078",2015,"DP04_0046P","Percent of Occupied Homes that are Owner-Occupied",84,5.3,6.30952380952381,"Genesee","Pembroke town","New York"
