"GEOID","year","variable","Variable_Description","estimate","moe","moe_pct_of_estimate","County","Geography","State"
"36037",2017,"S2504_C02_027E","Percent of Occupied Houses with No Vehicle",7.6,1,13.1578947368421,"Genesee","Genesee County","New York"
"36051",2017,"S2504_C02_027E","Percent of Occupied Houses with No Vehicle",7.8,1.3,16.6666666666667,"Livingston","Livingston County","New York"
"36055",2017,"S2504_C02_027E","Percent of Occupied Houses with No Vehicle",11.5,0.3,2.60869565217391,"Monroe","Monroe County","New York"
"36069",2017,"S2504_C02_027E","Percent of Occupied Houses with No Vehicle",7.1,0.8,11.2676056338028,"Ontario","Ontario County","New York"
"36073",2017,"S2504_C02_027E","Percent of Occupied Houses with No Vehicle",7.6,1.2,15.7894736842105,"Orleans","Orleans County","New York"
"36099",2017,"S2504_C02_027E","Percent of Occupied Houses with No Vehicle",7.6,1.7,22.3684210526316,"Seneca","Seneca County","New York"
"36117",2017,"S2504_C02_027E","Percent of Occupied Houses with No Vehicle",6.9,0.8,11.5942028985507,"Wayne","Wayne County","New York"
"36123",2017,"S2504_C02_027E","Percent of Occupied Houses with No Vehicle",13.3,1.6,12.0300751879699,"Yates","Yates County","New York"
"36037",2018,"S2504_C02_027E","Percent of Occupied Houses with No Vehicle",8.2,1.1,13.4146341463415,"Genesee","Genesee County","New York"
"36051",2018,"S2504_C02_027E","Percent of Occupied Houses with No Vehicle",7.8,1.3,16.6666666666667,"Livingston","Livingston County","New York"
"36055",2018,"S2504_C02_027E","Percent of Occupied Houses with No Vehicle",11.3,0.4,3.53982300884956,"Monroe","Monroe County","New York"
"36069",2018,"S2504_C02_027E","Percent of Occupied Houses with No Vehicle",7.3,0.8,10.958904109589,"Ontario","Ontario County","New York"
"36073",2018,"S2504_C02_027E","Percent of Occupied Houses with No Vehicle",8,1.6,20,"Orleans","Orleans County","New York"
"36099",2018,"S2504_C02_027E","Percent of Occupied Houses with No Vehicle",8.1,1.3,16.0493827160494,"Seneca","Seneca County","New York"
"36117",2018,"S2504_C02_027E","Percent of Occupied Houses with No Vehicle",6.8,0.8,11.7647058823529,"Wayne","Wayne County","New York"
"36123",2018,"S2504_C02_027E","Percent of Occupied Houses with No Vehicle",12.8,1.7,13.28125,"Yates","Yates County","New York"
"36037",2019,"S2504_C02_027E","Percent of Occupied Houses with No Vehicle",8.4,1.1,13.0952380952381,"Genesee","Genesee County","New York"
"36051",2019,"S2504_C02_027E","Percent of Occupied Houses with No Vehicle",7.3,1.1,15.0684931506849,"Livingston","Livingston County","New York"
"36055",2019,"S2504_C02_027E","Percent of Occupied Houses with No Vehicle",11.3,0.4,3.53982300884956,"Monroe","Monroe County","New York"
