"GEOID","year","variable","Variable_Description","estimate","moe","moe_pct_of_estimate","County","Geography","State"
"3603700474",2017,"S2504_C02_027E","Percent of Occupied Houses with No Vehicle",5.4,3.8,70.3703703703704,"Genesee","Alabama town","New York"
"3603701165",2017,"S2504_C02_027E","Percent of Occupied Houses with No Vehicle",3.4,1.8,52.9411764705882,"Genesee","Alexander town","New York"
"3603704715",2017,"S2504_C02_027E","Percent of Occupied Houses with No Vehicle",16.4,3.1,18.9024390243902,"Genesee","Batavia city","New York"
"3603704726",2017,"S2504_C02_027E","Percent of Occupied Houses with No Vehicle",2,1.9,95,"Genesee","Batavia town","New York"
"3603706057",2017,"S2504_C02_027E","Percent of Occupied Houses with No Vehicle",7.7,4,51.9480519480519,"Genesee","Bergen town","New York"
"3603706266",2017,"S2504_C02_027E","Percent of Occupied Houses with No Vehicle",3.8,2,52.6315789473684,"Genesee","Bethany town","New York"
"3603711572",2017,"S2504_C02_027E","Percent of Occupied Houses with No Vehicle",4.1,3,73.1707317073171,"Genesee","Byron town","New York"
"3603719719",2017,"S2504_C02_027E","Percent of Occupied Houses with No Vehicle",2.2,1.7,77.2727272727273,"Genesee","Darien town","New York"
"3603723756",2017,"S2504_C02_027E","Percent of Occupied Houses with No Vehicle",5.3,3.3,62.2641509433962,"Genesee","Elba town","New York"
"3603742037",2017,"S2504_C02_027E","Percent of Occupied Houses with No Vehicle",4.5,1.9,42.2222222222222,"Genesee","Le Roy town","New York"
"3603754166",2017,"S2504_C02_027E","Percent of Occupied Houses with No Vehicle",6.2,3.2,51.6129032258064,"Genesee","Oakfield town","New York"
"3603756792",2017,"S2504_C02_027E","Percent of Occupied Houses with No Vehicle",2.2,1.5,68.1818181818182,"Genesee","Pavilion town","New York"
"3603757078",2017,"S2504_C02_027E","Percent of Occupied Houses with No Vehicle",6.1,4.2,68.8524590163935,"Genesee","Pembroke town","New York"
"3603770607",2017,"S2504_C02_027E","Percent of Occupied Houses with No Vehicle",6.2,3.9,62.9032258064516,"Genesee","Stafford town","New York"
"3603775011",2017,"S2504_C02_027E","Percent of Occupied Houses with No Vehicle",22.9,8.7,37.9912663755458,"Genesee","Tonawanda Reservation","New York"
"3605103364",2017,"S2504_C02_027E","Percent of Occupied Houses with No Vehicle",9.2,3.4,36.9565217391304,"Livingston","Avon town","New York"
"3605111715",2017,"S2504_C02_027E","Percent of Occupied Houses with No Vehicle",4,1.9,47.5,"Livingston","Caledonia town","New York"
"3605117618",2017,"S2504_C02_027E","Percent of Occupied Houses with No Vehicle",4.5,3.4,75.5555555555556,"Livingston","Conesus town","New York"
"3605128629",2017,"S2504_C02_027E","Percent of Occupied Houses with No Vehicle",14.8,4.9,33.1081081081081,"Livingston","Geneseo town","New York"
"3605131016",2017,"S2504_C02_027E","Percent of Occupied Houses with No Vehicle",5.7,4.3,75.4385964912281,"Livingston","Groveland town","New York"
