"GEOID","year","variable","Variable_Description","estimate","moe","moe_pct_of_estimate","County","Geography","State"
"36037",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",20.5,3.3,16.0975609756098,"Genesee","Genesee County","New York"
"36051",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",18.8,3.1,16.4893617021277,"Livingston","Livingston County","New York"
"36055",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",23,1,4.34782608695652,"Monroe","Monroe County","New York"
"36069",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",13.5,1.8,13.3333333333333,"Ontario","Ontario County","New York"
"36073",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",21.9,3.6,16.4383561643836,"Orleans","Orleans County","New York"
"36099",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",15.9,3.8,23.8993710691824,"Seneca","Seneca County","New York"
"36117",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",18.5,2.6,14.0540540540541,"Wayne","Wayne County","New York"
"36123",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",21.5,5.3,24.6511627906977,"Yates","Yates County","New York"
"36037",2016,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",19.6,3,15.3061224489796,"Genesee","Genesee County","New York"
"36051",2016,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",19.4,3.2,16.4948453608247,"Livingston","Livingston County","New York"
"36055",2016,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",22.4,1,4.46428571428571,"Monroe","Monroe County","New York"
"36069",2016,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",13.3,2.1,15.7894736842105,"Ontario","Ontario County","New York"
"36073",2016,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",23.7,4.3,18.1434599156118,"Orleans","Orleans County","New York"
"36099",2016,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",15.3,3.7,24.1830065359477,"Seneca","Seneca County","New York"
"36117",2016,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",17,2.5,14.7058823529412,"Wayne","Wayne County","New York"
"36123",2016,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",21.8,5.6,25.6880733944954,"Yates","Yates County","New York"
"36037",2017,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",20.1,3,14.9253731343284,"Genesee","Genesee County","New York"
"36051",2017,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",18.1,3,16.5745856353591,"Livingston","Livingston County","New York"
"36055",2017,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",22.3,0.9,4.03587443946188,"Monroe","Monroe County","New York"
"36069",2017,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",12.9,1.9,14.7286821705426,"Ontario","Ontario County","New York"
"36073",2017,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",24.9,4.3,17.2690763052209,"Orleans","Orleans County","New York"
"36099",2017,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",14.2,3.8,26.7605633802817,"Seneca","Seneca County","New York"
"36117",2017,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",16.9,2.4,14.2011834319527,"Wayne","Wayne County","New York"
"36123",2017,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",18.9,5.3,28.042328042328,"Yates","Yates County","New York"
"36037",2018,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",17.9,2.7,15.0837988826816,"Genesee","Genesee County","New York"
"36051",2018,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",16.2,3.3,20.3703703703704,"Livingston","Livingston County","New York"
"36055",2018,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",21.9,1.1,5.02283105022831,"Monroe","Monroe County","New York"
"36069",2018,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",13,2,15.3846153846154,"Ontario","Ontario County","New York"
"36073",2018,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",20,3.1,15.5,"Orleans","Orleans County","New York"
"36099",2018,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",15,3.4,22.6666666666667,"Seneca","Seneca County","New York"
"36117",2018,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",16.1,2.1,13.0434782608696,"Wayne","Wayne County","New York"
"36123",2018,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",15.1,5.1,33.7748344370861,"Yates","Yates County","New York"
"36037",2019,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",15.8,2.8,17.7215189873418,"Genesee","Genesee County","New York"
"36051",2019,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",15.6,3.1,19.8717948717949,"Livingston","Livingston County","New York"
"36055",2019,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",21.2,1.1,5.18867924528302,"Monroe","Monroe County","New York"
"36069",2019,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",11.4,2.1,18.4210526315789,"Ontario","Ontario County","New York"
"36073",2019,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",19.9,3.7,18.5929648241206,"Orleans","Orleans County","New York"
"36099",2019,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",14.3,3.3,23.0769230769231,"Seneca","Seneca County","New York"
"36117",2019,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",17.3,2.8,16.1849710982659,"Wayne","Wayne County","New York"
"36123",2019,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",18.3,5.7,31.1475409836066,"Yates","Yates County","New York"
"36037",2020,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",13.5,2.6,19.2592592592593,"Genesee","Genesee County","New York"
"36051",2020,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",17,3.7,21.7647058823529,"Livingston","Livingston County","New York"
"36055",2020,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",21.2,1.3,6.13207547169811,"Monroe","Monroe County","New York"
"36069",2020,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",11.5,2.5,21.7391304347826,"Ontario","Ontario County","New York"
"36073",2020,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",19.8,3.9,19.6969696969697,"Orleans","Orleans County","New York"
"36099",2020,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",12.3,3.7,30.0813008130081,"Seneca","Seneca County","New York"
"36117",2020,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",15.7,3,19.1082802547771,"Wayne","Wayne County","New York"
"36123",2020,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",23.1,6.2,26.8398268398268,"Yates","Yates County","New York"
"36037",2021,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",11.1,2.6,23.4234234234234,"Genesee","Genesee County","New York"
"36051",2021,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",14.2,3.3,23.2394366197183,"Livingston","Livingston County","New York"
"36055",2021,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",20.2,1.3,6.43564356435644,"Monroe","Monroe County","New York"
"36069",2021,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",10.2,1.8,17.6470588235294,"Ontario","Ontario County","New York"
"36073",2021,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",19.4,3.7,19.0721649484536,"Orleans","Orleans County","New York"
"36099",2021,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",11,3.3,30,"Seneca","Seneca County","New York"
"36117",2021,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",14.5,2.8,19.3103448275862,"Wayne","Wayne County","New York"
"36123",2021,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",22.2,5.3,23.8738738738739,"Yates","Yates County","New York"
"36037",2022,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",9.6,2.8,29.1666666666667,"Genesee","Genesee County","New York"
"36051",2022,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",15.4,4.1,26.6233766233766,"Livingston","Livingston County","New York"
"36055",2022,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",19.1,1.2,6.282722513089,"Monroe","Monroe County","New York"
"36069",2022,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",11,2.2,20,"Ontario","Ontario County","New York"
"36073",2022,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",16.6,3.7,22.289156626506,"Orleans","Orleans County","New York"
"36099",2022,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",15.8,4.3,27.2151898734177,"Seneca","Seneca County","New York"
"36117",2022,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",14,2.9,20.7142857142857,"Wayne","Wayne County","New York"
"36123",2022,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",23,5.3,23.0434782608696,"Yates","Yates County","New York"
"36037",2023,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",10.2,3,29.4117647058824,"Genesee","Genesee County","New York"
"36051",2023,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",14.8,3.9,26.3513513513513,"Livingston","Livingston County","New York"
"36055",2023,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",18.7,1.4,7.48663101604278,"Monroe","Monroe County","New York"
"36069",2023,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",11.1,2.5,22.5225225225225,"Ontario","Ontario County","New York"
"36073",2023,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",16.6,4.5,27.1084337349398,"Orleans","Orleans County","New York"
"36099",2023,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",16.7,3.9,23.3532934131737,"Seneca","Seneca County","New York"
