"GEOID","year","variable","Variable_Description","estimate","moe","moe_pct_of_estimate","County","Geography","State"
"36037",2015,"Overall","Overall",13.2,1.3,9.84848484848485,"Genesee","Genesee County","New York"
"36051",2015,"Overall","Overall",14.8,1.4,9.45945945945946,"Livingston","Livingston County","New York"
"36055",2015,"Overall","Overall",15.2,0.5,3.28947368421053,"Monroe","Monroe County","New York"
"36069",2015,"Overall","Overall",10.4,0.9,8.65384615384615,"Ontario","Ontario County","New York"
"36073",2015,"Overall","Overall",15.7,1.9,12.1019108280255,"Orleans","Orleans County","New York"
"36099",2015,"Overall","Overall",12.7,1.6,12.5984251968504,"Seneca","Seneca County","New York"
"36117",2015,"Overall","Overall",12.7,1.2,9.44881889763779,"Wayne","Wayne County","New York"
"36123",2015,"Overall","Overall",14.4,2.2,15.2777777777778,"Yates","Yates County","New York"
"36037",2016,"Overall","Overall",12.5,1.3,10.4,"Genesee","Genesee County","New York"
"36051",2016,"Overall","Overall",14.9,1.7,11.4093959731544,"Livingston","Livingston County","New York"
"36055",2016,"Overall","Overall",14.9,0.4,2.68456375838926,"Monroe","Monroe County","New York"
"36069",2016,"Overall","Overall",10.3,0.9,8.7378640776699,"Ontario","Ontario County","New York"
"36073",2016,"Overall","Overall",15.6,1.9,12.1794871794872,"Orleans","Orleans County","New York"
"36099",2016,"Overall","Overall",12.4,1.5,12.0967741935484,"Seneca","Seneca County","New York"
"36117",2016,"Overall","Overall",11.9,1.2,10.0840336134454,"Wayne","Wayne County","New York"
"36123",2016,"Overall","Overall",13.9,2.2,15.8273381294964,"Yates","Yates County","New York"
"36037",2017,"Overall","Overall",12.8,1.3,10.15625,"Genesee","Genesee County","New York"
"36051",2017,"Overall","Overall",14.6,1.4,9.58904109589041,"Livingston","Livingston County","New York"
"36055",2017,"Overall","Overall",14.8,0.4,2.7027027027027,"Monroe","Monroe County","New York"
"36069",2017,"Overall","Overall",9.7,0.8,8.24742268041237,"Ontario","Ontario County","New York"
"36073",2017,"Overall","Overall",15.9,1.9,11.9496855345912,"Orleans","Orleans County","New York"
"36099",2017,"Overall","Overall",11.8,1.6,13.5593220338983,"Seneca","Seneca County","New York"
"36117",2017,"Overall","Overall",11.7,1.2,10.2564102564103,"Wayne","Wayne County","New York"
"36123",2017,"Overall","Overall",13.1,2.2,16.793893129771,"Yates","Yates County","New York"
"36037",2018,"Overall","Overall",11.4,1.2,10.5263157894737,"Genesee","Genesee County","New York"
"36051",2018,"Overall","Overall",13.6,1.5,11.0294117647059,"Livingston","Livingston County","New York"
"36055",2018,"Overall","Overall",14.7,0.4,2.72108843537415,"Monroe","Monroe County","New York"
"36069",2018,"Overall","Overall",9.6,0.9,9.375,"Ontario","Ontario County","New York"
"36073",2018,"Overall","Overall",14.3,1.4,9.79020979020979,"Orleans","Orleans County","New York"
"36099",2018,"Overall","Overall",12.4,1.4,11.2903225806452,"Seneca","Seneca County","New York"
"36117",2018,"Overall","Overall",11.3,0.9,7.9646017699115,"Wayne","Wayne County","New York"
"36123",2018,"Overall","Overall",11.4,2.1,18.4210526315789,"Yates","Yates County","New York"
"36037",2019,"Overall","Overall",10.9,1.1,10.0917431192661,"Genesee","Genesee County","New York"
"36051",2019,"Overall","Overall",13.2,1.2,9.09090909090909,"Livingston","Livingston County","New York"
"36055",2019,"Overall","Overall",14.4,0.4,2.77777777777778,"Monroe","Monroe County","New York"
"36069",2019,"Overall","Overall",8.7,0.8,9.19540229885058,"Ontario","Ontario County","New York"
"36073",2019,"Overall","Overall",13.7,1.5,10.9489051094891,"Orleans","Orleans County","New York"
"36099",2019,"Overall","Overall",12.2,1.4,11.4754098360656,"Seneca","Seneca County","New York"
"36117",2019,"Overall","Overall",11.6,1.1,9.48275862068966,"Wayne","Wayne County","New York"
"36123",2019,"Overall","Overall",11.9,2,16.8067226890756,"Yates","Yates County","New York"
"36037",2020,"Overall","Overall",10.8,1.2,11.1111111111111,"Genesee","Genesee County","New York"
"36051",2020,"Overall","Overall",12.6,1.4,11.1111111111111,"Livingston","Livingston County","New York"
"36055",2020,"Overall","Overall",14.1,0.5,3.54609929078014,"Monroe","Monroe County","New York"
"36069",2020,"Overall","Overall",9,1.1,12.2222222222222,"Ontario","Ontario County","New York"
