"GEOID","year","variable","Variable_Description","estimate","moe","moe_pct_of_estimate","County","Geography","State"
"3603700474",2015,"Overall","Overall",11.7,4.6,39.3162393162393,"Genesee","Alabama town","New York"
"3603701165",2015,"Overall","Overall",8,3.7,46.25,"Genesee","Alexander town","New York"
"3603704715",2015,"Overall","Overall",22.8,2.9,12.719298245614,"Genesee","Batavia city","New York"
"3603704726",2015,"Overall","Overall",8.1,5.4,66.6666666666667,"Genesee","Batavia town","New York"
"3603706057",2015,"Overall","Overall",13.5,5.3,39.2592592592593,"Genesee","Bergen town","New York"
"3603706266",2015,"Overall","Overall",7.1,3.9,54.9295774647887,"Genesee","Bethany town","New York"
"3603711572",2015,"Overall","Overall",11,5.9,53.6363636363636,"Genesee","Byron town","New York"
"3603719719",2015,"Overall","Overall",10.8,6.3,58.3333333333333,"Genesee","Darien town","New York"
"3603723756",2015,"Overall","Overall",7.6,4.2,55.2631578947368,"Genesee","Elba town","New York"
"3603742037",2015,"Overall","Overall",10,3.2,32,"Genesee","Le Roy town","New York"
"3603754166",2015,"Overall","Overall",8.7,3.9,44.8275862068966,"Genesee","Oakfield town","New York"
"3603756792",2015,"Overall","Overall",13.7,6.9,50.3649635036496,"Genesee","Pavilion town","New York"
"3603757078",2015,"Overall","Overall",10.9,6.4,58.7155963302752,"Genesee","Pembroke town","New York"
"3603770607",2015,"Overall","Overall",8.2,3.6,43.9024390243902,"Genesee","Stafford town","New York"
"3603775011",2015,"Overall","Overall",20.3,5.6,27.5862068965517,"Genesee","Tonawanda Reservation","New York"
"3605103364",2015,"Overall","Overall",8.4,2.9,34.5238095238095,"Livingston","Avon town","New York"
"3605111715",2015,"Overall","Overall",5.8,2.1,36.2068965517241,"Livingston","Caledonia town","New York"
"3605117618",2015,"Overall","Overall",12.7,4.7,37.007874015748,"Livingston","Conesus town","New York"
"3605128629",2015,"Overall","Overall",30.2,4.8,15.8940397350993,"Livingston","Geneseo town","New York"
"3605131016",2015,"Overall","Overall",9.3,4.5,48.3870967741935,"Livingston","Groveland town","New York"
"3605141883",2015,"Overall","Overall",14,7.9,56.4285714285714,"Livingston","Leicester town","New York"
"3605142334",2015,"Overall","Overall",11.1,3.3,29.7297297297297,"Livingston","Lima town","New York"
"3605142961",2015,"Overall","Overall",12,6.7,55.8333333333333,"Livingston","Livonia town","New York"
"3605148956",2015,"Overall","Overall",20.4,6.8,33.3333333333333,"Livingston","Mount Morris town","New York"
"3605151869",2015,"Overall","Overall",21,7.2,34.2857142857143,"Livingston","North Dansville town","New York"
"3605154089",2015,"Overall","Overall",13.6,3.8,27.9411764705882,"Livingston","Nunda town","New York"
"3605155508",2015,"Overall","Overall",9.9,4.6,46.4646464646465,"Livingston","Ossian town","New York"
"3605159179",2015,"Overall","Overall",15.6,5.8,37.1794871794872,"Livingston","Portage town","New York"
"3605170101",2015,"Overall","Overall",7,3,42.8571428571429,"Livingston","Sparta town","New York"
"3605170475",2015,"Overall","Overall",12.6,5,39.6825396825397,"Livingston","Springwater town","New York"
"3605181006",2015,"Overall","Overall",26.2,10.3,39.3129770992366,"Livingston","West Sparta town","New York"
"3605184022",2015,"Overall","Overall",6.4,4.6,71.875,"Livingston","York town","New York"
"3605500000",2015,"Overall","Overall",NA,0,NA,"Monroe","County subdivisions not defined","New York"
"3605508246",2015,"Overall","Overall",9.5,1.9,20,"Monroe","Brighton town","New York"
"3605515462",2015,"Overall","Overall",6.2,1.5,24.1935483870968,"Monroe","Chili town","New York"
"3605515957",2015,"Overall","Overall",7.8,4.8,61.5384615384615,"Monroe","Clarkson town","New York"
"3605522870",2015,"Overall","Overall",18.9,6,31.7460317460318,"Monroe","East Rochester town","New York"
"3605528442",2015,"Overall","Overall",10.1,2.3,22.7722772277228,"Monroe","Gates town","New York"
"3605530290",2015,"Overall","Overall",9.3,1.8,19.3548387096774,"Monroe","Greece town","New York"
"3605531797",2015,"Overall","Overall",9.1,3.1,34.0659340659341,"Monroe","Hamlin town","New York"
"3605534099",2015,"Overall","Overall",12.2,1.9,15.5737704918033,"Monroe","Henrietta town","New York"
"3605537726",2015,"Overall","Overall",8.5,1.5,17.6470588235294,"Monroe","Irondequoit town","New York"
"3605546558",2015,"Overall","Overall",4.5,2.3,51.1111111111111,"Monroe","Mendon town","New York"
"3605554474",2015,"Overall","Overall",5,1.4,28,"Monroe","Ogden town","New York"
"3605556561",2015,"Overall","Overall",6.2,3,48.3870967741935,"Monroe","Parma town","New York"
"3605557144",2015,"Overall","Overall",4.3,1.1,25.5813953488372,"Monroe","Penfield town","New York"
"3605557221",2015,"Overall","Overall",6.1,1.3,21.3114754098361,"Monroe","Perinton town","New York"
"3605558365",2015,"Overall","Overall",3.9,0.9,23.0769230769231,"Monroe","Pittsford town","New York"
"3605561808",2015,"Overall","Overall",8.4,3.6,42.8571428571429,"Monroe","Riga town","New York"
"3605563000",2015,"Overall","Overall",33.5,1.1,3.28358208955224,"Monroe","Rochester city","New York"
"3605564144",2015,"Overall","Overall",4.3,2.6,60.4651162790698,"Monroe","Rush town","New York"
"3605572455",2015,"Overall","Overall",18.8,3.4,18.0851063829787,"Monroe","Sweden town","New York"
"3605578971",2015,"Overall","Overall",6.9,1.4,20.2898550724638,"Monroe","Webster town","New York"
"3605581402",2015,"Overall","Overall",9.4,4.2,44.6808510638298,"Monroe","Wheatland town","New York"
"3606908378",2015,"Overall","Overall",6.3,2.8,44.4444444444444,"Ontario","Bristol town","New York"
"3606912100",2015,"Overall","Overall",11,7.4,67.2727272727273,"Ontario","Canadice town","New York"
"3606912144",2015,"Overall","Overall",15.4,3.4,22.0779220779221,"Ontario","Canandaigua city","New York"
"3606912155",2015,"Overall","Overall",9.5,3.3,34.7368421052632,"Ontario","Canandaigua town","New York"
"3606921699",2015,"Overall","Overall",8.4,3.8,45.2380952380952,"Ontario","East Bloomfield town","New York"
"3606925406",2015,"Overall","Overall",10.6,3,28.3018867924528,"Ontario","Farmington town","New York"
"3606928640",2015,"Overall","Overall",24.1,4.4,18.2572614107884,"Ontario","Geneva city","New York"
"3606928651",2015,"Overall","Overall",9.3,5.3,56.989247311828,"Ontario","Geneva town","New York"
"3606929531",2015,"Overall","Overall",6.9,4.1,59.4202898550724,"Ontario","Gorham town","New York"
"3606935551",2015,"Overall","Overall",8.7,3.9,44.8275862068966,"Ontario","Hopewell town","New York"
"3606944864",2015,"Overall","Overall",9.2,2.3,25,"Ontario","Manchester town","New York"
"3606949440",2015,"Overall","Overall",14.5,4.6,31.7241379310345,"Ontario","Naples town","New York"
"3606957529",2015,"Overall","Overall",10.6,3.3,31.1320754716981,"Ontario","Phelps town","New York"
"3606961544",2015,"Overall","Overall",2.3,2.5,108.695652173913,"Ontario","Richmond town","New York"
"3606966289",2015,"Overall","Overall",5.6,2.6,46.4285714285714,"Ontario","Seneca town","New York"
"3606968660",2015,"Overall","Overall",10,5.9,59,"Ontario","South Bristol town","New York"
"3606977387",2015,"Overall","Overall",2.3,0.9,39.1304347826087,"Ontario","Victor town","New York"
"3606979356",2015,"Overall","Overall",11.1,3.8,34.2342342342342,"Ontario","West Bloomfield town","New York"
"3607300000",2015,"Overall","Overall",NA,0,NA,"Orleans","County subdivisions not defined","New York"
"3607301044",2015,"Overall","Overall",27.8,9,32.3741007194245,"Orleans","Albion town","New York"
"3607304572",2015,"Overall","Overall",11.4,4.4,38.5964912280702,"Orleans","Barre town","New York"
"3607312496",2015,"Overall","Overall",7.3,4.1,56.1643835616438,"Orleans","Carlton town","New York"
"3607315880",2015,"Overall","Overall",12.5,5.8,46.4,"Orleans","Clarendon town","New York"
"3607327958",2015,"Overall","Overall",11.7,6.7,57.2649572649573,"Orleans","Gaines town","New York"
"3607339188",2015,"Overall","Overall",14.6,5.2,35.6164383561644,"Orleans","Kendall town","New York"
"3607349286",2015,"Overall","Overall",16.4,3.7,22.5609756097561,"Orleans","Murray town","New York"
"3607361742",2015,"Overall","Overall",11.3,3.3,29.2035398230088,"Orleans","Ridgeway town","New York"
"3607366751",2015,"Overall","Overall",21.8,5.7,26.1467889908257,"Orleans","Shelby town","New York"
"3607383448",2015,"Overall","Overall",9.9,4,40.4040404040404,"Orleans","Yates town","New York"
"3609918663",2015,"Overall","Overall",9.5,3.2,33.6842105263158,"Seneca","Covert town","New York"
"3609925505",2015,"Overall","Overall",9,3.6,40,"Seneca","Fayette town","New York"
"3609928640",2015,"Overall","Overall",NA,0,NA,"Seneca","Geneva city","New York"
"3609938858",2015,"Overall","Overall",12.6,5.1,40.4761904761905,"Seneca","Junius town","New York"
"3609943225",2015,"Overall","Overall",9.5,3,31.5789473684211,"Seneca","Lodi town","New York"
"3609955827",2015,"Overall","Overall",15.7,5.1,32.484076433121,"Seneca","Ovid town","New York"
"3609963440",2015,"Overall","Overall",8.8,3.6,40.9090909090909,"Seneca","Romulus town","New York"
"3609966333",2015,"Overall","Overall",15,2.6,17.3333333333333,"Seneca","Seneca Falls town","New York"
"3609975902",2015,"Overall","Overall",11.7,4.9,41.8803418803419,"Seneca","Tyre town","New York"
"3609976958",2015,"Overall","Overall",9,3.5,38.8888888888889,"Seneca","Varick town","New York"
"3609978564",2015,"Overall","Overall",14.9,4.8,32.2147651006711,"Seneca","Waterloo town","New York"
"3611700000",2015,"Overall","Overall",NA,0,NA,"Wayne","County subdivisions not defined","New York"
"3611702440",2015,"Overall","Overall",19.1,4.5,23.5602094240838,"Wayne","Arcadia town","New York"
"3611711473",2015,"Overall","Overall",15.2,6.4,42.1052631578947,"Wayne","Butler town","New York"
"3611728013",2015,"Overall","Overall",11.8,5.2,44.0677966101695,"Wayne","Galen town","New York"
"3611737165",2015,"Overall","Overall",15.6,8,51.2820512820513,"Wayne","Huron town","New York"
"3611743973",2015,"Overall","Overall",21.5,6.4,29.7674418604651,"Wayne","Lyons town","New York"
"3611744160",2015,"Overall","Overall",6.2,2.2,35.4838709677419,"Wayne","Macedon town","New York"
"3611745645",2015,"Overall","Overall",7.5,2.7,36,"Wayne","Marion town","New York"
"3611755013",2015,"Overall","Overall",7.4,3.1,41.8918918918919,"Wayne","Ontario town","New York"
"3611756198",2015,"Overall","Overall",16.6,4.5,27.1084337349398,"Wayne","Palmyra town","New York"
"3611763605",2015,"Overall","Overall",12.8,5.1,39.84375,"Wayne","Rose town","New York"
"3611765343",2015,"Overall","Overall",11.9,5.9,49.5798319327731,"Wayne","Savannah town","New York"
"3611768220",2015,"Overall","Overall",19.2,5.7,29.6875,"Wayne","Sodus town","New York"
"3611778102",2015,"Overall","Overall",2.6,1.1,42.3076923076923,"Wayne","Walworth town","New York"
"3611782040",2015,"Overall","Overall",11.9,5.5,46.218487394958,"Wayne","Williamson town","New York"
"3611782689",2015,"Overall","Overall",15.3,4,26.1437908496732,"Wayne","Wolcott town","New York"
"3612304594",2015,"Overall","Overall",11,4.5,40.9090909090909,"Yates","Barrington town","New York"
"3612306002",2015,"Overall","Overall",8.3,4.2,50.6024096385542,"Yates","Benton town","New York"
"3612338044",2015,"Overall","Overall",19.4,6.9,35.5670103092784,"Yates","Italy town","New York"
"3612338583",2015,"Overall","Overall",9.4,7.1,75.531914893617,"Yates","Jerusalem town","New York"
"3612347020",2015,"Overall","Overall",9.6,4.6,47.9166666666667,"Yates","Middlesex town","New York"
"3612347504",2015,"Overall","Overall",19,4.9,25.7894736842105,"Yates","Milo town","New York"
"3612359597",2015,"Overall","Overall",17,8.2,48.2352941176471,"Yates","Potter town","New York"
"3612370816",2015,"Overall","Overall",15,5.7,38,"Yates","Starkey town","New York"
"3612375055",2015,"Overall","Overall",15.7,8.2,52.2292993630573,"Yates","Torrey town","New York"
"3603700474",2016,"Overall","Overall",11.4,4.6,40.3508771929825,"Genesee","Alabama town","New York"
"3603701165",2016,"Overall","Overall",9.8,4.4,44.8979591836735,"Genesee","Alexander town","New York"
"3603704715",2016,"Overall","Overall",20.8,3.4,16.3461538461538,"Genesee","Batavia city","New York"
"3603704726",2016,"Overall","Overall",5.7,3.6,63.1578947368421,"Genesee","Batavia town","New York"
"3603706057",2016,"Overall","Overall",11,5.4,49.0909090909091,"Genesee","Bergen town","New York"
"3603706266",2016,"Overall","Overall",5,2.1,42,"Genesee","Bethany town","New York"
"3603711572",2016,"Overall","Overall",11.2,6.3,56.25,"Genesee","Byron town","New York"
"3603719719",2016,"Overall","Overall",12,7,58.3333333333333,"Genesee","Darien town","New York"
"3603723756",2016,"Overall","Overall",7.8,4.5,57.6923076923077,"Genesee","Elba town","New York"
"3603742037",2016,"Overall","Overall",10.3,3.4,33.0097087378641,"Genesee","Le Roy town","New York"
"3603754166",2016,"Overall","Overall",10.7,4.2,39.2523364485981,"Genesee","Oakfield town","New York"
"3603756792",2016,"Overall","Overall",11.1,5.9,53.1531531531532,"Genesee","Pavilion town","New York"
"3603757078",2016,"Overall","Overall",11.5,6.2,53.9130434782609,"Genesee","Pembroke town","New York"
"3603770607",2016,"Overall","Overall",8,3.5,43.75,"Genesee","Stafford town","New York"
"3603775011",2016,"Overall","Overall",20.4,7.1,34.8039215686275,"Genesee","Tonawanda Reservation","New York"
"3605103364",2016,"Overall","Overall",9,3.3,36.6666666666667,"Livingston","Avon town","New York"
"3605111715",2016,"Overall","Overall",5,2,40,"Livingston","Caledonia town","New York"
"3605117618",2016,"Overall","Overall",12.4,4.7,37.9032258064516,"Livingston","Conesus town","New York"
"3605128629",2016,"Overall","Overall",30.8,4.9,15.9090909090909,"Livingston","Geneseo town","New York"
"3605131016",2016,"Overall","Overall",7.8,3.4,43.5897435897436,"Livingston","Groveland town","New York"
"3605141883",2016,"Overall","Overall",11.9,6.8,57.1428571428571,"Livingston","Leicester town","New York"
"3605142334",2016,"Overall","Overall",9.9,3.3,33.3333333333333,"Livingston","Lima town","New York"
"3605142961",2016,"Overall","Overall",10.8,7.1,65.7407407407407,"Livingston","Livonia town","New York"
"3605148956",2016,"Overall","Overall",22.6,6.7,29.646017699115,"Livingston","Mount Morris town","New York"
"3605151869",2016,"Overall","Overall",22.3,7.9,35.4260089686099,"Livingston","North Dansville town","New York"
"3605154089",2016,"Overall","Overall",14.1,3.4,24.113475177305,"Livingston","Nunda town","New York"
"3605155508",2016,"Overall","Overall",6.3,3.8,60.3174603174603,"Livingston","Ossian town","New York"
"3605159179",2016,"Overall","Overall",14.2,5.7,40.1408450704225,"Livingston","Portage town","New York"
"3605170101",2016,"Overall","Overall",7.3,3,41.0958904109589,"Livingston","Sparta town","New York"
"3605170475",2016,"Overall","Overall",13.7,5.1,37.2262773722628,"Livingston","Springwater town","New York"
"3605181006",2016,"Overall","Overall",22.7,10.2,44.9339207048458,"Livingston","West Sparta town","New York"
"3605184022",2016,"Overall","Overall",9,5.7,63.3333333333333,"Livingston","York town","New York"
"3605500000",2016,"Overall","Overall",NA,0,NA,"Monroe","County subdivisions not defined","New York"
"3605508246",2016,"Overall","Overall",10.7,2.1,19.6261682242991,"Monroe","Brighton town","New York"
"3605515462",2016,"Overall","Overall",6.6,1.3,19.6969696969697,"Monroe","Chili town","New York"
"3605515957",2016,"Overall","Overall",7.1,4.2,59.1549295774648,"Monroe","Clarkson town","New York"
"3605522870",2016,"Overall","Overall",16.4,5.1,31.0975609756098,"Monroe","East Rochester town","New York"
"3605528442",2016,"Overall","Overall",8.3,2.1,25.3012048192771,"Monroe","Gates town","New York"
"3605530290",2016,"Overall","Overall",7.9,1,12.6582278481013,"Monroe","Greece town","New York"
"3605531797",2016,"Overall","Overall",9,2.7,30,"Monroe","Hamlin town","New York"
"3605534099",2016,"Overall","Overall",12.9,1.8,13.953488372093,"Monroe","Henrietta town","New York"
"3605537726",2016,"Overall","Overall",8.5,1.3,15.2941176470588,"Monroe","Irondequoit town","New York"
"3605546558",2016,"Overall","Overall",5,2.9,58,"Monroe","Mendon town","New York"
"3605554474",2016,"Overall","Overall",5.6,1.6,28.5714285714286,"Monroe","Ogden town","New York"
"3605556561",2016,"Overall","Overall",6.8,2.8,41.1764705882353,"Monroe","Parma town","New York"
"3605557144",2016,"Overall","Overall",5.2,1.5,28.8461538461538,"Monroe","Penfield town","New York"
"3605557221",2016,"Overall","Overall",5.4,1.2,22.2222222222222,"Monroe","Perinton town","New York"
"3605558365",2016,"Overall","Overall",3.7,0.9,24.3243243243243,"Monroe","Pittsford town","New York"
"3605561808",2016,"Overall","Overall",8.6,4.1,47.6744186046512,"Monroe","Riga town","New York"
"3605563000",2016,"Overall","Overall",32.8,0.9,2.74390243902439,"Monroe","Rochester city","New York"
"3605564144",2016,"Overall","Overall",4.8,3.7,77.0833333333333,"Monroe","Rush town","New York"
"3605572455",2016,"Overall","Overall",19,3.1,16.3157894736842,"Monroe","Sweden town","New York"
"3605578971",2016,"Overall","Overall",6.7,1.4,20.8955223880597,"Monroe","Webster town","New York"
"3605581402",2016,"Overall","Overall",8.6,4,46.5116279069767,"Monroe","Wheatland town","New York"
"3606908378",2016,"Overall","Overall",4.7,2.4,51.063829787234,"Ontario","Bristol town","New York"
"3606912100",2016,"Overall","Overall",10,6.2,62,"Ontario","Canadice town","New York"
"3606912144",2016,"Overall","Overall",16.3,3.6,22.0858895705521,"Ontario","Canandaigua city","New York"
"3606912155",2016,"Overall","Overall",9.8,2.9,29.5918367346939,"Ontario","Canandaigua town","New York"
"3606921699",2016,"Overall","Overall",8.3,2.9,34.9397590361446,"Ontario","East Bloomfield town","New York"
"3606925406",2016,"Overall","Overall",9.7,3.4,35.0515463917526,"Ontario","Farmington town","New York"
"3606928640",2016,"Overall","Overall",21.7,4.7,21.6589861751152,"Ontario","Geneva city","New York"
"3606928651",2016,"Overall","Overall",16.4,6.8,41.4634146341463,"Ontario","Geneva town","New York"
"3606929531",2016,"Overall","Overall",6.5,3.8,58.4615384615385,"Ontario","Gorham town","New York"
"3606935551",2016,"Overall","Overall",8.6,4,46.5116279069767,"Ontario","Hopewell town","New York"
"3606944864",2016,"Overall","Overall",9.9,2.4,24.2424242424242,"Ontario","Manchester town","New York"
"3606949440",2016,"Overall","Overall",15.4,5.1,33.1168831168831,"Ontario","Naples town","New York"
"3606957529",2016,"Overall","Overall",9.8,3.7,37.7551020408163,"Ontario","Phelps town","New York"
"3606961544",2016,"Overall","Overall",2.2,2.1,95.4545454545455,"Ontario","Richmond town","New York"
"3606966289",2016,"Overall","Overall",6.4,3.7,57.8125,"Ontario","Seneca town","New York"
"3606968660",2016,"Overall","Overall",10.3,6.7,65.0485436893204,"Ontario","South Bristol town","New York"
"3606977387",2016,"Overall","Overall",2.1,0.9,42.8571428571429,"Ontario","Victor town","New York"
"3606979356",2016,"Overall","Overall",9.8,3.1,31.6326530612245,"Ontario","West Bloomfield town","New York"
"3607300000",2016,"Overall","Overall",NA,0,NA,"Orleans","County subdivisions not defined","New York"
"3607301044",2016,"Overall","Overall",27.4,8,29.1970802919708,"Orleans","Albion town","New York"
"3607304572",2016,"Overall","Overall",10.7,3.6,33.6448598130841,"Orleans","Barre town","New York"
"3607312496",2016,"Overall","Overall",13.8,5.1,36.9565217391304,"Orleans","Carlton town","New York"
"3607315880",2016,"Overall","Overall",12.6,5.8,46.031746031746,"Orleans","Clarendon town","New York"
"3607327958",2016,"Overall","Overall",11.9,6.7,56.3025210084034,"Orleans","Gaines town","New York"
