"GEOID","year","variable","Variable_Description","estimate","moe","moe_pct_of_estimate","County","Geography","State","count"
"36099",2017,"B17001H_PovAllAges","White alone, not Hispanic or Latino",10.729470054568,1.51317331190787,14.1029641185647,"Seneca","Seneca County","New York",3205
"36099",2017,"B17001B_PovAllAges","Black or African American alone",7.94520547945206,6.57534246575342,82.7586206896552,"Seneca","Seneca County","New York",29
"36099",2017,"B17001I_PovAllAges","Hispanic or Latino",32.3485967503693,14.1802067946824,43.8356164383562,"Seneca","Seneca County","New York",219
"36099",2017,"B17001D_PovAllAges","Asian alone",33.3333333333333,16.6666666666667,50,"Seneca","Seneca County","New York",80
"36099",2017,"B17001C_PovAllAges","American Indian and Alaska Native alone",6.74157303370786,10.1123595505618,150,"Seneca","Seneca County","New York",6
"36099",2017,"B17001E_PovAllAges","Native Hawaiian and Other Pacific Islander alone",100,200,200,"Seneca","Seneca County","New York",3
"36099",2017,"B17001F_PovAllAges","Some Other Race alone",12.1621621621622,17.5675675675676,144.444444444444,"Seneca","Seneca County","New York",9
"36099",2017,"B17001G_PovAllAges","Two or More Races",39.1304347826087,26.4492753623188,67.5925925925926,"Seneca","Seneca County","New York",216
"36069",2017,"B17001H_PovAllAges","White alone, not Hispanic or Latino",8.32546607048376,0.840327416460043,10.0934579439252,"Ontario","Ontario County","New York",8025
"36069",2017,"B17001B_PovAllAges","Black or African American alone",23.2538686741949,9.87034713508992,42.4460431654676,"Ontario","Ontario County","New York",556
"36069",2017,"B17001I_PovAllAges","Hispanic or Latino",27.2310713506437,5.17128518437705,18.9903846153846,"Ontario","Ontario County","New York",1248
"36069",2017,"B17001D_PovAllAges","Asian alone",25,13.3550488599349,53.4201954397394,"Ontario","Ontario County","New York",307
"36069",2017,"B17001C_PovAllAges","American Indian and Alaska Native alone",11.9638826185102,15.8013544018059,132.075471698113,"Ontario","Ontario County","New York",53
"36069",2017,"B17001E_PovAllAges","Native Hawaiian and Other Pacific Islander alone",0,20.7692307692308,NA,"Ontario","Ontario County","New York",0
"36069",2017,"B17001F_PovAllAges","Some Other Race alone",35.2902804957599,15.0684931506849,42.6987060998152,"Ontario","Ontario County","New York",541
"36069",2017,"B17001G_PovAllAges","Two or More Races",15.3183023872679,10.3448275862069,67.5324675324675,"Ontario","Ontario County","New York",231
"36073",2017,"B17001H_PovAllAges","White alone, not Hispanic or Latino",13.5115627796865,1.78710627363802,13.2264957264957,"Orleans","Orleans County","New York",4680
"36073",2017,"B17001B_PovAllAges","Black or African American alone",25.4470426409904,8.45942228335626,33.2432432432432,"Orleans","Orleans County","New York",370
"36073",2017,"B17001I_PovAllAges","Hispanic or Latino",52.0523497917906,11.8976799524093,22.8571428571429,"Orleans","Orleans County","New York",875
"36073",2017,"B17001D_PovAllAges","Asian alone",35.3951890034364,26.8041237113402,75.7281553398058,"Orleans","Orleans County","New York",103
"36073",2017,"B17001C_PovAllAges","American Indian and Alaska Native alone",36.0902255639098,35.3383458646617,97.9166666666667,"Orleans","Orleans County","New York",48
"36073",2017,"B17001E_PovAllAges","Native Hawaiian and Other Pacific Islander alone",83.3333333333333,141.666666666667,170,"Orleans","Orleans County","New York",20
"36073",2017,"B17001F_PovAllAges","Some Other Race alone",73.5614307931571,46.656298600311,63.4249471458774,"Orleans","Orleans County","New York",473
"36073",2017,"B17001G_PovAllAges","Two or More Races",18.2529335071708,12.1251629726206,66.4285714285714,"Orleans","Orleans County","New York",140
"36055",2017,"B17001H_PovAllAges","White alone, not Hispanic or Latino",8.13566638342884,0.318302284115413,3.91243039124304,"Monroe","Monroe County","New York",41841
"36055",2017,"B17001B_PovAllAges","Black or African American alone",34.8065402459349,1.53326426737534,4.4051039159355,"Monroe","Monroe County","New York",38637
"36055",2017,"B17001I_PovAllAges","Hispanic or Latino",33.5279853516108,2.03064944491183,6.05658056580566,"Monroe","Monroe County","New York",20325
"36055",2017,"B17001D_PovAllAges","Asian alone",17.5814784601639,2.65314842869906,15.090587715422,"Monroe","Monroe County","New York",4526
"36055",2017,"B17001C_PovAllAges","American Indian and Alaska Native alone",37.3856209150327,9.80392156862745,26.2237762237762,"Monroe","Monroe County","New York",1144
"36055",2017,"B17001E_PovAllAges","Native Hawaiian and Other Pacific Islander alone",14.7727272727273,11.3636363636364,76.9230769230769,"Monroe","Monroe County","New York",26
"36055",2017,"B17001F_PovAllAges","Some Other Race alone",35.2022058823529,5.02450980392157,14.2732811140122,"Monroe","Monroe County","New York",4596
