"GEOID","year","variable","Variable_Description","estimate","moe","moe_pct_of_estimate","County","Geography","State","count"
"3606928651",2017,"B17001H_PovAllAges","White alone, not Hispanic or Latino",8.90468227424749,3.90260109597062,43.8263935284588,"Ontario","Geneva town","New York",213
"3606928651",2017,"B17001B_PovAllAges","Black or African American alone",38.2716049382716,29.6884520322711,77.5730520843214,"Ontario","Geneva town","New York",31
"3606928651",2017,"B17001I_PovAllAges","Hispanic or Latino",73.0061349693252,27.5034296270509,37.6727649513386,"Ontario","Geneva town","New York",357
"3606928651",2017,"B17001D_PovAllAges","Asian alone",0,4.60251046025105,NA,"Ontario","Geneva town","New York",0
"3606928651",2017,"B17001C_PovAllAges","American Indian and Alaska Native alone",0,0,NA,"Ontario","Geneva town","New York",0
"3606928651",2017,"B17001E_PovAllAges","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Ontario","Geneva town","New York",0
"3606928651",2017,"B17001F_PovAllAges","Some Other Race alone",81.1688311688312,41.1158416654539,50.6547169318393,"Ontario","Geneva town","New York",250
"3606928651",2017,"B17001G_PovAllAges","Two or More Races",67.8899082568807,69.6897682283868,102.651145093164,"Ontario","Geneva town","New York",74
"3606935551",2017,"B17001H_PovAllAges","White alone, not Hispanic or Latino",11.3880126182965,5.96909289702984,52.4155802869379,"Ontario","Hopewell town","New York",361
"3606935551",2017,"B17001B_PovAllAges","Black or African American alone",14.6341463414634,22.7149893691548,155.219094022558,"Ontario","Hopewell town","New York",6
"3606935551",2017,"B17001I_PovAllAges","Hispanic or Latino",24.21875,31.1638383376752,128.676493781368,"Ontario","Hopewell town","New York",31
"3606935551",2017,"B17001D_PovAllAges","Asian alone",0,0,NA,"Ontario","Hopewell town","New York",0
"3606935551",2017,"B17001C_PovAllAges","American Indian and Alaska Native alone",0,157.142857142857,NA,"Ontario","Hopewell town","New York",0
"3606935551",2017,"B17001E_PovAllAges","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Ontario","Hopewell town","New York",0
"3606935551",2017,"B17001F_PovAllAges","Some Other Race alone",100,377.123616632825,377.123616632825,"Ontario","Hopewell town","New York",6
"3606935551",2017,"B17001G_PovAllAges","Two or More Races",0,18.9655172413793,NA,"Ontario","Hopewell town","New York",0
"3606961544",2017,"B17001H_PovAllAges","White alone, not Hispanic or Latino",2.52365930599369,2.23591148958803,88.5979927749256,"Ontario","Richmond town","New York",72
"3606961544",2017,"B17001B_PovAllAges","Black or African American alone",0,0,NA,"Ontario","Richmond town","New York",0
"3606961544",2017,"B17001I_PovAllAges","Hispanic or Latino",0,3.85964912280702,NA,"Ontario","Richmond town","New York",0
"3606961544",2017,"B17001D_PovAllAges","Asian alone",0,0,NA,"Ontario","Richmond town","New York",0
