"GEOID","year","variable","Variable_Description","estimate","moe","moe_pct_of_estimate","County","Geography","State"
"36037",2015,"Male","Male",12,1.3,10.8333333333333,"Genesee","Genesee County","New York"
"36051",2015,"Male","Male",13.1,1.6,12.2137404580153,"Livingston","Livingston County","New York"
"36055",2015,"Male","Male",13.9,0.5,3.59712230215827,"Monroe","Monroe County","New York"
"36069",2015,"Male","Male",9.5,1,10.5263157894737,"Ontario","Ontario County","New York"
"36073",2015,"Male","Male",14.4,2.2,15.2777777777778,"Orleans","Orleans County","New York"
"36099",2015,"Male","Male",11.4,1.7,14.9122807017544,"Seneca","Seneca County","New York"
"36117",2015,"Male","Male",12.2,1.5,12.2950819672131,"Wayne","Wayne County","New York"
"36123",2015,"Male","Male",13.5,2.4,17.7777777777778,"Yates","Yates County","New York"
"36037",2016,"Male","Male",11.3,1.5,13.2743362831858,"Genesee","Genesee County","New York"
"36051",2016,"Male","Male",13.9,1.9,13.6690647482014,"Livingston","Livingston County","New York"
"36055",2016,"Male","Male",13.6,0.4,2.94117647058824,"Monroe","Monroe County","New York"
"36069",2016,"Male","Male",9.1,1.1,12.0879120879121,"Ontario","Ontario County","New York"
"36073",2016,"Male","Male",13.8,2,14.4927536231884,"Orleans","Orleans County","New York"
"36099",2016,"Male","Male",10.6,1.9,17.9245283018868,"Seneca","Seneca County","New York"
"36117",2016,"Male","Male",11.5,1.4,12.1739130434783,"Wayne","Wayne County","New York"
"36123",2016,"Male","Male",13.3,2.4,18.0451127819549,"Yates","Yates County","New York"
"36037",2017,"Male","Male",11.9,1.6,13.4453781512605,"Genesee","Genesee County","New York"
"36051",2017,"Male","Male",13.8,1.5,10.8695652173913,"Livingston","Livingston County","New York"
"36055",2017,"Male","Male",13.7,0.5,3.64963503649635,"Monroe","Monroe County","New York"
"36069",2017,"Male","Male",9,1,11.1111111111111,"Ontario","Ontario County","New York"
"36073",2017,"Male","Male",13.3,1.9,14.2857142857143,"Orleans","Orleans County","New York"
"36099",2017,"Male","Male",10,1.6,16,"Seneca","Seneca County","New York"
"36117",2017,"Male","Male",11,1.3,11.8181818181818,"Wayne","Wayne County","New York"
"36123",2017,"Male","Male",11.9,2.3,19.327731092437,"Yates","Yates County","New York"
"36037",2018,"Male","Male",10.2,1.3,12.7450980392157,"Genesee","Genesee County","New York"
"36051",2018,"Male","Male",12.6,1.7,13.4920634920635,"Livingston","Livingston County","New York"
"36055",2018,"Male","Male",13.6,0.5,3.67647058823529,"Monroe","Monroe County","New York"
