"GEOID","year","variable","Variable_Description","estimate","moe","moe_pct_of_estimate","County","Geography","State"
"3603700474",2015,"Male","Male",10.2,5.2,50.9803921568628,"Genesee","Alabama town","New York"
"3603701165",2015,"Male","Male",6.1,3.2,52.4590163934426,"Genesee","Alexander town","New York"
"3603704715",2015,"Male","Male",22.7,3.6,15.8590308370044,"Genesee","Batavia city","New York"
"3603704726",2015,"Male","Male",7.9,4.4,55.6962025316456,"Genesee","Batavia town","New York"
"3603706057",2015,"Male","Male",10.2,5.5,53.921568627451,"Genesee","Bergen town","New York"
"3603706266",2015,"Male","Male",5.4,2.8,51.8518518518518,"Genesee","Bethany town","New York"
"3603711572",2015,"Male","Male",9.9,7.9,79.7979797979798,"Genesee","Byron town","New York"
"3603719719",2015,"Male","Male",7.9,4.5,56.9620253164557,"Genesee","Darien town","New York"
"3603723756",2015,"Male","Male",9.9,5.4,54.5454545454546,"Genesee","Elba town","New York"
"3603742037",2015,"Male","Male",6.8,3.2,47.0588235294118,"Genesee","Le Roy town","New York"
"3603754166",2015,"Male","Male",8.1,4.4,54.320987654321,"Genesee","Oakfield town","New York"
"3603756792",2015,"Male","Male",11.6,5.9,50.8620689655172,"Genesee","Pavilion town","New York"
"3603757078",2015,"Male","Male",8.1,4.5,55.5555555555556,"Genesee","Pembroke town","New York"
"3603770607",2015,"Male","Male",9.3,4.1,44.0860215053763,"Genesee","Stafford town","New York"
"3603775011",2015,"Male","Male",21.8,7.1,32.5688073394495,"Genesee","Tonawanda Reservation","New York"
"3605103364",2015,"Male","Male",7.5,2.9,38.6666666666667,"Livingston","Avon town","New York"
"3605111715",2015,"Male","Male",6,3.1,51.6666666666667,"Livingston","Caledonia town","New York"
"3605117618",2015,"Male","Male",14.4,5.9,40.9722222222222,"Livingston","Conesus town","New York"
"3605128629",2015,"Male","Male",26.3,5.9,22.4334600760456,"Livingston","Geneseo town","New York"
"3605131016",2015,"Male","Male",10.3,5.3,51.4563106796116,"Livingston","Groveland town","New York"
"3605141883",2015,"Male","Male",17.1,10.9,63.7426900584795,"Livingston","Leicester town","New York"
"3605142334",2015,"Male","Male",9.7,3.9,40.2061855670103,"Livingston","Lima town","New York"
"3605142961",2015,"Male","Male",9.7,6.7,69.0721649484536,"Livingston","Livonia town","New York"
"3605148956",2015,"Male","Male",20.4,7.8,38.2352941176471,"Livingston","Mount Morris town","New York"
"3605151869",2015,"Male","Male",17,7.9,46.4705882352941,"Livingston","North Dansville town","New York"
"3605154089",2015,"Male","Male",11.2,3.8,33.9285714285714,"Livingston","Nunda town","New York"
"3605155508",2015,"Male","Male",6.8,4.8,70.5882352941177,"Livingston","Ossian town","New York"
