"GEOID","year","variable","Variable_Description","estimate","moe","moe_pct_of_estimate","County","Geography","State","count"
"36037",2017,"B03002_003","White (Non-Hispanic)",90.7460238823308,0.0700411705417087,0.077183734939759,"Genesee","Genesee County","New York",53120
"36037",2017,"B03002_004","Black (Non-Hispanic)",2.3608999436254,0.297247894494081,12.5904486251809,"Genesee","Genesee County","New York",1382
"36037",2017,"B03002_005","Native American (Non-Hispanic)",0.949826605394879,0.191331978065155,20.1438848920863,"Genesee","Genesee County","New York",556
"36037",2017,"B03002_006","Asian (Non-Hispanic)",0.693578420486188,0.145207304781591,20.935960591133,"Genesee","Genesee County","New York",406
"36037",2017,"B03002_007","Pacific Islander (Non-Hispanic)",0,0.0461246732835642,NA,"Genesee","Genesee County","New York",0
"36037",2017,"B03002_008","Other (Non-Hispanic)",0.109332558894374,0.0700411705417087,64.0625,"Genesee","Genesee County","New York",64
"36037",2017,"B03002_009","Two or More Races (Non-Hispanic)",2.034610588175,0.368997386268514,18.1360201511335,"Genesee","Genesee County","New York",1191
"36037",2017,"B03002_012","Hispanic or Latino (Any Race)",3.10572800109333,0,0,"Genesee","Genesee County","New York",1818
"36051",2017,"B03002_003","White (Non-Hispanic)",90.9511751821416,0.0388361580165597,0.0427000068320011,"Livingston","Livingston County","New York",58548
"36051",2017,"B03002_004","Black (Non-Hispanic)",2.46842620353254,0.229910055458034,9.31403398363751,"Livingston","Livingston County","New York",1589
"36051",2017,"B03002_005","Native American (Non-Hispanic)",0.14291706150094,0.091653332919081,64.1304347826087,"Livingston","Livingston County","New York",92
"36051",2017,"B03002_006","Asian (Non-Hispanic)",1.3794603327482,0.189520451120812,13.7387387387387,"Livingston","Livingston County","New York",888
"36051",2017,"B03002_007","Pacific Islander (Non-Hispanic)",0.0233016948099358,0.0310689264132478,133.333333333333,"Livingston","Livingston County","New York",15
"36051",2017,"B03002_008","Other (Non-Hispanic)",0.108741242446367,0.107187796125705,98.5714285714286,"Livingston","Livingston County","New York",70
"36051",2017,"B03002_009","Two or More Races (Non-Hispanic)",1.48975502151523,0.288941015643204,19.3952033368092,"Livingston","Livingston County","New York",959
"36051",2017,"B03002_012","Hispanic or Latino (Any Race)",3.43622326130521,0,0,"Livingston","Livingston County","New York",2212
"36055",2017,"B03002_003","White (Non-Hispanic)",70.9691724101085,0.0589036704600096,0.0829989535732838,"Monroe","Monroe County","New York",531332
"36055",2017,"B03002_004","Black (Non-Hispanic)",14.4694662606187,0.151199444355399,1.04495522939167,"Monroe","Monroe County","New York",108330
"36055",2017,"B03002_005","Native American (Non-Hispanic)",0.158278570283699,0.0264465459208206,16.7088607594937,"Monroe","Monroe County","New York",1185
"36055",2017,"B03002_006","Asian (Non-Hispanic)",3.64428060052359,0.086819468931987,2.38234862923325,"Monroe","Monroe County","New York",27284
"36055",2017,"B03002_007","Pacific Islander (Non-Hispanic)",0.0188331463375541,0.00694555751455896,36.8794326241135,"Monroe","Monroe County","New York",141
"36055",2017,"B03002_008","Other (Non-Hispanic)",0.193674199925202,0.0709248276967463,36.6206896551724,"Monroe","Monroe County","New York",1450
"36055",2017,"B03002_009","Two or More Races (Non-Hispanic)",2.1992039322541,0.183790137308329,8.35712116610993,"Monroe","Monroe County","New York",16465
"36055",2017,"B03002_012","Hispanic or Latino (Any Race)",8.34709087994871,0,0,"Monroe","Monroe County","New York",62493
"36069",2017,"B03002_003","White (Non-Hispanic)",90.2813929912048,0.107771415002146,0.119372787051088,"Ontario","Ontario County","New York",98850
"36069",2017,"B03002_004","Black (Non-Hispanic)",2.26502634919765,0.197276488478505,8.70967741935484,"Ontario","Ontario County","New York",2480
"36069",2017,"B03002_005","Native American (Non-Hispanic)",0.209149610470267,0.065758829492835,31.4410480349345,"Ontario","Ontario County","New York",229
"36069",2017,"B03002_006","Asian (Non-Hispanic)",1.30330346786494,0.143390780977432,11.0021023125438,"Ontario","Ontario County","New York",1427
"36069",2017,"B03002_007","Pacific Islander (Non-Hispanic)",0.118731219917619,0.115991268688751,97.6923076923077,"Ontario","Ontario County","New York",130
"36069",2017,"B03002_008","Other (Non-Hispanic)",0.150697317587747,0.10229151254441,67.8787878787879,"Ontario","Ontario County","New York",165
"36069",2017,"B03002_009","Two or More Races (Non-Hispanic)",1.23571800421953,0.230155903224923,18.6252771618625,"Ontario","Ontario County","New York",1353
"36069",2017,"B03002_012","Hispanic or Latino (Any Race)",4.4359810395375,0,0,"Ontario","Ontario County","New York",4857
"36073",2017,"B03002_003","White (Non-Hispanic)",86.5260677183532,0.067333589842247,0.0778188488368861,"Orleans","Orleans County","New York",35981
"36073",2017,"B03002_004","Black (Non-Hispanic)",5.86283185840708,0.483358984224702,8.24446267432322,"Orleans","Orleans County","New York",2438
"36073",2017,"B03002_005","Native American (Non-Hispanic)",0.379953828395537,0.165929203539823,43.6708860759494,"Orleans","Orleans County","New York",158
"36073",2017,"B03002_006","Asian (Non-Hispanic)",0.654097729896114,0.0841669873028088,12.8676470588235,"Orleans","Orleans County","New York",272
"36073",2017,"B03002_007","Pacific Islander (Non-Hispanic)",0.0577145055790689,0.0841669873028088,145.833333333333,"Orleans","Orleans County","New York",24
"36073",2017,"B03002_008","Other (Non-Hispanic)",0.0577145055790689,0.067333589842247,116.666666666667,"Orleans","Orleans County","New York",24
"36073",2017,"B03002_009","Two or More Races (Non-Hispanic)",1.72181608310889,0.507406694882647,29.4692737430168,"Orleans","Orleans County","New York",716
"36073",2017,"B03002_012","Hispanic or Latino (Any Race)",4.73980377068103,0,0,"Orleans","Orleans County","New York",1971
"36099",2017,"B03002_003","White (Non-Hispanic)",89.3493671612662,0.0200901185316993,0.0224849029937042,"Seneca","Seneca County","New York",31132
"36099",2017,"B03002_004","Black (Non-Hispanic)",4.63507734695635,0.358752116637488,7.73993808049535,"Seneca","Seneca County","New York",1615
"36099",2017,"B03002_005","Native American (Non-Hispanic)",0.31283184570789,0.137760812788795,44.0366972477064,"Seneca","Seneca County","New York",109
"36099",2017,"B03002_006","Asian (Non-Hispanic)",0.720374250208076,0.114800677323996,15.9362549800797,"Seneca","Seneca County","New York",251
"36099",2017,"B03002_007","Pacific Islander (Non-Hispanic)",0.00861005079929972,0.0172201015985994,200,"Seneca","Seneca County","New York",3
"36099",2017,"B03002_008","Other (Non-Hispanic)",0.0229601354647992,0.0401802370633987,175,"Seneca","Seneca County","New York",8
"36099",2017,"B03002_009","Two or More Races (Non-Hispanic)",1.68182992279654,0.416152455299486,24.7440273037543,"Seneca","Seneca County","New York",586
"36099",2017,"B03002_012","Hispanic or Latino (Any Race)",3.26894928680079,0,0,"Seneca","Seneca County","New York",1139
"36117",2017,"B03002_003","White (Non-Hispanic)",90.2462763281643,0.0535858795739376,0.0593773856985325,"Wayne","Wayne County","New York",82523
"36117",2017,"B03002_004","Black (Non-Hispanic)",2.92097723146913,0.207781982021391,7.11344065892924,"Wayne","Wayne County","New York",2671
"36117",2017,"B03002_005","Native American (Non-Hispanic)",0.145447387414973,0.0623345946064172,42.8571428571429,"Wayne","Wayne County","New York",133
"36117",2017,"B03002_006","Asian (Non-Hispanic)",0.66927669998469,0.122482010454714,18.3006535947712,"Wayne","Wayne County","New York",612
"36117",2017,"B03002_007","Pacific Islander (Non-Hispanic)",0.0721768990179567,0.0754576671551366,104.545454545455,"Wayne","Wayne County","New York",66
"36117",2017,"B03002_008","Other (Non-Hispanic)",0.0393692176461582,0.0317140919927386,80.5555555555555,"Wayne","Wayne County","New York",36
"36117",2017,"B03002_009","Two or More Races (Non-Hispanic)",1.69506353754292,0.250431967804729,14.7741935483871,"Wayne","Wayne County","New York",1550
"36117",2017,"B03002_012","Hispanic or Latino (Any Race)",4.21141269875987,0,0,"Wayne","Wayne County","New York",3851
"36123",2017,"B03002_003","White (Non-Hispanic)",94.9049156799426,0.247179364509827,0.260449485402226,"Yates","Yates County","New York",23805
"36123",2017,"B03002_004","Black (Non-Hispanic)",0.992704221983016,0.247179364509827,24.8995983935743,"Yates","Yates County","New York",249
"36123",2017,"B03002_005","Native American (Non-Hispanic)",0.0717617509867241,0.0837220428178447,116.666666666667,"Yates","Yates County","New York",18
