"GEOID","year","variable","Variable_Description","estimate","moe","moe_pct_of_estimate","County","Geography","State","count"
"36037",2017,"Not Burdened","Not Burdened",49.3315101792768,5.032743674242,10.2018844668497,"Genesee","Genesee County","New York",3247
"36037",2017,"Not Computed","Not Computed",10.3160133697964,2.08143421452446,20.1767304860088,"Genesee","Genesee County","New York",679
"36037",2017,"Rent Burdened","Rent Burdened",19.0367669401398,3.26570694500667,17.1547351253263,"Genesee","Genesee County","New York",1253
"36037",2017,"Severely Rent Burdened","Severely Rent Burdened",21.315709510787,3.34244910361592,15.6806842480399,"Genesee","Genesee County","New York",1403
"36037",2018,"Not Burdened","Not Burdened",50.4320987654321,5.6471993738645,11.1976291134155,"Genesee","Genesee County","New York",3268
"36037",2018,"Not Computed","Not Computed",11.1574074074074,2.23765432098765,20.0553250345781,"Genesee","Genesee County","New York",723
"36037",2018,"Rent Burdened","Rent Burdened",17.3148148148148,3.18727949379392,18.4078173973125,"Genesee","Genesee County","New York",1122
"36037",2018,"Severely Rent Burdened","Severely Rent Burdened",21.0956790123457,3.48765432098765,16.5325530358449,"Genesee","Genesee County","New York",1367
"36037",2019,"Not Burdened","Not Burdened",51.4792899408284,5.31490791816377,10.3243613582722,"Genesee","Genesee County","New York",3393
"36037",2019,"Not Computed","Not Computed",10.7419208010924,2.23031406463359,20.7627118644068,"Genesee","Genesee County","New York",708
"36037",2019,"Rent Burdened","Rent Burdened",17.8425125170687,3.04054158393907,17.0409945405973,"Genesee","Genesee County","New York",1176
"36037",2019,"Severely Rent Burdened","Severely Rent Burdened",19.9362767410105,3.32271279016841,16.6666666666667,"Genesee","Genesee County","New York",1314
"36037",2020,"Not Burdened","Not Burdened",52.5700584444777,6.54184793505958,12.444056804633,"Genesee","Genesee County","New York",3508
"36037",2020,"Not Computed","Not Computed",8.33208451970628,1.72336280533493,20.6834532374101,"Genesee","Genesee County","New York",556
"36037",2020,"Rent Burdened","Rent Burdened",18.3725460812228,3.52815289158982,19.203396611402,"Genesee","Genesee County","New York",1226
"36037",2020,"Severely Rent Burdened","Severely Rent Burdened",20.7253109545931,3.70148359058894,17.8597252349964,"Genesee","Genesee County","New York",1383
"36037",2021,"Not Burdened","Not Burdened",52.8262490678598,6.69986578715042,12.682834585783,"Genesee","Genesee County","New York",3542
"36037",2021,"Not Computed","Not Computed",7.71066368381805,2.16256524981357,28.0464216634429,"Genesee","Genesee County","New York",517
"36037",2021,"Rent Burdened","Rent Burdened",19.537658463833,3.94450011341303,20.1892162293392,"Genesee","Genesee County","New York",1310
"36037",2021,"Severely Rent Burdened","Severely Rent Burdened",19.9254287844892,3.92244593586875,19.685628742515,"Genesee","Genesee County","New York",1336
"36037",2022,"Not Burdened","Not Burdened",50.8850238571648,6.5333089140528,12.8393551163342,"Genesee","Genesee County","New York",3306
"36037",2022,"Not Computed","Not Computed",6.83392334923811,1.93935662613514,28.3783783783784,"Genesee","Genesee County","New York",444
"36037",2022,"Rent Burdened","Rent Burdened",21.7792827458827,4.51043033724173,20.7097285519855,"Genesee","Genesee County","New York",1415
"36037",2022,"Severely Rent Burdened","Severely Rent Burdened",20.5017700477143,4.07880560258581,19.8948948948949,"Genesee","Genesee County","New York",1332
"36037",2023,"Not Burdened","Not Burdened",51.5028177833438,6.4956883940526,12.6122971006711,"Genesee","Genesee County","New York",3290
"36037",2023,"Not Computed","Not Computed",6.95053224796493,2.14464621164684,30.8558558558559,"Genesee","Genesee County","New York",444
"36037",2023,"Rent Burdened","Rent Burdened",22.3700688791484,4.65358359746078,20.8027235973264,"Genesee","Genesee County","New York",1429
"36037",2023,"Severely Rent Burdened","Severely Rent Burdened",19.1765810895429,3.58484658735128,18.6938775510204,"Genesee","Genesee County","New York",1225
"36037",2024,"Not Burdened","Not Burdened",51.3952775222324,6.52019299380187,12.686365962284,"Genesee","Genesee County","New York",3352
"36037",2024,"Not Computed","Not Computed",6.65440049064704,1.99325360318921,29.9539170506912,"Genesee","Genesee County","New York",434
"36037",2024,"Rent Burdened","Rent Burdened",21.6804661146887,4.05633766089706,18.7096423086072,"Genesee","Genesee County","New York",1414
"36037",2024,"Severely Rent Burdened","Severely Rent Burdened",20.2698558724318,4.50781968721251,22.2390317700454,"Genesee","Genesee County","New York",1322
"36051",2017,"Not Burdened","Not Burdened",40.3422982885086,5.49897230535072,13.6307858962936,"Livingston","Livingston County","New York",2640
"36051",2017,"Not Computed","Not Computed",6.40281173594132,1.9559902200489,30.5489260143198,"Livingston","Livingston County","New York",419
"36051",2017,"Rent Burdened","Rent Burdened",24.4345965770171,4.27537088824917,17.497202684617,"Livingston","Livingston County","New York",1599
"36051",2017,"Severely Rent Burdened","Severely Rent Burdened",28.820293398533,5.14975550122249,17.8685047720042,"Livingston","Livingston County","New York",1886
"36051",2018,"Not Burdened","Not Burdened",39.891975308642,5.97469403659894,14.977182730043,"Livingston","Livingston County","New York",2585
"36051",2018,"Not Computed","Not Computed",6.04938271604938,1.91358024691358,31.6326530612245,"Livingston","Livingston County","New York",392
"36051",2018,"Rent Burdened","Rent Burdened",23.1481481481481,4.35704750699422,18.822445230215,"Livingston","Livingston County","New York",1500
"36051",2018,"Severely Rent Burdened","Severely Rent Burdened",30.9104938271605,5.01543209876543,16.2256615077384,"Livingston","Livingston County","New York",2003
"36051",2019,"Not Burdened","Not Burdened",42.6821300228683,6.06052933004545,14.1992195019282,"Livingston","Livingston County","New York",2613
"36051",2019,"Not Computed","Not Computed",6.33779810519438,1.68245671349232,26.5463917525773,"Livingston","Livingston County","New York",388
"36051",2019,"Rent Burdened","Rent Burdened",22.4273113361647,4.10819142602392,18.3178061981926,"Livingston","Livingston County","New York",1373
"36051",2019,"Severely Rent Burdened","Severely Rent Burdened",28.5527605357726,4.4593270173146,15.6178489702517,"Livingston","Livingston County","New York",1748
"36051",2020,"Not Burdened","Not Burdened",43.5059349733356,6.56990135855464,15.1011611693468,"Livingston","Livingston County","New York",2529
"36051",2020,"Not Computed","Not Computed",5.28126612764493,1.7374849475314,32.8990228013029,"Livingston","Livingston County","New York",307
"36051",2020,"Rent Burdened","Rent Burdened",22.9141579218992,4.64479359789268,20.2704092977103,"Livingston","Livingston County","New York",1332
"36051",2020,"Severely Rent Burdened","Severely Rent Burdened",28.2986409771203,4.90280405986582,17.3252279635258,"Livingston","Livingston County","New York",1645
"36051",2021,"Not Burdened","Not Burdened",44.7470133520731,6.54801522022621,14.6334128910591,"Livingston","Livingston County","New York",2547
"36051",2021,"Not Computed","Not Computed",5.04216444132115,1.56359803232607,31.0104529616725,"Livingston","Livingston County","New York",287
"36051",2021,"Rent Burdened","Rent Burdened",24.402670414617,4.75237321032216,19.4748080008306,"Livingston","Livingston County","New York",1389
"36051",2021,"Severely Rent Burdened","Severely Rent Burdened",25.8081517919888,4.55024595924104,17.6310415248468,"Livingston","Livingston County","New York",1469
"36051",2022,"Not Burdened","Not Burdened",43.2941176470588,5.82735163409785,13.4599154591934,"Livingston","Livingston County","New York",2392
"36051",2022,"Not Computed","Not Computed",7.92760180995475,2.55203619909502,32.1917808219178,"Livingston","Livingston County","New York",438
"36051",2022,"Rent Burdened","Rent Burdened",23.8914027149321,4.58486940004741,19.1904571479257,"Livingston","Livingston County","New York",1320
"36051",2022,"Severely Rent Burdened","Severely Rent Burdened",24.8868778280543,3.98190045248869,16,"Livingston","Livingston County","New York",1375
"36051",2023,"Not Burdened","Not Burdened",42.7468581687612,5.72632154099304,13.3958886952252,"Livingston","Livingston County","New York",2381
"36051",2023,"Not Computed","Not Computed",9.46140035906643,2.33393177737881,24.6679316888046,"Livingston","Livingston County","New York",527
"36051",2023,"Rent Burdened","Rent Burdened",24.7576301615799,4.30168473432893,17.3751877956578,"Livingston","Livingston County","New York",1379
"36051",2023,"Severely Rent Burdened","Severely Rent Burdened",23.0341113105925,4.25493716337522,18.4723304754482,"Livingston","Livingston County","New York",1283
"36051",2024,"Not Burdened","Not Burdened",38.9531870789428,4.94809910669156,12.7026810326552,"Livingston","Livingston County","New York",2255
"36051",2024,"Not Computed","Not Computed",10.6926930385213,2.91932976334427,27.3021001615509,"Livingston","Livingston County","New York",619
"36051",2024,"Rent Burdened","Rent Burdened",24.8920366211781,4.73033976462008,19.0034260217805,"Livingston","Livingston County","New York",1441
"36051",2024,"Severely Rent Burdened","Severely Rent Burdened",25.4620832613577,4.64674382449473,18.2496607869742,"Livingston","Livingston County","New York",1474
"36055",2017,"Not Burdened","Not Burdened",43.0869705192476,1.38732748210844,3.21983064808119,"Monroe","Monroe County","New York",46842
"36055",2017,"Not Computed","Not Computed",4.85581566481166,0.458078462033758,9.4336048494033,"Monroe","Monroe County","New York",5279
