"GEOID","year","variable","Variable_Description","estimate","moe","moe_pct_of_estimate","County","Geography","State"
"3603700474",2017,"Not Burdened","Not Burdened",51.2605042016807,23.937899966117,46.6985261634085,"Genesee","Alabama town","New York"
"3603700474",2017,"Not Computed","Not Computed",23.5294117647059,12.3860282588895,52.6406201002805,"Genesee","Alabama town","New York"
"3603700474",2017,"Rent Burdened","Rent Burdened",12.6050420168067,8.5865838124097,68.1202315784503,"Genesee","Alabama town","New York"
"3603700474",2017,"Severely Rent Burdened","Severely Rent Burdened",12.6050420168067,8.42049655852084,66.802606030932,"Genesee","Alabama town","New York"
"3603700474",2018,"Not Burdened","Not Burdened",53.968253968254,24.176906504447,44.7983855817694,"Genesee","Alabama town","New York"
"3603700474",2018,"Not Computed","Not Computed",22.2222222222222,13.3273714543493,59.9731715445718,"Genesee","Alabama town","New York"
"3603700474",2018,"Rent Burdened","Rent Burdened",14.2857142857143,7.98977910541853,55.9284537379298,"Genesee","Alabama town","New York"
"3603700474",2018,"Severely Rent Burdened","Severely Rent Burdened",9.52380952380952,6.4714194389227,67.9499041086884,"Genesee","Alabama town","New York"
"3603700474",2019,"Not Burdened","Not Burdened",59.375,23.7493369361273,39.998883260846,"Genesee","Alabama town","New York"
"3603700474",2019,"Not Computed","Not Computed",19.53125,13.1601181120304,67.3798047335958,"Genesee","Alabama town","New York"
"3603700474",2019,"Rent Burdened","Rent Burdened",12.5,12.1624184773331,97.2993478186648,"Genesee","Alabama town","New York"
"3603700474",2019,"Severely Rent Burdened","Severely Rent Burdened",8.59375,8.87483703772603,103.270830984448,"Genesee","Alabama town","New York"
"3603700474",2020,"Not Burdened","Not Burdened",61.9047619047619,26.4216374539159,42.6811066563256,"Genesee","Alabama town","New York"
"3603700474",2020,"Not Computed","Not Computed",20.4081632653061,14.5035322439729,71.0673079954673,"Genesee","Alabama town","New York"
"3603700474",2020,"Rent Burdened","Rent Burdened",10.8843537414966,9.84526483492511,90.4533706708745,"Genesee","Alabama town","New York"
"3603700474",2020,"Severely Rent Burdened","Severely Rent Burdened",6.80272108843537,6.32710196590634,93.0083988988232,"Genesee","Alabama town","New York"
"3603700474",2021,"Not Burdened","Not Burdened",57.8571428571429,22.2967939864487,38.5376686185533,"Genesee","Alabama town","New York"
"3603700474",2021,"Not Computed","Not Computed",20,13.8689198849626,69.3445994248129,"Genesee","Alabama town","New York"
"3603700474",2021,"Rent Burdened","Rent Burdened",15,11.9948968741048,79.9659791606984,"Genesee","Alabama town","New York"
"3603700474",2021,"Severely Rent Burdened","Severely Rent Burdened",7.14285714285714,5.33742727780491,74.7239818892687,"Genesee","Alabama town","New York"
"3603700474",2022,"Not Burdened","Not Burdened",71.969696969697,20.9437167534849,29.1007432785265,"Genesee","Alabama town","New York"
"3603700474",2022,"Not Computed","Not Computed",11.3636363636364,16.2503699614102,143.00325566041,"Genesee","Alabama town","New York"
"3603700474",2022,"Rent Burdened","Rent Burdened",6.81818181818182,11.5491037080024,169.386854384036,"Genesee","Alabama town","New York"
"3603700474",2022,"Severely Rent Burdened","Severely Rent Burdened",9.84848484848485,6.8629029271644,69.6848604912077,"Genesee","Alabama town","New York"
"3603700474",2023,"Not Burdened","Not Burdened",62.8571428571429,19.3813093474097,30.8339012345155,"Genesee","Alabama town","New York"
"3603700474",2023,"Not Computed","Not Computed",21.4285714285714,20.0153522917684,93.4049773615859,"Genesee","Alabama town","New York"
"3603700474",2023,"Rent Burdened","Rent Burdened",2.85714285714286,14.014554818908,490.509418661781,"Genesee","Alabama town","New York"
"3603700474",2023,"Severely Rent Burdened","Severely Rent Burdened",12.8571428571429,8.07090609521844,62.7737140739212,"Genesee","Alabama town","New York"
"3603700474",2024,"Not Burdened","Not Burdened",55.3030303030303,11.8216684761194,21.3761676554487,"Genesee","Alabama town","New York"
"3603700474",2024,"Not Computed","Not Computed",26.5151515151515,26.903389793999,101.464212937368,"Genesee","Alabama town","New York"
"3603700474",2024,"Rent Burdened","Rent Burdened",9.09090909090909,7.6325196340295,83.9577159743245,"Genesee","Alabama town","New York"
"3603700474",2024,"Severely Rent Burdened","Severely Rent Burdened",9.09090909090909,9.20085448604118,101.209399346453,"Genesee","Alabama town","New York"
"3603701165",2017,"Not Burdened","Not Burdened",43.859649122807,14.4322646449713,32.9055633905346,"Genesee","Alexander town","New York"
"3603701165",2017,"Not Computed","Not Computed",7.60233918128655,7.30954292642085,96.1486031090742,"Genesee","Alexander town","New York"
"3603701165",2017,"Rent Burdened","Rent Burdened",15.2046783625731,10.0430291079823,66.0522299024987,"Genesee","Alexander town","New York"
"3603701165",2017,"Severely Rent Burdened","Severely Rent Burdened",33.3333333333333,20.8859184966532,62.6577554899597,"Genesee","Alexander town","New York"
"3603701165",2018,"Not Burdened","Not Burdened",55.1569506726457,27.0209691647852,48.9892367784316,"Genesee","Alexander town","New York"
"3603701165",2018,"Not Computed","Not Computed",8.52017937219731,5.13971680934296,60.3240446570253,"Genesee","Alexander town","New York"
"3603701165",2018,"Rent Burdened","Rent Burdened",13.0044843049327,6.12119857825289,47.0699063086343,"Genesee","Alexander town","New York"
"3603701165",2018,"Severely Rent Burdened","Severely Rent Burdened",23.3183856502242,16.280691936914,69.8191211909968,"Genesee","Alexander town","New York"
"3603701165",2019,"Not Burdened","Not Burdened",63.0630630630631,26.8154125609826,42.5215827752724,"Genesee","Alexander town","New York"
"3603701165",2019,"Not Computed","Not Computed",8.10810810810811,5.96298951992945,73.5435374124633,"Genesee","Alexander town","New York"
