"GEOID","year","variable","Variable_Description","estimate","moe","moe_pct_of_estimate","County","Geography","State","count"
"36037",2017,"B17001B_SnrPov","Black or African American alone",14.2857142857143,33.0392469153686,231.27472840758,"Genesee","Genesee County","New York",25
"36037",2017,"B17001C_SnrPov","American Indian and Alaska Native alone",5.71428571428571,45.1854330067675,790.74507761843,"Genesee","Genesee County","New York",6
"36037",2017,"B17001D_SnrPov","Asian alone",24.5614035087719,69.6250345016998,283.47335475692,"Genesee","Genesee County","New York",14
"36037",2017,"B17001E_SnrPov","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Genesee","Genesee County","New York",0
"36037",2017,"B17001F_SnrPov","Some Other Race alone",40.9090909090909,121.606838378834,297.261160481594,"Genesee","Genesee County","New York",18
"36037",2017,"B17001G_SnrPov","Two or More Races",0,138.461538461538,NA,"Genesee","Genesee County","New York",0
"36037",2017,"B17001H_SnrPov","White alone, not Hispanic or Latino",6.7564723216165,1.32799800151448,19.6551978354994,"Genesee","Genesee County","New York",642
"36037",2017,"B17001I_SnrPov","Hispanic or Latino",21.6867469879518,64.4662757670928,297.261160481594,"Genesee","Genesee County","New York",18
"36037",2018,"B17001B_SnrPov","Black or African American alone",13.7254901960784,36.9324423387887,269.079222754032,"Genesee","Genesee County","New York",21
"36037",2018,"B17001C_SnrPov","American Indian and Alaska Native alone",0,48.2758620689655,NA,"Genesee","Genesee County","New York",0
"36037",2018,"B17001D_SnrPov","Asian alone",20.3389830508475,68.9936692781275,339.218873950794,"Genesee","Genesee County","New York",12
"36037",2018,"B17001E_SnrPov","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Genesee","Genesee County","New York",0
"36037",2018,"B17001F_SnrPov","Some Other Race alone",35.3846153846154,90.2462115449998,255.043641322825,"Genesee","Genesee County","New York",23
"36037",2018,"B17001G_SnrPov","Two or More Races",32.0754716981132,102.946965024179,320.952302722441,"Genesee","Genesee County","New York",17
"36037",2018,"B17001H_SnrPov","White alone, not Hispanic or Latino",7.70507103598465,1.38840898465165,18.0194183566566,"Genesee","Genesee County","New York",743
"36037",2018,"B17001I_SnrPov","Hispanic or Latino",29.8701298701299,76.1818668886362,255.043641322825,"Genesee","Genesee County","New York",23
"36037",2019,"B17001B_SnrPov","Black or African American alone",15.8273381294964,41.4091120321098,261.63029874833,"Genesee","Genesee County","New York",22
"36037",2019,"B17001C_SnrPov","American Indian and Alaska Native alone",0,49.5575221238938,NA,"Genesee","Genesee County","New York",0
"36037",2019,"B17001D_SnrPov","Asian alone",20.8333333333333,84.7022972927338,406.571027005122,"Genesee","Genesee County","New York",10
"36037",2019,"B17001E_SnrPov","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Genesee","Genesee County","New York",0
"36037",2019,"B17001F_SnrPov","Some Other Race alone",0,98.2456140350877,NA,"Genesee","Genesee County","New York",0
"36037",2019,"B17001G_SnrPov","Two or More Races",40.9090909090909,122.979538713352,300.616650188193,"Genesee","Genesee County","New York",18
"36037",2019,"B17001H_SnrPov","White alone, not Hispanic or Latino",7.47044435385243,1.42076928484341,19.0185378211236,"Genesee","Genesee County","New York",733
"36037",2019,"B17001I_SnrPov","Hispanic or Latino",0,78.8732394366197,NA,"Genesee","Genesee County","New York",0
"36037",2020,"B17001B_SnrPov","Black or African American alone",0,48.3333333333333,NA,"Genesee","Genesee County","New York",0
"36037",2020,"B17001C_SnrPov","American Indian and Alaska Native alone",21.4953271028037,41.1851673580013,191.600561187224,"Genesee","Genesee County","New York",23
"36037",2020,"B17001D_SnrPov","Asian alone",64.8648648648649,117.404360156613,180.998388574779,"Genesee","Genesee County","New York",24
"36037",2020,"B17001E_SnrPov","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Genesee","Genesee County","New York",0
"36037",2020,"B17001F_SnrPov","Some Other Race alone",0,74.3589743589744,NA,"Genesee","Genesee County","New York",0
"36037",2020,"B17001G_SnrPov","Two or More Races",27.6595744680851,116.672594645576,421.816303718621,"Genesee","Genesee County","New York",13
"36037",2020,"B17001H_SnrPov","White alone, not Hispanic or Latino",7.90994221956565,2.13157289519159,26.9480210603692,"Genesee","Genesee County","New York",794
"36037",2020,"B17001I_SnrPov","Hispanic or Latino",0,64.4444444444444,NA,"Genesee","Genesee County","New York",0
"36037",2021,"B17001B_SnrPov","Black or African American alone",0.980392156862745,51.027504626169,5204.80547186924,"Genesee","Genesee County","New York",1
"36037",2021,"B17001C_SnrPov","American Indian and Alaska Native alone",29.4642857142857,33.2761520599718,112.937243355056,"Genesee","Genesee County","New York",33
"36037",2021,"B17001D_SnrPov","Asian alone",87.5,119.425709124962,136.486524714242,"Genesee","Genesee County","New York",35
