GEOID,year,variable,Variable_Description,estimate,moe,moe_pct_of_estimate,County,Geography,State
36037,2015,Senior_Poverty_Total,Senior Poverty Rate (65+),6.8,1.2,17.6470588235294,Genesee,Genesee County,New York
36051,2015,Senior_Poverty_Total,Senior Poverty Rate (65+),8.0,1.6,20.0,Livingston,Livingston County,New York
36055,2015,Senior_Poverty_Total,Senior Poverty Rate (65+),7.0,0.5,7.14285714285714,Monroe,Monroe County,New York
36069,2015,Senior_Poverty_Total,Senior Poverty Rate (65+),6.2,1.1,17.741935483871,Ontario,Ontario County,New York
36073,2015,Senior_Poverty_Total,Senior Poverty Rate (65+),7.3,2.1,28.7671232876712,Orleans,Orleans County,New York
36099,2015,Senior_Poverty_Total,Senior Poverty Rate (65+),7.1,1.6,22.5352112676056,Seneca,Seneca County,New York
36117,2015,Senior_Poverty_Total,Senior Poverty Rate (65+),7.3,1.3,17.8082191780822,Wayne,Wayne County,New York
36123,2015,Senior_Poverty_Total,Senior Poverty Rate (65+),8.4,2.3,27.3809523809524,Yates,Yates County,New York
36037,2016,Senior_Poverty_Total,Senior Poverty Rate (65+),7.2,1.3,18.0555555555556,Genesee,Genesee County,New York
36051,2016,Senior_Poverty_Total,Senior Poverty Rate (65+),7.4,1.8,24.3243243243243,Livingston,Livingston County,New York
36055,2016,Senior_Poverty_Total,Senior Poverty Rate (65+),6.9,0.5,7.2463768115942,Monroe,Monroe County,New York
36069,2016,Senior_Poverty_Total,Senior Poverty Rate (65+),6.1,0.9,14.7540983606557,Ontario,Ontario County,New York
36073,2016,Senior_Poverty_Total,Senior Poverty Rate (65+),6.9,2.1,30.4347826086957,Orleans,Orleans County,New York
36099,2016,Senior_Poverty_Total,Senior Poverty Rate (65+),6.0,1.5,25.0,Seneca,Seneca County,New York
36117,2016,Senior_Poverty_Total,Senior Poverty Rate (65+),5.7,1.3,22.8070175438596,Wayne,Wayne County,New York
36123,2016,Senior_Poverty_Total,Senior Poverty Rate (65+),8.3,2.5,30.1204819277108,Yates,Yates County,New York
36037,2017,Senior_Poverty_Total,Senior Poverty Rate (65+),7.1,1.4,19.7183098591549,Genesee,Genesee County,New York
36051,2017,Senior_Poverty_Total,Senior Poverty Rate (65+),6.5,1.1,16.9230769230769,Livingston,Livingston County,New York
