"GEOID","year","variable","Variable_Description","estimate","moe","moe_pct_of_estimate","County","Geography","State"
"36037",2015,"B01003_001","Total Population",59458,0,0,"Genesee","Genesee County","New York"
"36051",2015,"B01003_001","Total Population",64801,0,0,"Livingston","Livingston County","New York"
"36055",2015,"B01003_001","Total Population",749356,0,0,"Monroe","Monroe County","New York"
"36069",2015,"B01003_001","Total Population",109192,0,0,"Ontario","Ontario County","New York"
"36073",2015,"B01003_001","Total Population",42204,0,0,"Orleans","Orleans County","New York"
"36099",2015,"B01003_001","Total Population",35144,0,0,"Seneca","Seneca County","New York"
"36117",2015,"B01003_001","Total Population",92416,0,0,"Wayne","Wayne County","New York"
"36123",2015,"B01003_001","Total Population",25187,0,0,"Yates","Yates County","New York"
"36037",2016,"B01003_001","Total Population",59053,0,0,"Genesee","Genesee County","New York"
"36051",2016,"B01003_001","Total Population",64622,0,0,"Livingston","Livingston County","New York"
"36055",2016,"B01003_001","Total Population",749236,0,0,"Monroe","Monroe County","New York"
"36069",2016,"B01003_001","Total Population",109450,0,0,"Ontario","Ontario County","New York"
"36073",2016,"B01003_001","Total Population",41938,0,0,"Orleans","Orleans County","New York"
"36099",2016,"B01003_001","Total Population",35036,0,0,"Seneca","Seneca County","New York"
"36117",2016,"B01003_001","Total Population",91874,0,0,"Wayne","Wayne County","New York"
"36123",2016,"B01003_001","Total Population",25106,0,0,"Yates","Yates County","New York"
"36037",2017,"B01003_001","Total Population",58537,0,0,"Genesee","Genesee County","New York"
"36051",2017,"B01003_001","Total Population",64373,0,0,"Livingston","Livingston County","New York"
"36055",2017,"B01003_001","Total Population",748680,0,0,"Monroe","Monroe County","New York"
"36069",2017,"B01003_001","Total Population",109491,0,0,"Ontario","Ontario County","New York"
"36073",2017,"B01003_001","Total Population",41584,0,0,"Orleans","Orleans County","New York"
"36099",2017,"B01003_001","Total Population",34843,0,0,"Seneca","Seneca County","New York"
"36117",2017,"B01003_001","Total Population",91442,0,0,"Wayne","Wayne County","New York"
"36123",2017,"B01003_001","Total Population",25083,0,0,"Yates","Yates County","New York"
"36037",2018,"B01003_001","Total Population",58112,0,0,"Genesee","Genesee County","New York"
"36051",2018,"B01003_001","Total Population",63907,0,0,"Livingston","Livingston County","New York"
"36055",2018,"B01003_001","Total Population",744248,0,0,"Monroe","Monroe County","New York"
"36069",2018,"B01003_001","Total Population",109472,0,0,"Ontario","Ontario County","New York"
"36073",2018,"B01003_001","Total Population",41175,0,0,"Orleans","Orleans County","New York"
"36099",2018,"B01003_001","Total Population",34612,0,0,"Seneca","Seneca County","New York"
"36117",2018,"B01003_001","Total Population",90856,0,0,"Wayne","Wayne County","New York"
"36123",2018,"B01003_001","Total Population",25009,0,0,"Yates","Yates County","New York"
"36037",2019,"B01003_001","Total Population",57808,0,0,"Genesee","Genesee County","New York"
"36051",2019,"B01003_001","Total Population",63591,0,0,"Livingston","Livingston County","New York"
"36055",2019,"B01003_001","Total Population",743341,0,0,"Monroe","Monroe County","New York"
"36069",2019,"B01003_001","Total Population",109511,0,0,"Ontario","Ontario County","New York"
"36073",2019,"B01003_001","Total Population",40904,0,0,"Orleans","Orleans County","New York"
"36099",2019,"B01003_001","Total Population",34390,0,0,"Seneca","Seneca County","New York"
"36117",2019,"B01003_001","Total Population",90519,0,0,"Wayne","Wayne County","New York"
"36123",2019,"B01003_001","Total Population",25011,0,0,"Yates","Yates County","New York"
"36037",2020,"B01003_001","Total Population",57554,0,0,"Genesee","Genesee County","New York"
"36051",2020,"B01003_001","Total Population",63218,0,0,"Livingston","Livingston County","New York"
"36055",2020,"B01003_001","Total Population",743084,0,0,"Monroe","Monroe County","New York"
