"GEOID","year","variable","Variable_Description","estimate","moe","moe_pct_of_estimate","County","Geography","State"
"3603700474",2015,"B01003_001","Total Population",1864,225,12.0708154506438,"Genesee","Alabama town","New York"
"3603701165",2015,"B01003_001","Total Population",2597,228,8.77936080092414,"Genesee","Alexander town","New York"
"3603704715",2015,"B01003_001","Total Population",15188,23,0.151435343692389,"Genesee","Batavia city","New York"
"3603704726",2015,"B01003_001","Total Population",6855,35,0.510576221735959,"Genesee","Batavia town","New York"
"3603706057",2015,"B01003_001","Total Population",3068,21,0.684485006518905,"Genesee","Bergen town","New York"
"3603706266",2015,"B01003_001","Total Population",1697,178,10.489098408957,"Genesee","Bethany town","New York"
"3603711572",2015,"B01003_001","Total Population",2316,232,10.0172711571675,"Genesee","Byron town","New York"
"3603719719",2015,"B01003_001","Total Population",3116,27,0.866495507060334,"Genesee","Darien town","New York"
"3603723756",2015,"B01003_001","Total Population",2314,209,9.03197925669836,"Genesee","Elba town","New York"
"3603742037",2015,"B01003_001","Total Population",7559,21,0.277814525730917,"Genesee","Le Roy town","New York"
"3603754166",2015,"B01003_001","Total Population",3203,18,0.561973150171714,"Genesee","Oakfield town","New York"
"3603756792",2015,"B01003_001","Total Population",2555,208,8.14090019569472,"Genesee","Pavilion town","New York"
"3603757078",2015,"B01003_001","Total Population",4296,49,1.14059590316574,"Genesee","Pembroke town","New York"
"3603770607",2015,"B01003_001","Total Population",2318,248,10.6988783433995,"Genesee","Stafford town","New York"
"3603775011",2015,"B01003_001","Total Population",512,78,15.234375,"Genesee","Tonawanda Reservation","New York"
"3605103364",2015,"B01003_001","Total Population",7063,31,0.438906980036812,"Livingston","Avon town","New York"
"3605111715",2015,"B01003_001","Total Population",4207,23,0.546707867839315,"Livingston","Caledonia town","New York"
"3605117618",2015,"B01003_001","Total Population",2507,252,10.0518548065417,"Livingston","Conesus town","New York"
"3605128629",2015,"B01003_001","Total Population",10590,23,0.217186024551464,"Livingston","Geneseo town","New York"
"3605131016",2015,"B01003_001","Total Population",3334,17,0.509898020395921,"Livingston","Groveland town","New York"
"3605141883",2015,"B01003_001","Total Population",2143,253,11.8058796080261,"Livingston","Leicester town","New York"
"3605142334",2015,"B01003_001","Total Population",4219,24,0.568855178952358,"Livingston","Lima town","New York"
"3605142961",2015,"B01003_001","Total Population",7716,22,0.285121824779679,"Livingston","Livonia town","New York"
"3605148956",2015,"B01003_001","Total Population",4398,20,0.45475216007276,"Livingston","Mount Morris town","New York"
"3605151869",2015,"B01003_001","Total Population",5450,19,0.348623853211009,"Livingston","North Dansville town","New York"
"3605154089",2015,"B01003_001","Total Population",3007,16,0.532091785833056,"Livingston","Nunda town","New York"
"3605155508",2015,"B01003_001","Total Population",690,84,12.1739130434783,"Livingston","Ossian town","New York"
"3605159179",2015,"B01003_001","Total Population",756,114,15.0793650793651,"Livingston","Portage town","New York"
"3605170101",2015,"B01003_001","Total Population",1699,160,9.41730429664509,"Livingston","Sparta town","New York"
"3605170475",2015,"B01003_001","Total Population",2326,259,11.1349957007739,"Livingston","Springwater town","New York"
"3605181006",2015,"B01003_001","Total Population",1338,184,13.7518684603886,"Livingston","West Sparta town","New York"
"3605184022",2015,"B01003_001","Total Population",3358,24,0.714711137581894,"Livingston","York town","New York"
"3605500000",2015,"B01003_001","Total Population",0,11,NA,"Monroe","County subdivisions not defined","New York"
"3605508246",2015,"B01003_001","Total Population",36929,31,0.0839448671775569,"Monroe","Brighton town","New York"
"3605515462",2015,"B01003_001","Total Population",28738,28,0.0974319716055397,"Monroe","Chili town","New York"
"3605515957",2015,"B01003_001","Total Population",6839,18,0.263196373738851,"Monroe","Clarkson town","New York"
"3605522870",2015,"B01003_001","Total Population",6678,22,0.329439952081462,"Monroe","East Rochester town","New York"
"3605528442",2015,"B01003_001","Total Population",28651,44,0.153572301141321,"Monroe","Gates town","New York"
"3605530290",2015,"B01003_001","Total Population",96674,78,0.0806835343525664,"Monroe","Greece town","New York"
"3605531797",2015,"B01003_001","Total Population",9112,25,0.274363476733977,"Monroe","Hamlin town","New York"
"3605534099",2015,"B01003_001","Total Population",43453,42,0.0966561572273491,"Monroe","Henrietta town","New York"
"3605537726",2015,"B01003_001","Total Population",51337,58,0.112978943062509,"Monroe","Irondequoit town","New York"
"3605546558",2015,"B01003_001","Total Population",9237,23,0.24899859261665,"Monroe","Mendon town","New York"
"3605554474",2015,"B01003_001","Total Population",20091,35,0.174207356527799,"Monroe","Ogden town","New York"
"3605556561",2015,"B01003_001","Total Population",15823,29,0.183277507425899,"Monroe","Parma town","New York"
