"Community","County","Region","Community Population (2010)","CEC Designation Status","Advanced (v3.0) Designation","Community Size","Points Achieved","List of Completed High Impact Actions","Count of Completed High Impact Actions"
"Albany County","Albany","Capital Region","314,848","Designated CEC","4-Star","Large community","7,100","• (Retired) Benchmarking - Advanced Reporting (200 points) - 11/16/2022 
 • Benchmarking - Municipal Buildings (100 points) - 2/16/2017 
 • Clean Fleets (100 points) - 1/4/2017 
 • Clean Fleets - Charging Stations (200 points) - 11/8/2022 
 • Clean Fleets - Light/Medium Duty Electric Vehicles (300 points) - 6/13/2023 
 • Climate Smart Communities Certification - Bronze (600 points) - 11/9/2021 
 • Community Campaigns - Clean Heating and Cooling (500 points) - 2/3/2022 
 • Community Campaigns - Community Solar (200 points) - 1/11/2022 
 • Community Campaigns - Electric Vehicles (200 points) - 11/8/2022 
 • Community Campaigns - Electric Vehicles - Tier 2 (300 points) - 8/13/2024 
 • Community Campaigns - Electric Vehicles - Tier 3 (500 points) - 9/3/2024 
 • County Hosted Training - Clean Energy and Your Comprehensive Plan (300 points) - 1/25/2023 
 • Energize NY Finance (0 points) - 2/7/2017 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 11/8/2022 
 • LED Street Lights - Decorative Fixtures (200 points) - 11/8/2022 
 • Light-Duty Electric Vehicles - Tier 2 (500 points) - 4/30/2024 
 • Municipal Building Demos: Clean Heating and Cooling - Tier 1 (700 points) - 9/10/2024 
 • Municipal Building Demos: Clean Heating and Cooling - Tier 2 (1000 points) - 9/10/2024 
 • Property Assessed Clean Energy (PACE) Financing - Authorize Open C-PACE Locally (200 points) - 11/8/2022 
 • Property Assessed Clean Energy (PACE) Financing - Projects (300 points) - 11/8/2022 
 • Solarize (0 points) - 2/14/2017","21"
"Broome County","Broome","Southern Tier","198,683","Designated CEC","2-Star","Large community","3,700","• Benchmarking - Municipal Buildings (100 points) - 3/11/2019 
 • Clean Energy Upgrades (500 points) - 3/26/2019 
 • Climate Smart Communities Certification - Bronze (600 points) - 10/26/2021 
 • Climate Smart Communities Recertification - Bronze CSC Recertification (800 points) - 6/26/2024 
 • Community Campaigns - Electric Vehicles - Tier 1 (200 points) - 5/10/2024 
 • County Hosted Training - Clean Energy and Your Comprehensive Plan (300 points) - 6/7/2022 
 • County Hosted Training - Overview of the Model Battery Energy Storage System Law (300 points) - 5/5/2022 
 • County Hosted Training - Overview of the Model Solar Energy Law (300 points) - 5/26/2022 
 • Energize NY Finance (0 points) - 10/31/2017 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 7/20/2022 
 • Municipal Clean Fleets Inventory (200 points) - 5/10/2024 
 • Property Assessed Clean Energy (PACE) Financing - Authorize Open C-PACE Locally (200 points) - 8/23/2022 
 • Solarize (0 points) - 3/11/2019","13"
"Cattaraugus County","Cattaraugus","Western New York","77,042","Not Designated","","Large community","200","• 50% Conversion of Decorative Streetlights (200 points) - 4/9/2024","1"
"Cayuga County","Cayuga","Central New York","76,248","Designated CEC","2-Star","Large community","3,300","• (Retired) Benchmarking - Advanced Reporting (200 points) - 1/11/2022 
 • Benchmarking - Municipal Buildings (100 points) - 3/17/2017 
 • CDG Subscription (300 points) - 6/11/2024 
 • Clean Fleets (100 points) - 12/12/2016 
 • County Hosted Training - Battery Energy Storage for First Responders (300 points) - 7/5/2022 
 • County Hosted Training - Overview of the Model Solar Energy Law (300 points) - 6/26/2024 
 • County Hosted Training - Solar PV Permitting and Inspecting (300 points) - 7/5/2022 
 • Energize NY Finance (0 points) - 4/24/2017 
 • Host Clean Energy Generation Installation on Municipal Property - Tier 1 (400 points) - 5/28/2024 
 • Host Clean Energy Generation Installation on Municipal Property - Tier 2 (500 points) - 5/28/2024 
 • Host Clean Energy Generation Installation on Municipal Property - Tier 3 (600 points) - 5/28/2024 
 • Property Assessed Clean Energy (PACE) Financing - Authorize Open C-PACE Locally (200 points) - 3/24/2021 
 • Solarize (0 points) - 11/9/2016","13"
"Chautauqua County","Chautauqua","Western New York","127,657","Designated CEC","","Large community","400","• Benchmarking - Municipal Buildings (100 points) - 5/10/2018 
 • Clean Fleets (100 points) - 5/10/2018 
 • Energize NY Finance (0 points) - 5/10/2018 
 • Property Assessed Clean Energy (PACE) Financing - Authorize Open C-PACE Locally (200 points) - 3/9/2021 
 • Solarize (0 points) - 5/10/2018","5"
"Chemung County","Chemung","Southern Tier","84,148","Not Designated","","Large community","1,200","• Clean Fleets - Light/Medium Duty Electric Vehicles (300 points) - 3/15/2023 
 • Climate Smart Communities Certification - Bronze (600 points) - 10/28/2022 
 • County Hosted Training - Clean Energy and Your Comprehensive Plan (300 points) - 3/18/2022","3"
"Chenango County","Chenango","Southern Tier","47,220","Designated CEC","2-Star","Large community","3,600","• (Retired) Benchmarking - Advanced Reporting (200 points) - 3/8/2022 
 • Benchmarking - Municipal Buildings (100 points) - 2/27/2018 
 • Community Campaigns - Clean Heating and Cooling (500 points) - 5/3/2023 
 • Community Campaigns - Clean Heating and Cooling - Tier 2 (600 points) - 8/20/2024 
 • Community Campaigns - Community Solar (200 points) - 8/17/2021 
 • Community Campaigns - Electric Vehicles - Tier 1 (200 points) - 5/10/2024 
 • County Hosted Training - Clean Energy and Your Comprehensive Plan (300 points) - 5/26/2022 
 • County Hosted Training - Overview of the Model Battery Energy Storage System Law (300 points) - 7/5/2022 
 • County Hosted Training - Overview of the Model Solar Energy Law (300 points) - 3/29/2022 
 • County Hosted Training - Solar PV Permitting and Inspecting (300 points) - 7/3/2023 
 • Electric Landscaping Equipment (200 points) - 5/10/2024 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 4/5/2022 
 • Energy Code Enforcement Training - V.1 (0 points) - 12/18/2018 
 • Solarize (0 points) - 9/4/2018 
 • Unified Solar Permit (200 points) - 4/26/2018","15"
"City of Albany","Albany","Capital Region","99,224","Designated CEC","3-Star","Large community","6,300","• (Retired) Benchmarking - Advanced Reporting (200 points) - 7/3/2023 
 • Benchmarking - Municipal Buildings (100 points) - 4/12/2022 
 • Clean Fleets - Charging Stations (200 points) - 1/18/2022 
 • Clean Fleets - Light/Medium Duty Electric Vehicles (300 points) - 1/18/2022 
 • Climate Smart Communities Certification - Bronze (600 points) - 9/14/2016 
 • Climate Smart Communities Recertification - Bronze CSC Recertification (800 points) - 10/1/2024 
 • Community Campaigns - Clean Heating and Cooling (500 points) - 2/8/2022 
 • Community Campaigns - Clean Heating and Cooling - Tier 2 (600 points) - 9/30/2024 
 • Community Campaigns - Community Solar (200 points) - 2/3/2022 
 • Community Campaigns - Electric Vehicles (200 points) - 11/8/2022 
 • Community Campaigns - Electric Vehicles - Tier 2 (300 points) - 6/4/2024 
 • Community Campaigns - Electric Vehicles - Tier 3 (500 points) - 6/4/2024 
 • Electric Landscaping Equipment (200 points) - 9/30/2024 
 • Energy Code Enforcement Training - V.1 (0 points) - 6/1/2017 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 4/19/2021 
 • LED Street Lights - Decorative Fixtures (200 points) - 4/19/2021 
 • Light-Duty Electric Vehicles - Tier 2 (500 points) - 9/30/2024 
 • Solarize (0 points) - 1/12/2017 
 • Unified Solar Permit (200 points) - 11/1/2016","19"
"City of Amsterdam","Montgomery","Mohawk Valley","18,219","Designated CEC","1-Star","Medium community","1,500","• Benchmarking - Municipal Buildings (100 points) - 5/10/2017 
 • Clean Fleets (100 points) - 11/21/2017 
 • Clean Fleets - Charging Stations (200 points) - 4/27/2021 
 • Community Campaigns - Electric Vehicles - Tier 1 (200 points) - 3/5/2024 
 • Community Campaigns - Electric Vehicles - Tier 2 (300 points) - 7/30/2024 
 • Energy Code Enforcement Training - V.1 (0 points) - 2/6/2018 
 • Municipal Clean Fleets Inventory (200 points) - 9/3/2024 
 • Property Assessed Clean Energy (PACE) Financing - Authorize Open C-PACE Locally (200 points) - 2/18/2021 
 • Unified Solar Permit (200 points) - 5/16/2017","9"
"City of Auburn","Cayuga","Central New York","26,866","Designated CEC","","Medium community","2,000","• Benchmarking - Municipal Buildings (100 points) - 8/15/2017 
 • Clean Fleets (100 points) - 10/16/2017 
 • Clean Heating and Cooling Demo (700 points) - 4/5/2022 
 • Community Campaigns - Community Solar (200 points) - 5/5/2022 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 3/29/2022 
 • Solarize (0 points) - 7/25/2017 
 • Unified Solar Permit (200 points) - 8/15/2017","7"
