Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
Priority Area,Indicator,Data Years,Region,County,Numerator,Denominator,Percent or Rate,Percent or Rate Unit,Indicator Performance,Concern Level,Quartile Distribution,Region Rate,State Rate,Data Comments,Date Source
Component 1: Asthma Emergency Department Visits in New York State,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",2020-2022,Capital Region,Albany,358,14968,79.7,"ED visits rate per 10,000",Data Not Comparable,High Concern,64.1 - 237.7: Q4,64.4,88,,SPARCS data as of July 2024
Component 1: Asthma Emergency Department Visits in New York State,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",2020-2022,Western NY,Allegany,18,2381,25.2,"ED visits rate per 10,000",Data Not Comparable,Low Concern,11.4 -< 43.5: Q1 - Q2,75.7,88,,SPARCS data as of July 2024
Component 1: Asthma Emergency Department Visits in New York State,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",2020-2022,New York City,Bronx,6822,95653,237.7,"ED visits rate per 10,000",Data Not Comparable,High Concern,64.1 - 237.7: Q4,121.5,88,,SPARCS data as of July 2024
Component 1: Asthma Emergency Department Visits in New York State,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",2020-2022,Southern Tier,Broome,86,9737,29.4,"ED visits rate per 10,000",Data Not Comparable,Low Concern,11.4 -< 43.5: Q1 - Q2,32.8,88,,SPARCS data as of July 2024
Component 1: Asthma Emergency Department Visits in New York State,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",2020-2022,Capital Region,Capital Region,923,47792,64.4,"ED visits rate per 10,000",Data Not Comparable,No Distribution,,64.4,88,,SPARCS data as of July 2024
Component 1: Asthma Emergency Department Visits in New York State,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",2020-2022,Western NY,Cattaraugus,86,4241,67.6,"ED visits rate per 10,000",Data Not Comparable,High Concern,64.1 - 237.7: Q4,75.7,88,,SPARCS data as of July 2024
Component 1: Asthma Emergency Department Visits in New York State,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",2020-2022,Central NY,Cayuga,56,3708,50.3,"ED visits rate per 10,000",Data Not Comparable,Moderate Concern,43.5 -< 64.1: Q3,60.7,88,,SPARCS data as of July 2024
Component 1: Asthma Emergency Department Visits in New York State,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",2020-2022,Central NY,Central NY,984,54043,60.7,"ED visits rate per 10,000",Data Not Comparable,No Distribution,,60.7,88,,SPARCS data as of July 2024
Component 1: Asthma Emergency Department Visits in New York State,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",2020-2022,Western NY,Chautauqua,68,6700,33.8,"ED visits rate per 10,000",Data Not Comparable,Low Concern,11.4 -< 43.5: Q1 - Q2,75.7,88,,SPARCS data as of July 2024
Component 1: Asthma Emergency Department Visits in New York State,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",2020-2022,Finger Lakes,Chemung,66,4411,49.9,"ED visits rate per 10,000",Data Not Comparable,Moderate Concern,43.5 -< 64.1: Q3,70.7,88,,SPARCS data as of July 2024
