Reporting Period,Project Number,Legacy Project Number,CESIR Number,Street Address,City,County,State,ZIP Code,Incorporated Municipality,Municipality Type,Census Tract,NYS Disadvantaged Community Status,Climate and Economic Justice Screening Tool Status,Sector,Program Type,Solicitation,Electric Utility,Purchase Type,Date Application Received,Date Completed,Project Status,Contractor,Minority or Women Owned Business Enterprise (MWBE),Primary Inverter Manufacturer,Primary Inverter Model Number,Total Inverter Quantity,Primary PV Module Manufacturer,PV Module Model Number,Total PV Module Quantity,Project Cost,Total NYSERDA Incentive,Affordable Solar Residential Adder,Affordable Multifamily Housing Incentive,Community Adder,Inclusive Community Solar Adder,Expanded Solar For All Adder,Brownfield/Landfill Adder,Canopy Adder,Floating Solar Adder,Prevailing Wage Adder,Total Nameplate kW DC,Expected KWh Annual Production,Remote Net Metering,Community Distributed Generation,Green Jobs Green New York Participant,Latitude,Longitude,Georeference
1/31/2026,0000923166,,,,Webster,Monroe,NY,14580,Webster,Town,36055011205,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,7/10/2025,10/8/2025,Complete,Solar Liberty,No,Enphase Energy Inc.,IQ8X-80-M-US [240V],29,REC Group,REC460AA Pure-RX,29,"$43,230.94 ","$2,001.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,13.34,"13,452.00",,No,No,43.2221603,-77.4826547,POINT (-77.4826547 43.2221603)
1/31/2026,0000156359,,,,Webster,Monroe,NY,14580,Webster,Town,36055011400,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,10/30/2018,12/13/2018,Complete,"O'Connell Electric Co., Inc.",No,Enphase Energy Inc.,IQ6-60-x-US [240V] [SI1],21,SolarWorld Americas Inc,Sunmodule Plus SWA 300 mono,21,"$18,500.00 ","$2,205.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,6.3,"6,861.00",,No,No,43.2115153,-77.4091556,POINT (-77.4091556 43.2115153)
1/31/2026,0000958054,,,,Pittsford,Monroe,NY,14534,Mendon,Town,36055012402,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,NYS Electric and Gas,Purchase,9/13/2025,12/23/2025,Complete,Solar Liberty,No,SunPower,SPR-M410-H-AC {240V},33,SunPower,SPR-M410-H-AC,33,"$40,864.42 ","$2,030.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,13.53,"16,080.00",,No,No,42.9911314,-77.5325184,POINT (-77.5325184 42.9911314)
1/31/2026,0000220624,,,,Rochester,Monroe,NY,14618,Brighton,Town,36055012900,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,12/24/2019,6/22/2020,Complete,Renewable Rochester LLC,No,SunPower,SPR-X22-360-E-AC [240V],20,Sunpower,SPR-X22-360-E-AC,20,"$32,600.00 ","$2,520.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,7.2,"6,727.00",,No,No,43.1209036,-77.5819477,POINT (-77.5819477 43.1209036)
1/31/2026,0000811391,,,,Rochester,Monroe,NY,14626,Greece,Town,36055013506,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,9/19/2024,2/3/2025,Complete,GAF Energy LLC,No,Delta Electronics,M6-TL-US [240V],1,GAF Energy LLC,TLS-1,64,"$10,289.99 ",$589.00 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,2.94,"2,592.00",,No,No,43.2289273,-77.7280052,POINT (-77.7280052 43.2289273)
1/31/2026,0001007067,,,,Rochester,Monroe,NY,14616,Greece,Town,36055013702,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,11/7/2025,,Pipeline,,No,"Enphase Energy, Inc.",IQ8AC-72-M-US {240V},19,SEG Solar Inc.,SEG-440-BTD-BG,19,"$30,143.00 ","$1,254.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,8.36,"8,808.00",,No,No,43.2490334,-77.6401967,POINT (-77.6401967 43.2490334)
1/31/2026,0000011370,4667-24648,,,Hilton,Monroe,NY,14468,Parma,Town,36055014802,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,National Grid,,10/6/2011,4/6/2012,Complete,"Arista Power, Inc.",No,Fronius USA,IG Plus 10.0-240,1,Helios USA,7T2 300,36,"$46,920.00 ","$12,250.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,10.8,"12,844.00",,No,No,43.2392389,-77.8043179,POINT (-77.8043179 43.2392389)
1/31/2026,0000090656,,,,Rochester,Monroe,NY,14624,Ogden,Town,36055014905,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,7/8/2017,9/27/2017,Complete,Freedom Solar,No,SMA America,SB7000TL-US (240V),1,SolarWorld,SW 325 XL mono,22,"$22,165.00 ","$2,860.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,7.15,"8,350.00",,No,No,43.1435351,-77.7686635,POINT (-77.7686635 43.1435351)
1/31/2026,0000003066,4502-36236,,,Hilton,Monroe,NY,14468,Greece,Town,36055013402,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,11/1/2013,4/21/2014,Complete,"You Save Green, Inc",No,SMA America,SB6000US (240V),1,SolarWorld,SW 270 Mono,24,"$23,300.00 ","$7,452.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,6.48,"7,667.00",No,No,No,43.2974679,-77.6944366,POINT (-77.6944366 43.2974679)
1/31/2026,0000004850,02077-018,,,Rochester,Monroe,NY,14625,Brighton,Town,36055012500,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 716,Rochester Gas and Electric,,7/11/2007,11/7/2007,Complete,"Rochester Solar Technologies, LLC",No,SMA America,SWR2100U,1,Evergreen Solar,ES-190-SL,13,"$25,775.79 ","$9,880.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,2.47,"2,545.00",,No,No,43.1461506,-77.5295356,POINT (-77.5295356 43.1461506)
