Station ID,Station Name,Description,County,Route,From Milepoint,To Milepoint,Functional Class,Latitude,Longitude,Year,Stat Type,AADT,AAWDT,Single-Unit Truck AADT,Combo-Unit Truck AADT,K-Factor,D-Factor,Station Type
#350001000000,350001,NY318 from RT 414 MAGEE to CR 101 NICHOLS COR GRAVEL RO,Seneca,,6.09,8.92,Rural:Major Collector,42.9564,-76.81808,2024,Estimated,8651,,,,0.08,0.52,Short Term
#350002000000,350002,NY318 from CR 101 NICHOLS COR GRAVEL RO to RTS 5 & 20 END RT 318,Seneca,,8.92,10.22,Rural:Major Collector,42.94894,-76.77376,2024,Actual,7606,,,,0.1,0.53,Short Term
#350003000000,350003,US20 from END 20/5&414 REV OLAP to RT 318,Seneca,,9.38,12.46,Urban:Principal Arterial - Other,42.926659,-76.785061,2024,Estimated,5149,,421,145,0.11,0.52,Short Term
#350004000000,350004,NY414 from END 96/414 OLAP to RT 336,Seneca,,13.01,19.37,Rural:Minor Arterial,42.76531,-76.81617,2024,Actual,2471,,,,0.12,0.58,Short Term
#350005000000,350005,NY336 from RT 96 to RT 414 S OF FAYETTE END RT 3,Seneca,,2.82,4.64,Rural:Minor Collector,42.80862,-76.81567,2024,Actual,774,,,,0.09,0.66,Short Term
#350006000000,350006,NY318 from Ont/Seneca Co Line to RT 414 MAGEE,Seneca,,0,6.09,Rural:Major Collector,42.9543,-76.89522,2024,Actual,5922,,533,261,0.09,0.52,Short Term
#350007000000,350007,NY96 from US 5/NY 20/W MAIN ST to NORTH RD/VIRGINIA ST,Seneca,,29.71,30.52,Urban:Minor Arterial,42.911607,-76.862508,2024,Actual,3389,,221,58,0.1,0.52,Short Term
#350008000000,350008,NY96A from CR 119 RIVER RD (N) to US 5/NY 20 END NY 96A,Seneca,,26.31,27,Urban:Major Collector,42.87398,-76.94038,2024,Actual,7550,,265,131,0.09,0.53,Short Term
#350050000000,350050,I-90 from Ont/Seneca Co Line to NY 414/RIDGE RD OVER,Seneca,NYS THRUWAY,0,6.03,Rural:Principal Arterial - Interstate,42.95856,-76.90932,2024,Estimated,38298,,,,0.08,0.55,Short Term
#350051000000,350051,I-90 from NY 414/RIDGE RD OVER to SENECA/CAYUGA COUNTY LINE,Seneca,NYS THRUWAY,6.03,12.89,Rural:Principal Arterial - Interstate,42.97876,-76.80005,2024,Actual,37178,,,,0.1,0.51,Short Term
#350335000000,350335,NY96 from Tomp/Seneca Co Line to RT 96A - INTERLAKEN,Seneca,,0,5.98,Rural:Minor Arterial,42.58398,-76.68914,2024,Actual,2894,,,,0.1,0.59,Short Term
#350338000000,350338,NY96 from RT 96A - INTERLAKEN to RT 96A & START 96/414 OLAP,Seneca,,5.98,13.61,Rural:Minor Arterial,42.67038,-76.76456,2024,Estimated,2506,,,,0.08,0.52,Short Term
#350339000000,350339,NY89 from CR 138/TOWN OF OVID AND TOWN to CR 116 LAKE RD,Seneca,,11.74,28.61,Rural:Major Collector,42.77217,-76.76928,2024,Actual,1483,,,,0.12,0.55,Short Term
#350341000000,350341,US20 from RT 89 to Seneca/Cayuga Co Line,Seneca,US 20/NY 5,12.54,14.4,Rural:Principal Arterial - Other,42.960657,-76.745798,2024,Estimated,9821,,457,608,0.11,0.5,Short Term
#350342000000,350342,NY89 from RTS 5 & 20 to Seneca/Wayne Co Line,Seneca,,31.17,36.46,Rural:Major Collector,42.95138,-76.769,2024,Actual,1272,,125,26,0.11,0.58,Short Term
#350344000000,350344,US20 from Ont/Seneca Co Line to RT 96A,Seneca,,0,1.03,Urban:Principal Arterial - Other,42.87579,-76.95341,2024,Estimated,11742,,,,0.09,0.52,Short Term
#350384000000,350384,NY96 from RIVER ST to US 5/NY 20/W MAIN ST,Seneca,,29.26,29.71,Urban:Minor Arterial,42.90285,-76.86301,2024,Actual,5771,,450,93,0.1,0.53,Short Term
