"Subsidiary","Month","Year","Ridership"
"Regional Transit Service","4","2006","1,066,870"
"Regional Transit Service","5","2006","1,217,939"
"Regional Transit Service","6","2006","1,183,756"
"Regional Transit Service","7","2006","933,542"
"Regional Transit Service","8","2006","1,018,668"
"Regional Transit Service","9","2006","1,227,358"
"Regional Transit Service","10","2006","1,307,201"
"Regional Transit Service","11","2006","1,252,595"
"Regional Transit Service","12","2006","1,178,240"
"Regional Transit Service","1","2007","1,312,857"
"Regional Transit Service","2","2007","1,024,364"
"Regional Transit Service","3","2007","1,327,453"
"Regional Transit Service","4","2007","1,175,758"
"Regional Transit Service","5","2007","1,419,323"
"Regional Transit Service","6","2007","1,243,035"
"Regional Transit Service","7","2007","1,183,558"
"Regional Transit Service","8","2007","1,197,149"
"Regional Transit Service","9","2007","1,215,283"
"Regional Transit Service","10","2007","1,390,065"
"Regional Transit Service","11","2007","1,247,593"
"Regional Transit Service","12","2007","1,135,866"
"Regional Transit Service","1","2008","1,337,090"
"Regional Transit Service","2","2008","1,205,912"
"Regional Transit Service","3","2008","1,312,712"
"Regional Transit Service","4","2008","1,291,456"
"Regional Transit Service","5","2008","1,385,221"
"Regional Transit Service","6","2008","1,383,113"
"Regional Transit Service","7","2008","1,244,695"
"Regional Transit Service","8","2008","1,139,531"
"Regional Transit Service","9","2008","1,552,479"
"Regional Transit Service","10","2008","1,635,706"
"Regional Transit Service","11","2008","1,368,276"
"Regional Transit Service","12","2008","1,356,130"
"Regional Transit Service","1","2009","1,477,870"
"Regional Transit Service","2","2009","1,348,092"
"Regional Transit Service","3","2009","1,554,685"
"Regional Transit Service","4","2009","1,377,039"
"Regional Transit Service","5","2009","1,483,123"
"Regional Transit Service","6","2009","1,434,123"
"Regional Transit Service","7","2009","1,221,534"
"Regional Transit Service","8","2009","1,115,882"
"Regional Transit Service","9","2009","1,534,762"
"Regional Transit Service","10","2009","1,579,328"
"Regional Transit Service","11","2009","1,387,184"
"Regional Transit Service","12","2009","1,330,451"
"Regional Transit Service","1","2010","1,437,704"
"Regional Transit Service","2","2010","1,286,915"
"Regional Transit Service","3","2010","1,637,746"
"Regional Transit Service","4","2010","1,384,187"
"Regional Transit Service","5","2010","1,445,533"
"Regional Transit Service","6","2010","1,397,040"
"Regional Transit Service","7","2010","1,251,525"
"Regional Transit Service","8","2010","1,206,662"
"Regional Transit Service","9","2010","1,508,099"
"Regional Transit Service","10","2010","1,535,758"
"Regional Transit Service","11","2010","1,424,892"
"Regional Transit Service","12","2010","1,322,725"
"Regional Transit Service","1","2011","1,464,574"
"Regional Transit Service","2","2011","1,295,788"
"Regional Transit Service","3","2011","1,663,343"
"Regional Transit Service","4","2011","1,406,128"
"Regional Transit Service","5","2011","1,548,508"
"Regional Transit Service","6","2011","1,454,877"
"Regional Transit Service","7","2011","1,233,466"
"Regional Transit Service","8","2011","1,285,596"
"Regional Transit Service","9","2011","1,577,705"
"Regional Transit Service","10","2011","1,581,780"
"Regional Transit Service","11","2011","1,476,987"
"Regional Transit Service","12","2011","1,399,985"
"Regional Transit Service","1","2012","1,549,775"
"Regional Transit Service","2","2012","1,440,456"
"Regional Transit Service","3","2012","1,614,907"
"Regional Transit Service","4","2012","1,367,215"
"Regional Transit Service","5","2012","1,559,536"
"Regional Transit Service","6","2012","1,407,904"
"Regional Transit Service","7","2012","1,252,287"
"Regional Transit Service","8","2012","1,303,808"
"Regional Transit Service","9","2012","1,483,475"
"Regional Transit Service","10","2012","1,642,908"
"Regional Transit Service","11","2012","1,473,780"
"Regional Transit Service","12","2012","1,359,309"
"Regional Transit Service","1","2013","1,525,251"
"Regional Transit Service","2","2013","1,352,064"
"Regional Transit Service","3","2013","1,529,562"
"Lift Line ","4","2006","14,268"
"Lift Line ","5","2006","15,017"
"Lift Line ","6","2006","14,994"
"Lift Line ","7","2006","13,494"
"Lift Line ","8","2006","15,005"
"Lift Line ","9","2006","14,374"
"Lift Line ","10","2006","15,826"
"Lift Line ","11","2006","15,049"
"Lift Line ","12","2006","14,907"
"Lift Line ","1","2007","15,642"
"Lift Line ","2","2007","13,440"
"Lift Line ","3","2007","16,179"
"Lift Line ","4","2007","14,247"
"Lift Line ","5","2007","15,642"
"Lift Line ","6","2007","14,533"
"Lift Line ","7","2007","14,212"
"Lift Line ","8","2007","14,674"
"Lift Line ","9","2007","13,840"
"Lift Line ","10","2007","15,923"
"Lift Line ","11","2007","15,042"
"Lift Line ","12","2007","14,338"
"Lift Line ","1","2008","15,838"
"Lift Line ","2","2008","15,007"
"Lift Line ","3","2008","15,984"
"Lift Line ","4","2008","15,370"
"Lift Line ","5","2008","15,141"
"Lift Line ","6","2008","14,880"
"Lift Line ","7","2008","15,226"
"Lift Line ","8","2008","14,516"
"Lift Line ","9","2008","14,933"
"Lift Line ","10","2008","15,774"
"Lift Line ","11","2008","14,829"
"Lift Line ","12","2008","14,808"
"Lift Line ","1","2009","14,852"
"Lift Line ","2","2009","14,688"
"Lift Line ","3","2009","16,686"
"Lift Line ","4","2009","15,248"
"Lift Line ","5","2009","14,968"
"Lift Line ","6","2009","15,530"
"Lift Line ","7","2009","15,196"
"Lift Line ","8","2009","14,460"
"Lift Line ","9","2009","14,952"
"Lift Line ","10","2009","15,042"
"Lift Line ","11","2009","14,019"
"Lift Line ","12","2009","15,012"
"Lift Line ","1","2010","14,647"
"Lift Line ","2","2010","14,121"
"Lift Line ","3","2010","16,475"
"Lift Line ","4","2010","14,305"
"Lift Line ","5","2010","13,770"
"Lift Line ","6","2010","14,197"
"Lift Line ","7","2010","13,824"
"Lift Line ","8","2010","13,873"
"Lift Line ","9","2010","13,984"
"Lift Line ","10","2010","14,257"
"Lift Line ","11","2010","13,984"
"Lift Line ","12","2010","14,195"
"Lift Line ","1","2011","14,088"
"Lift Line ","2","2011","12,643"
"Lift Line ","3","2011","15,116"
"Lift Line ","4","2011","13,827"
"Lift Line ","5","2011","13,658"
"Lift Line ","6","2011","14,103"
"Lift Line ","7","2011","13,206"
"Lift Line ","8","2011","13,577"
"Lift Line ","9","2011","13,861"
"Lift Line ","10","2011","13,811"
"Lift Line ","11","2011","13,776"
"Lift Line ","12","2011","14,097"
"Lift Line ","1","2012","13,933"
"Lift Line ","2","2012","14,426"
"Lift Line ","3","2012","15,564"
"Lift Line ","4","2012","13,807"
"Lift Line ","5","2012","14,294"
"Lift Line ","6","2012","13,839"
"Lift Line ","7","2012","13,194"
"Lift Line ","8","2012","13,890"
"Lift Line ","9","2012","12,780"
"Lift Line ","10","2012","14,429"
"Lift Line ","11","2012","14,486"
"Lift Line ","12","2012","13,689"
"Lift Line ","1","2013","15,046"
"Lift Line ","2","2013","14,212"
"Lift Line ","3","2013","15,688"
"Batavia Bus Service","4","2006","6,314"
"Batavia Bus Service","5","2006","6,719"
"Batavia Bus Service","6","2006","5,142"
"Batavia Bus Service","7","2006","3,806"
"Batavia Bus Service","8","2006","5,008"
"Batavia Bus Service","9","2006","7,034"
"Batavia Bus Service","10","2006","7,381"
"Batavia Bus Service","11","2006","6,846"
"Batavia Bus Service","12","2006","6,122"
"Batavia Bus Service","1","2007","7,019"
"Batavia Bus Service","2","2007","6,477"
"Batavia Bus Service","3","2007","7,573"
"Batavia Bus Service","4","2007","6,653"
"Batavia Bus Service","5","2007","6,807"
"Batavia Bus Service","6","2007","5,244"
"Batavia Bus Service","7","2007","4,469"
"Batavia Bus Service","8","2007","5,272"
"Batavia Bus Service","9","2007","6,377"
"Batavia Bus Service","10","2007","7,504"
"Batavia Bus Service","11","2007","6,676"
"Batavia Bus Service","12","2007","5,867"
"Batavia Bus Service","1","2008","6,323"
"Batavia Bus Service","2","2008","6,959"
"Batavia Bus Service","3","2008","6,824"
"Batavia Bus Service","4","2008","5,616"
"Batavia Bus Service","5","2008","5,141"
"Batavia Bus Service","6","2008","4,001"
"Batavia Bus Service","7","2008","3,842"
"Batavia Bus Service","8","2008","3,820"
"Batavia Bus Service","9","2008","5,837"
"Batavia Bus Service","10","2008","6,242"
"Batavia Bus Service","11","2008","5,081"
"Batavia Bus Service","12","2008","5,166"
"Batavia Bus Service","1","2009","5,297"
"Batavia Bus Service","2","2009","5,573"
"Batavia Bus Service","3","2009","5,820"
"Batavia Bus Service","4","2009","5,812"
"Batavia Bus Service","5","2009","5,146"
"Batavia Bus Service","6","2009","4,348"
"Batavia Bus Service","7","2009","3,986"
"Batavia Bus Service","8","2009","4,109"
"Batavia Bus Service","9","2009","5,765"
"Batavia Bus Service","10","2009","6,201"
"Batavia Bus Service","11","2009","5,454"
